LHAPDF set=                    ABMP16_3_nlo
 29
  1 -0.0000  0.9999
  2 -0.0000  0.9997
  3  0.0000  1.0000
  4 -0.0002  0.9846
  5  0.0002  0.9438
  6  0.0008  0.8371
  7 -0.0005  0.9488
  8  0.0003  0.9803
  9 -0.0003  0.9762
 10  0.0001  0.9888
 11  0.0001  0.9991
 12  0.0002  0.7838
 13  0.0001  0.9514
 14  0.0003  0.9632
 15 -0.0002  0.9772
 16  0.0002  0.9859
 17 -0.0002  0.9922
 18 -0.0001  0.9925
 19 -0.0001  0.9887
 20  0.0002  0.9665
 21 -0.0001  0.9615
 22  0.0001  0.9264
 23 -0.0002  0.7319
 24 -0.0003  0.9850
 25  0.0002  0.9200
 26  0.0001  0.9507
 27  0.0003  0.8970
 28  0.0001  0.9687
 29 -0.0001  0.9347
