   8317.00000             101          15   9.99999975E-05  0.990000010    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   98.4652       3.78676       7.39163       3.76864       7.38442      0.181150E-01  0.720972E-02   11.1531       3.76864       3.76742       3.61700       0.00000       0.00000       0.00000       3.61700    
  0.109637E-03   94.7464       3.66745       7.15343       3.64828       7.14575      0.191661E-01  0.767228E-02   10.7940       3.64828       3.64697       3.49878       0.00000       0.00000       0.00000       3.49878    
  0.120202E-03   91.1452       3.55148       6.92178       3.53120       6.91361      0.202762E-01  0.816281E-02   10.4448       3.53120       3.52980       3.38381       0.00000       0.00000       0.00000       3.38381    
  0.131786E-03   87.6582       3.43877       6.69651       3.41732       6.68783      0.214489E-01  0.868421E-02   10.1051       3.41732       3.41582       3.27200       0.00000       0.00000       0.00000       3.27200    
  0.144486E-03   84.2833       3.32927       6.47754       3.30658       6.46830      0.226862E-01  0.923778E-02   9.77488       3.30658       3.30499       3.16331       0.00000       0.00000       0.00000       3.16331    
  0.158410E-03   81.0166       3.22289       6.26466       3.19890       6.25484      0.239929E-01  0.982534E-02   9.45374       3.19890       3.19720       3.05764       0.00000       0.00000       0.00000       3.05764    
  0.173675E-03   77.8555       3.11958       6.05777       3.09421       6.04732      0.253720E-01  0.104494E-01   9.14153       3.09421       3.09240       2.95492       0.00000       0.00000       0.00000       2.95492    
  0.190412E-03   74.7979       3.01929       5.85674       2.99246       5.84563      0.268261E-01  0.111123E-01   8.83809       2.99246       2.99052       2.85511       0.00000       0.00000       0.00000       2.85511    
  0.208762E-03   71.8397       2.92191       5.66139       2.89355       5.64958      0.283611E-01  0.118162E-01   8.54312       2.89355       2.89148       2.75810       0.00000       0.00000       0.00000       2.75810    
  0.228880E-03   68.9793       2.82741       5.47164       2.79743       5.45908      0.299798E-01  0.125626E-01   8.25651       2.79743       2.79522       2.66386       0.00000       0.00000       0.00000       2.66386    
  0.250936E-03   66.2137       2.73573       5.28734       2.70404       5.27399      0.316868E-01  0.133549E-01   7.97803       2.70404       2.70169       2.57230       0.00000       0.00000       0.00000       2.57230    
  0.275119E-03   63.5399       2.64679       5.10835       2.61330       5.09416      0.334874E-01  0.141956E-01   7.70746       2.61330       2.61079       2.48336       0.00000       0.00000       0.00000       2.48336    
  0.301631E-03   60.9562       2.56055       4.93458       2.52517       4.91950      0.353842E-01  0.150861E-01   7.44467       2.52517       2.52249       2.39700       0.00000       0.00000       0.00000       2.39700    
  0.330699E-03   58.4593       2.47694       4.76587       2.43956       4.74984      0.373838E-01  0.160323E-01   7.18940       2.43956       2.43671       2.31313       0.00000       0.00000       0.00000       2.31313    
  0.362567E-03   56.0472       2.39591       4.60212       2.35642       4.58508      0.394907E-01  0.170355E-01   6.94151       2.35642       2.35339       2.23170       0.00000       0.00000       0.00000       2.23170    
  0.397507E-03   53.7177       2.31742       4.44323       2.27571       4.42513      0.417088E-01  0.180972E-01   6.70084       2.27571       2.27247       2.15266       0.00000       0.00000       0.00000       2.15266    
  0.435814E-03   51.4678       2.24138       4.28903       2.19734       4.26981      0.440468E-01  0.192238E-01   6.46715       2.19734       2.19389       2.07592       0.00000       0.00000       0.00000       2.07592    
  0.477813E-03   49.2960       2.16778       4.13947       2.12127       4.11905      0.465082E-01  0.204173E-01   6.24032       2.12127       2.11760       2.00146       0.00000       0.00000       0.00000       2.00146    
  0.523859E-03   47.1998       2.09654       3.99441       2.04744       3.97273      0.490988E-01  0.216808E-01   6.02016       2.04744       2.04353       1.92920       0.00000       0.00000       0.00000       1.92920    
  0.574342E-03   45.1766       2.02761       3.85372       1.97578       3.83070      0.518257E-01  0.230199E-01   5.80648       1.97578       1.97163       1.85908       0.00000       0.00000       0.00000       1.85908    
  0.629690E-03   43.2252       1.96096       3.71735       1.90627       3.69291      0.546929E-01  0.244375E-01   5.59918       1.90627       1.90184       1.79107       0.00000       0.00000       0.00000       1.79107    
  0.690372E-03   41.3426       1.89653       3.58514       1.83882       3.55920      0.577096E-01  0.259382E-01   5.39802       1.83882       1.83412       1.72509       0.00000       0.00000       0.00000       1.72509    
  0.756902E-03   39.5272       1.83427       3.45702       1.77339       3.42949      0.608815E-01  0.275262E-01   5.20288       1.77339       1.76839       1.66110       0.00000       0.00000       0.00000       1.66110    
  0.829843E-03   37.7774       1.77415       3.33289       1.70994       3.30368      0.642136E-01  0.292052E-01   5.01362       1.70994       1.70463       1.59906       0.00000       0.00000       0.00000       1.59906    
  0.909813E-03   36.0905       1.71612       3.21263       1.64840       3.18164      0.677170E-01  0.309823E-01   4.83004       1.64840       1.64276       1.53889       0.00000       0.00000       0.00000       1.53889    
  0.997490E-03   34.4652       1.66013       3.09616       1.58873       3.06330      0.713962E-01  0.328606E-01   4.65204       1.58873       1.58274       1.48056       0.00000       0.00000       0.00000       1.48056    
  0.109362E-02   32.8995       1.60615       2.98340       1.53089       2.94855      0.752589E-01  0.348460E-01   4.47944       1.53089       1.52453       1.42402       0.00000       0.00000       0.00000       1.42402    
  0.119901E-02   31.3914       1.55413       2.87422       1.47481       2.83727      0.793141E-01  0.369438E-01   4.31209       1.47481       1.46806       1.36921       0.00000       0.00000       0.00000       1.36921    
  0.131455E-02   29.9396       1.50404       2.76857       1.42047       2.72942      0.835664E-01  0.391574E-01   4.14989       1.42047       1.41331       1.31611       0.00000       0.00000       0.00000       1.31611    
  0.144123E-02   28.5419       1.45583       2.66634       1.36780       2.62484      0.880272E-01  0.414962E-01   3.99264       1.36780       1.36020       1.26464       0.00000       0.00000       0.00000       1.26464    
  0.158012E-02   27.1969       1.40946       2.56744       1.31676       2.52348      0.927033E-01  0.439643E-01   3.84024       1.31676       1.30871       1.21477       0.00000       0.00000       0.00000       1.21477    
  0.173239E-02   25.9032       1.36492       2.47182       1.26732       2.42525      0.976010E-01  0.465654E-01   3.69257       1.26732       1.25879       1.16646       0.00000       0.00000       0.00000       1.16646    
  0.189934E-02   24.6586       1.32214       2.37935       1.21941       2.33004      0.102731      0.493093E-01   3.54945       1.21941       1.21038       1.11966       0.00000       0.00000       0.00000       1.11966    
  0.208238E-02   23.4622       1.28111       2.28998       1.17301       2.23778      0.108100      0.522000E-01   3.41078       1.17301       1.16345       1.07433       0.00000       0.00000       0.00000       1.07433    
  0.228305E-02   22.3121       1.24178       2.20362       1.12807       2.14838      0.113717      0.552436E-01   3.27644       1.12807       1.11795       1.03043       0.00000       0.00000       0.00000       1.03043    
  0.250307E-02   21.2068       1.20413       2.12019       1.08454       2.06174      0.119589      0.584484E-01   3.14628       1.08454       1.07384      0.987899       0.00000       0.00000       0.00000      0.987899    
  0.274428E-02   20.1452       1.16812       2.03963       1.04239       1.97781      0.125723      0.618184E-01   3.02020       1.04239       1.03108      0.946725       0.00000       0.00000       0.00000      0.946725    
  0.300874E-02   19.1256       1.13371       1.96184       1.00158       1.89648      0.132129      0.653618E-01   2.89806       1.00158      0.989631      0.906848       0.00000       0.00000       0.00000      0.906848    
  0.329869E-02   18.1466       1.10087       1.88677      0.962061       1.81768      0.138812      0.690844E-01   2.77974      0.962061      0.949446      0.868236       0.00000       0.00000       0.00000      0.868236    
  0.361658E-02   17.2072       1.06959       1.81435      0.923808       1.74135      0.145780      0.729914E-01   2.66516      0.923808      0.910496      0.830858       0.00000       0.00000       0.00000      0.830858    
  0.396510E-02   16.3057       1.03981       1.74448      0.886766       1.66739      0.153040      0.770907E-01   2.55416      0.886766      0.872729      0.794661       0.00000       0.00000       0.00000      0.794661    
  0.434721E-02   15.4412       1.01151       1.67713      0.850910       1.59574      0.160596      0.813861E-01   2.44665      0.850910      0.836118      0.759621       0.00000       0.00000       0.00000      0.759621    
  0.476614E-02   14.6123      0.984656       1.61221      0.816201       1.52632      0.168455      0.858838E-01   2.34253      0.816201      0.800625      0.725699       0.00000       0.00000       0.00000      0.725699    
  0.522544E-02   13.8176      0.959217       1.54965      0.782595       1.45906      0.176621      0.905895E-01   2.24165      0.782595      0.766205      0.692854       0.00000       0.00000       0.00000      0.692854    
  0.572901E-02   13.0563      0.935167       1.48941      0.750070       1.39390      0.185097      0.955061E-01   2.14397      0.750070      0.732838      0.661064       0.00000       0.00000       0.00000      0.661064    
  0.628110E-02   12.3270      0.912464       1.43140      0.718578       1.33076      0.193886      0.100639       2.04934      0.718578      0.700475      0.630285       0.00000       0.00000       0.00000      0.630285    
  0.688640E-02   11.6286      0.891077       1.37557      0.688090       1.26958      0.202988      0.105990       1.95767      0.688090      0.669089      0.600487       0.00000       0.00000       0.00000      0.600487    
  0.755003E-02   10.9603      0.870981       1.32186      0.658577       1.21030      0.212403      0.111561       1.86888      0.658577      0.638654      0.571648       0.00000       0.00000       0.00000      0.571648    
  0.827761E-02   10.3222      0.852177       1.27030      0.630043       1.15295      0.222134      0.117357       1.78299      0.630043      0.609174      0.543772       0.00000       0.00000       0.00000      0.543772    
  0.907530E-02   9.70842      0.834467       1.22051      0.602305       1.09715      0.232162      0.123366       1.69945      0.602305      0.580468      0.516679       0.00000       0.00000       0.00000      0.516679    
  0.994987E-02   9.10308      0.817323       1.17149      0.574875       1.04193      0.242448      0.129562       1.61681      0.574875      0.552050      0.489881       0.00000       0.00000       0.00000      0.489881    
  0.109087E-01   8.53229      0.801580       1.12488      0.548547      0.988905      0.253033      0.135976       1.53745      0.548547      0.524721      0.464184       0.00000       0.00000       0.00000      0.464184    
  0.119600E-01   8.00076      0.787438       1.08103      0.523475      0.938381      0.263963      0.142645       1.46186      0.523475      0.498635      0.439746       0.00000       0.00000       0.00000      0.439746    
  0.131125E-01   7.49183      0.774295       1.03884      0.499139      0.889331      0.275155      0.149509       1.38847      0.499139      0.473280      0.416051       0.00000       0.00000       0.00000      0.416051    
