   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   11.6105       1.10660       1.44216       1.10189       1.44112      0.470940E-02  0.103443E-02   2.54301      0.805723      0.805429      0.635692      0.296163       0.00000       0.00000      0.635692    
  0.109648E-03   11.4554       1.08900       1.42027       1.08395       1.41915      0.505286E-02  0.112214E-02   2.50310      0.793760      0.793443      0.625709      0.290186       0.00000       0.00000      0.625709    
  0.120226E-03   11.2991       1.07157       1.39859       1.06615       1.39737      0.542301E-02  0.121824E-02   2.46352      0.781904      0.781560      0.615809      0.284248       0.00000       0.00000      0.615809    
  0.131825E-03   11.1418       1.05433       1.37710       1.04851       1.37578      0.581870E-02  0.132196E-02   2.42429      0.770157      0.769785      0.605995      0.278355       0.00000       0.00000      0.605995    
  0.144543E-03   10.9837       1.03727       1.35582       1.03103       1.35439      0.624252E-02  0.143436E-02   2.38541      0.758520      0.758118      0.596269      0.272507       0.00000       0.00000      0.596269    
  0.158489E-03   10.8249       1.02040       1.33475       1.01370       1.33319      0.669796E-02  0.155694E-02   2.34689      0.746994      0.746559      0.586630      0.266707       0.00000       0.00000      0.586630    
  0.173779E-03   10.6654       1.00372       1.31388      0.996532       1.31219      0.718760E-02  0.169073E-02   2.30872      0.735578      0.735107      0.577080      0.260955       0.00000       0.00000      0.577080    
  0.190545E-03   10.5056      0.987240       1.29322      0.979529       1.29139      0.771121E-02  0.183531E-02   2.27091      0.724275      0.723766      0.567619      0.255254       0.00000       0.00000      0.567619    
  0.208928E-03   10.3455      0.970962       1.27278      0.962690       1.27078      0.827215E-02  0.199212E-02   2.23347      0.713084      0.712534      0.558250      0.249606       0.00000       0.00000      0.558250    
  0.229085E-03   10.1852      0.954892       1.25254      0.946016       1.25038      0.887561E-02  0.216361E-02   2.19640      0.702005      0.701410      0.548970      0.244011       0.00000       0.00000      0.548970    
  0.251186E-03   10.0248      0.939033       1.23253      0.929510       1.23018      0.952302E-02  0.235016E-02   2.15969      0.691039      0.690396      0.539781      0.238471       0.00000       0.00000      0.539781    
  0.275420E-03   9.86448      0.923389       1.21273      0.913174       1.21018      0.102156E-01  0.255198E-02   2.12335      0.680186      0.679491      0.530685      0.232988       0.00000       0.00000      0.530685    
  0.301992E-03   9.70431      0.907966       1.19315      0.897009       1.19038      0.109576E-01  0.277107E-02   2.08738      0.669447      0.668696      0.521681      0.227562       0.00000       0.00000      0.521681    
  0.331127E-03   9.54433      0.892769       1.17379      0.881013       1.17077      0.117564E-01  0.301120E-02   2.05179      0.658819      0.658007      0.512767      0.222194       0.00000       0.00000      0.512767    
  0.363073E-03   9.38468      0.877801       1.15464      0.865189       1.15137      0.126120E-01  0.327169E-02   2.01656      0.648304      0.647427      0.503945      0.216886       0.00000       0.00000      0.503945    
  0.398101E-03   9.22548      0.863067       1.13572      0.849540       1.13217      0.135273E-01  0.355379E-02   1.98171      0.637901      0.636954      0.495215      0.211638       0.00000       0.00000      0.495215    
  0.436509E-03   9.06677      0.848571       1.11702      0.834063       1.11316      0.145081E-01  0.386024E-02   1.94723      0.627611      0.626588      0.486576      0.206452       0.00000       0.00000      0.486576    
  0.478622E-03   8.90859      0.834321       1.09855      0.818757       1.09435      0.155644E-01  0.419671E-02   1.91311      0.617430      0.616325      0.478027      0.201327       0.00000       0.00000      0.478027    
  0.524798E-03   8.75108      0.820319       1.08030      0.803625       1.07574      0.166941E-01  0.456085E-02   1.87936      0.607360      0.606167      0.469569      0.196265       0.00000       0.00000      0.469569    
  0.575429E-03   8.59428      0.806569       1.06227      0.788666       1.05731      0.179029E-01  0.495557E-02   1.84598      0.597400      0.596112      0.461200      0.191266       0.00000       0.00000      0.461200    
  0.630945E-03   8.43827      0.793078       1.04446      0.773880       1.03908      0.191983E-01  0.538479E-02   1.81296      0.587549      0.586158      0.452921      0.186331       0.00000       0.00000      0.452921    
  0.691816E-03   8.28303      0.779856       1.02689      0.759263       1.02103      0.205929E-01  0.585625E-02   1.78029      0.577804      0.576303      0.444728      0.181459       0.00000       0.00000      0.444728    
  0.758561E-03   8.12871      0.766902       1.00953      0.744819       1.00317      0.220829E-01  0.636573E-02   1.74799      0.568167      0.566546      0.436622      0.176652       0.00000       0.00000      0.436622    
  0.831745E-03   7.97534      0.754222      0.992407      0.730545      0.985488      0.236773E-01  0.691841E-02   1.71603      0.558635      0.556886      0.428602      0.171910       0.00000       0.00000      0.428602    
  0.911989E-03   7.82293      0.741827      0.975507      0.716440      0.967986      0.253875E-01  0.752125E-02   1.68443      0.549206      0.547319      0.420667      0.167233       0.00000       0.00000      0.420667    
  0.999975E-03   7.67152      0.729724      0.958835      0.702500      0.950655      0.272240E-01  0.818046E-02   1.65315      0.539878      0.537842      0.412813      0.162622       0.00000       0.00000      0.412813    
  0.109645E-02   7.52120      0.717914      0.942391      0.688728      0.933497      0.291863E-01  0.889356E-02   1.62222      0.530652      0.528456      0.405041      0.158075       0.00000       0.00000      0.405041    
  0.120223E-02   7.37198      0.706406      0.926174      0.675121      0.916506      0.312858E-01  0.966762E-02   1.59163      0.521525      0.519157      0.397349      0.153595       0.00000       0.00000      0.397349    
  0.131822E-02   7.22387      0.695213      0.910187      0.661674      0.899674      0.335388E-01  0.105137E-01   1.56135      0.512494      0.509940      0.389734      0.149180       0.00000       0.00000      0.389734    
  0.144540E-02   7.07691      0.684340      0.894431      0.648387      0.882996      0.359526E-01  0.114355E-01   1.53138      0.503557      0.500803      0.382193      0.144831       0.00000       0.00000      0.382193    
  0.158485E-02   6.93114      0.673791      0.878905      0.635260      0.866472      0.385316E-01  0.124334E-01   1.50173      0.494713      0.491744      0.374727      0.140547       0.00000       0.00000      0.374727    
  0.173775E-02   6.78659      0.663578      0.863610      0.622288      0.850093      0.412902E-01  0.135171E-01   1.47238      0.485959      0.482760      0.367333      0.136329       0.00000       0.00000      0.367333    
  0.190540E-02   6.64323      0.653715      0.848551      0.609466      0.833848      0.442493E-01  0.147030E-01   1.44331      0.477290      0.473844      0.360004      0.132176       0.00000       0.00000      0.360004    
  0.208923E-02   6.50110      0.644208      0.833727      0.596794      0.817736      0.474138E-01  0.159908E-01   1.41453      0.468706      0.464994      0.352742      0.128088       0.00000       0.00000      0.352742    
  0.229079E-02   6.36025      0.635064      0.819136      0.584270      0.801750      0.507939E-01  0.173860E-01   1.38602      0.460205      0.456207      0.345544      0.124065       0.00000       0.00000      0.345544    
  0.251180E-02   6.22065      0.626296      0.804784      0.571889      0.785883      0.544070E-01  0.189011E-01   1.35777      0.451783      0.447477      0.338405      0.120106       0.00000       0.00000      0.338405    
  0.275413E-02   6.08226      0.617922      0.790677      0.559644      0.770118      0.582787E-01  0.205592E-01   1.32976      0.443432      0.438797      0.331321      0.116212       0.00000       0.00000      0.331321    
  0.301984E-02   5.94516      0.609947      0.776811      0.547535      0.754456      0.624124E-01  0.223554E-01   1.30199      0.435154      0.430166      0.324290      0.112381       0.00000       0.00000      0.324290    
  0.331118E-02   5.80933      0.602383      0.763189      0.535558      0.738887      0.668251E-01  0.243019E-01   1.27444      0.426944      0.421578      0.317309      0.108614       0.00000       0.00000      0.317309    
  0.363064E-02   5.67475      0.595245      0.749815      0.523708      0.723400      0.715371E-01  0.264150E-01   1.24711      0.418798      0.413027      0.310373      0.104910       0.00000       0.00000      0.310373    
  0.398091E-02   5.54136      0.588552      0.736703      0.511975      0.707978      0.765771E-01  0.287248E-01   1.21995      0.410707      0.404502      0.303476      0.101268       0.00000       0.00000      0.303476    
  0.436498E-02   5.40923      0.582312      0.723843      0.500361      0.692621      0.819503E-01  0.312223E-01   1.19298      0.402673      0.396004      0.296617      0.976883E-01   0.00000       0.00000      0.296617    
  0.478610E-02   5.27832      0.576539      0.711242      0.488860      0.677315      0.876792E-01  0.339278E-01   1.16617      0.394690      0.387524      0.289791      0.941699E-01   0.00000       0.00000      0.289791    
  0.524785E-02   5.14860      0.571250      0.698911      0.477463      0.662046      0.937872E-01  0.368644E-01   1.13951      0.386751      0.379055      0.282992      0.907124E-01   0.00000       0.00000      0.282992    
  0.575415E-02   5.02000      0.566461      0.686858      0.466163      0.646801      0.100297      0.400566E-01   1.11296      0.378848      0.370588      0.276214      0.873151E-01   0.00000       0.00000      0.276214    
  0.630929E-02   4.89256      0.562191      0.675081      0.454958      0.631570      0.107233      0.435110E-01   1.08653      0.370981      0.362117      0.269453      0.839772E-01   0.00000       0.00000      0.269453    
  0.691799E-02   4.76623      0.558456      0.663591      0.443840      0.616339      0.114616      0.472516E-01   1.06018      0.363142      0.353635      0.262705      0.806979E-01   0.00000       0.00000      0.262705    
  0.758542E-02   4.64095      0.555271      0.652399      0.432801      0.601093      0.122470      0.513052E-01   1.03389      0.355324      0.345132      0.255962      0.774769E-01   0.00000       0.00000      0.255962    
  0.831724E-02   4.51666      0.552652      0.641513      0.421833      0.585819      0.130819      0.556937E-01   1.00765      0.347520      0.336601      0.249218      0.743135E-01   0.00000       0.00000      0.249218    
  0.911966E-02   4.39336      0.550617      0.630939      0.410931      0.570503      0.139686      0.604359E-01  0.981434      0.339724      0.328033      0.242470      0.712069E-01   0.00000       0.00000      0.242470    
  0.999950E-02   4.27097      0.549181      0.620689      0.400086      0.555131      0.149094      0.655583E-01  0.955217      0.331930      0.319421      0.235710      0.681568E-01   0.00000       0.00000      0.235710    
  0.109642E-01   4.14942      0.548356      0.610776      0.389291      0.539688      0.159066      0.710874E-01  0.928979      0.324128      0.310755      0.228933      0.651626E-01   0.00000       0.00000      0.228933    
  0.120220E-01   4.02866      0.548161      0.601210      0.378536      0.524160      0.169625      0.770496E-01  0.902696      0.316312      0.302027      0.222133      0.622237E-01   0.00000       0.00000      0.222133    
  0.131819E-01   3.90862      0.548608      0.592003      0.367814      0.508533      0.180794      0.834706E-01  0.876347      0.308474      0.293228      0.215305      0.593396E-01   0.00000       0.00000      0.215305    
  0.144536E-01   3.78923      0.549712      0.583170      0.357116      0.492791      0.192595      0.903789E-01  0.849907      0.300606      0.284350      0.208441      0.565098E-01   0.00000       0.00000      0.208441    
  0.158481E-01   3.67042      0.551478      0.574722      0.346434      0.476923      0.205044      0.977985E-01  0.823357      0.292700      0.275386      0.201537      0.537342E-01   0.00000       0.00000      0.201537    
  0.173770E-01   3.55209      0.553922      0.566674      0.335759      0.460914      0.218163      0.105759      0.796674      0.284747      0.266326      0.194588      0.510122E-01   0.00000       0.00000      0.194588    
  0.190535E-01   3.43418      0.557041      0.559037      0.325083      0.444756      0.231957      0.114280      0.769840      0.276739      0.257166      0.187591      0.483442E-01   0.00000       0.00000      0.187591    
  0.208917E-01   3.31659      0.560845      0.551827      0.314397      0.428435      0.246448      0.123392      0.742832      0.268667      0.247897      0.180538      0.457298E-01   0.00000       0.00000      0.180538    
  0.229073E-01   3.19924      0.565322      0.545052      0.303693      0.411949      0.261629      0.133103      0.715642      0.260524      0.238519      0.173430      0.431697E-01   0.00000       0.00000      0.173430    
  0.251174E-01   3.08203      0.570478      0.538728      0.292963      0.395285      0.277515      0.143443      0.688248      0.252299      0.229023      0.166262      0.406638E-01   0.00000       0.00000      0.166262    
  0.275406E-01   2.96491      0.576286      0.532854      0.282201      0.378449      0.294085      0.154406      0.660650      0.243988      0.219412      0.159036      0.382133E-01   0.00000       0.00000      0.159036    
  0.301976E-01   2.84776      0.582742      0.527445      0.271399      0.361433      0.311343      0.166012      0.632832      0.235580      0.209683      0.151750      0.358186E-01   0.00000       0.00000      0.151750    
  0.331110E-01   2.73055      0.589810      0.522491      0.260552      0.344250      0.329258      0.178241      0.604803      0.227071      0.199842      0.144408      0.334812E-01   0.00000       0.00000      0.144408    
  0.363055E-01   2.61319      0.597466      0.517995      0.249656      0.326904      0.347810      0.191091      0.576560      0.218454      0.189892      0.137013      0.312021E-01   0.00000       0.00000      0.137013    
  0.398081E-01   2.49565      0.605663      0.513939      0.238708      0.309415      0.366956      0.204524      0.548122      0.209724      0.179843      0.129572      0.289834E-01   0.00000       0.00000      0.129572    
  0.436487E-01   2.37789      0.614355      0.510303      0.227705      0.291801      0.386650      0.218502      0.519506      0.200878      0.169707      0.122094      0.268269E-01   0.00000       0.00000      0.122094    
  0.478598E-01   2.25992      0.623483      0.507057      0.216649      0.274092      0.406834      0.232964      0.490741      0.191914      0.159501      0.114591      0.247349E-01   0.00000       0.00000      0.114591    
  0.524772E-01   2.14177      0.632974      0.504147      0.205543      0.256326      0.427431      0.247821      0.461869      0.182833      0.149247      0.107079      0.227100E-01   0.00000       0.00000      0.107079    
  0.575400E-01   2.02347      0.642753      0.501522      0.194390      0.238544      0.448363      0.262978      0.432934      0.173635      0.138970      0.995741E-01  0.207550E-01   0.00000       0.00000      0.995741E-01
  0.630913E-01   1.90514      0.652722      0.499083      0.183204      0.220805      0.469519      0.278278      0.404008      0.164330      0.128704      0.921013E-01  0.188731E-01   0.00000       0.00000      0.921013E-01
  0.691782E-01   1.78690      0.662790      0.496751      0.171990      0.203165      0.490800      0.293585      0.375155      0.154923      0.118482      0.846836E-01  0.170676E-01   0.00000       0.00000      0.846836E-01
  0.758523E-01   1.66897      0.672824      0.494363      0.160772      0.185706      0.512052      0.308657      0.346477      0.145430      0.108352      0.773539E-01  0.153418E-01   0.00000       0.00000      0.773539E-01
  0.831703E-01   1.55153      0.682720      0.491800      0.149562      0.168501      0.533158      0.323299      0.318063      0.135862      0.983578E-01  0.701430E-01  0.136997E-01   0.00000       0.00000      0.701430E-01
  0.911943E-01   1.43496      0.692298      0.488829      0.138395      0.151648      0.553903      0.337180      0.290043      0.126251      0.885579E-01  0.630904E-01  0.121443E-01   0.00000       0.00000      0.630904E-01
  0.999925E-01   1.31951      0.701448      0.485270      0.127292      0.135245      0.574156      0.350026      0.262537      0.116613      0.790090E-01  0.562355E-01  0.106798E-01   0.00000       0.00000      0.562355E-01
  0.109639       1.20569      0.709912      0.480823      0.116302      0.119395      0.593610      0.361428      0.235697      0.106993      0.697739E-01  0.496211E-01  0.930846E-02   0.00000       0.00000      0.496211E-01
  0.120217       1.09388      0.717580      0.475229      0.105455      0.104217      0.612125      0.371011      0.209673      0.974210E-01  0.609225E-01  0.432949E-01  0.803443E-02   0.00000       0.00000      0.432949E-01
  0.131815      0.984648      0.724059      0.468143      0.948142E-01  0.898098E-01  0.629245      0.378333      0.184624      0.879555E-01  0.525134E-01  0.372965E-01  0.685873E-02   0.00000       0.00000      0.372965E-01
  0.144533      0.878528      0.729234      0.459203      0.844247E-01  0.763072E-01  0.644809      0.382896      0.160732      0.786397E-01  0.446267E-01  0.316804E-01  0.578495E-02   0.00000       0.00000      0.316804E-01
  0.158477      0.776126      0.732491      0.448093      0.743579E-01  0.637797E-01  0.658133      0.384313      0.138138      0.695457E-01  0.373050E-01  0.264748E-01  0.481220E-02   0.00000       0.00000      0.264748E-01
  0.173766      0.678076      0.733639      0.434346      0.646775E-01  0.523631E-01  0.668961      0.381983      0.117041      0.607347E-01  0.306290E-01  0.217341E-01  0.394284E-02   0.00000       0.00000      0.217341E-01
  0.190530      0.584976      0.731820      0.417749      0.554582E-01  0.420888E-01  0.676362      0.375660      0.975469E-01  0.522841E-01  0.246182E-01  0.174705E-01  0.317403E-02   0.00000       0.00000      0.174705E-01
  0.208912      0.497507      0.726569      0.397837      0.467785E-01  0.330563E-01  0.679790      0.364781      0.798347E-01  0.442727E-01  0.193325E-01  0.137238E-01  0.250575E-02   0.00000       0.00000      0.137238E-01
  0.229067      0.416221      0.716787      0.374541      0.387113E-01  0.252558E-01  0.678076      0.349286      0.639671E-01  0.367779E-01  0.147667E-01  0.104891E-01  0.193338E-02   0.00000       0.00000      0.104891E-01
  0.251167      0.341730      0.701603      0.347625      0.313353E-01  0.187133E-01  0.670268      0.328912      0.500487E-01  0.298817E-01  0.109372E-01  0.777613E-02  0.145368E-02   0.00000       0.00000      0.777613E-02
  0.275399      0.274496      0.679584      0.317254      0.247152E-01  0.133679E-01  0.654869      0.303886      0.380831E-01  0.236551E-01  0.780869E-02  0.555922E-02  0.106012E-02   0.00000       0.00000      0.555922E-02
  0.301969      0.214911      0.649730      0.283661      0.189051E-01  0.916121E-02  0.630825      0.274500      0.280663E-01  0.181588E-01  0.534745E-02  0.381377E-02  0.746312E-03   0.00000       0.00000      0.381377E-02
  0.331102      0.163280      0.610173      0.247429      0.139477E-01  0.597177E-02  0.596225      0.241458      0.199195E-01  0.134441E-01  0.348233E-02  0.248944E-02  0.503627E-03   0.00000       0.00000      0.248944E-02
  0.363046      0.119616      0.560731      0.209376      0.984639E-02  0.367801E-02  0.550885      0.205698      0.135244E-01  0.952292E-02  0.214211E-02  0.153590E-02  0.323472E-03   0.00000       0.00000      0.153590E-02
  0.398071      0.839446E-01  0.499616      0.170793      0.659696E-02  0.210584E-02  0.493019      0.168687      0.870280E-02  0.640174E-02  0.122445E-02  0.881380E-03  0.195221E-03   0.00000       0.00000      0.881380E-03
