   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   18.6985       1.59843       1.92911       1.59272       1.92770      0.570455E-02  0.141122E-02   3.52042       1.04801       1.04766      0.880038      0.544715       0.00000       0.00000      0.880038    
  0.109648E-03   18.3353       1.56801       1.89441       1.56190       1.89288      0.610971E-02  0.152533E-02   3.45478       1.02964       1.02926      0.863623      0.532266       0.00000       0.00000      0.863623    
  0.120226E-03   17.9749       1.53798       1.86011       1.53144       1.85846      0.654529E-02  0.164974E-02   3.38990       1.01147       1.01106      0.847395      0.519963       0.00000       0.00000      0.847395    
  0.131825E-03   17.6176       1.50835       1.82623       1.50134       1.82445      0.701017E-02  0.178363E-02   3.32578      0.993527      0.993086      0.831360      0.507812       0.00000       0.00000      0.831360    
  0.144543E-03   17.2635       1.47911       1.79276       1.47161       1.79083      0.750720E-02  0.192823E-02   3.26244      0.975795      0.975318      0.815516      0.495812       0.00000       0.00000      0.815516    
  0.158489E-03   16.9126       1.45028       1.75971       1.44224       1.75763      0.804013E-02  0.208522E-02   3.19987      0.958278      0.957763      0.799865      0.483965       0.00000       0.00000      0.799865    
  0.173779E-03   16.5650       1.42186       1.72708       1.41325       1.72482      0.861178E-02  0.225580E-02   3.13807      0.940974      0.940418      0.784405      0.472271       0.00000       0.00000      0.784405    
  0.190545E-03   16.2209       1.39384       1.69487       1.38462       1.69243      0.922205E-02  0.243959E-02   3.07705      0.923887      0.923286      0.769140      0.460734       0.00000       0.00000      0.769140    
  0.208928E-03   15.8804       1.36624       1.66307       1.35637       1.66043      0.987458E-02  0.263822E-02   3.01680      0.907015      0.906366      0.754068      0.449354       0.00000       0.00000      0.754068    
  0.229085E-03   15.5434       1.33906       1.63170       1.32849       1.62884      0.105749E-01  0.285440E-02   2.95733      0.890357      0.889656      0.739188      0.438131       0.00000       0.00000      0.739188    
  0.251186E-03   15.2100       1.31230       1.60075       1.30098       1.59766      0.113246E-01  0.308863E-02   2.89863      0.873912      0.873156      0.724501      0.427065       0.00000       0.00000      0.724501    
  0.275420E-03   14.8804       1.28597       1.57022       1.27384       1.56687      0.121251E-01  0.334122E-02   2.84072      0.857682      0.856867      0.710008      0.416159       0.00000       0.00000      0.710008    
  0.301992E-03   14.5546       1.26006       1.54011       1.24708       1.53649      0.129811E-01  0.361441E-02   2.78357      0.841665      0.840786      0.695706      0.405412       0.00000       0.00000      0.695706    
  0.331127E-03   14.2325       1.23458       1.51042       1.22068       1.50650      0.139002E-01  0.391231E-02   2.72719      0.825859      0.824910      0.681595      0.394823       0.00000       0.00000      0.681595    
  0.363073E-03   13.9144       1.20954       1.48115       1.19466       1.47691      0.148826E-01  0.423432E-02   2.67157      0.810264      0.809240      0.667674      0.384395       0.00000       0.00000      0.667674    
  0.398101E-03   13.6002       1.18494       1.45230       1.16901       1.44772      0.159317E-01  0.458188E-02   2.61672      0.794879      0.793775      0.653942      0.374127       0.00000       0.00000      0.653942    
  0.436509E-03   13.2899       1.16077       1.42387       1.14372       1.41891      0.170534E-01  0.495802E-02   2.56263      0.779703      0.778512      0.640400      0.364018       0.00000       0.00000      0.640400    
  0.478622E-03   12.9836       1.13706       1.39586       1.11880       1.39049      0.182580E-01  0.536875E-02   2.50929      0.764731      0.763448      0.627041      0.354068       0.00000       0.00000      0.627041    
  0.524798E-03   12.6813       1.11379       1.36826       1.09424       1.36245      0.195438E-01  0.581185E-02   2.45669      0.749966      0.748582      0.613869      0.344278       0.00000       0.00000      0.613869    
  0.575429E-03   12.3830       1.09097       1.34108       1.07005       1.33479      0.209170E-01  0.629050E-02   2.40484      0.735404      0.733913      0.600881      0.334647       0.00000       0.00000      0.600881    
  0.630945E-03   12.0888       1.06860       1.31432       1.04622       1.30751      0.223851E-01  0.680892E-02   2.35373      0.721043      0.719437      0.588075      0.325174       0.00000       0.00000      0.588075    
  0.691816E-03   11.7986       1.04670       1.28797       1.02274       1.28059      0.239611E-01  0.737520E-02   2.30333      0.706880      0.705149      0.575446      0.315859       0.00000       0.00000      0.575446    
  0.758561E-03   11.5125       1.02526       1.26203      0.999616       1.25405      0.256417E-01  0.798535E-02   2.25366      0.692915      0.691050      0.562996      0.306702       0.00000       0.00000      0.562996    
  0.831745E-03   11.2304       1.00428       1.23650      0.976846       1.22786      0.274362E-01  0.864486E-02   2.20470      0.679145      0.677136      0.550721      0.297701       0.00000       0.00000      0.550721    
  0.911989E-03   10.9524      0.983778       1.21138      0.954422       1.20202      0.293561E-01  0.936098E-02   2.15644      0.665566      0.663403      0.538619      0.288856       0.00000       0.00000      0.538619    
  0.999975E-03   10.6784      0.963752       1.18667      0.932340       1.17653      0.314121E-01  0.101402E-01   2.10887      0.652175      0.649846      0.526686      0.280166       0.00000       0.00000      0.526686    
  0.109645E-02   10.4085      0.944205       1.16237      0.910601       1.15139      0.336044E-01  0.109806E-01   2.06199      0.638971      0.636465      0.514921      0.271630       0.00000       0.00000      0.514921    
  0.120223E-02   10.1427      0.925143       1.13847      0.889199       1.12658      0.359446E-01  0.118893E-01   2.01577      0.625951      0.623255      0.503321      0.263247       0.00000       0.00000      0.503321    
  0.131822E-02   9.88085      0.906576       1.11497      0.868127       1.10209      0.384487E-01  0.128777E-01   1.97022      0.613111      0.610209      0.491882      0.255016       0.00000       0.00000      0.491882    
  0.144540E-02   9.62302      0.888507       1.09187      0.847382       1.07792      0.411247E-01  0.139498E-01   1.92531      0.600446      0.597325      0.480600      0.246936       0.00000       0.00000      0.480600    
  0.158485E-02   9.36920      0.870939       1.06918      0.826961       1.05407      0.439774E-01  0.151067E-01   1.88103      0.587956      0.584599      0.469474      0.239006       0.00000       0.00000      0.469474    
  0.173775E-02   9.11936      0.853881       1.04688      0.806859       1.03053      0.470212E-01  0.163581E-01   1.83739      0.575635      0.572027      0.458500      0.231224       0.00000       0.00000      0.458500    
  0.190540E-02   8.87344      0.837344       1.02499      0.787068       1.00727      0.502762E-01  0.177202E-01   1.79434      0.563479      0.559600      0.447671      0.223589       0.00000       0.00000      0.447671    
  0.208923E-02   8.63143      0.821332       1.00349      0.767583      0.984301      0.537483E-01  0.191937E-01   1.75188      0.551484      0.547316      0.436985      0.216100       0.00000       0.00000      0.436985    
  0.229079E-02   8.39333      0.805850      0.982394      0.748402      0.961610      0.574481E-01  0.207844E-01   1.71001      0.539647      0.535169      0.426440      0.208755       0.00000       0.00000      0.426440    
  0.251180E-02   8.15909      0.790909      0.961690      0.729517      0.939185      0.613925E-01  0.225049E-01   1.66870      0.527964      0.523155      0.416031      0.201553       0.00000       0.00000      0.416031    
  0.275413E-02   7.92863      0.776523      0.941389      0.710918      0.917011      0.656050E-01  0.243770E-01   1.62793      0.516426      0.511263      0.405749      0.194492       0.00000       0.00000      0.405749    
  0.301984E-02   7.70196      0.762695      0.921482      0.692603      0.895084      0.700914E-01  0.263980E-01   1.58769      0.505033      0.499490      0.395594      0.187571       0.00000       0.00000      0.395594    
