   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.63180      0.523842      0.867900      0.520665      0.867423      0.317673E-02  0.477148E-03   1.38809      0.520665      0.520454      0.346969       0.00000       0.00000       0.00000      0.346969    
  0.109648E-03  -1.45589      0.517967      0.857725      0.514550      0.857202      0.341724E-02  0.523217E-03   1.37175      0.514550      0.514321      0.342881       0.00000       0.00000       0.00000      0.342881    
  0.120226E-03  -1.29050      0.512231      0.847735      0.508544      0.847158      0.368788E-02  0.576743E-03   1.35570      0.508544      0.508295      0.338863       0.00000       0.00000       0.00000      0.338863    
  0.131825E-03  -1.12923      0.506554      0.837820      0.502581      0.837187      0.397259E-02  0.633866E-03   1.33977      0.502581      0.502312      0.334875       0.00000       0.00000       0.00000      0.334875    
  0.144543E-03  -.973847      0.500959      0.828013      0.496682      0.827317      0.427745E-02  0.696138E-03   1.32400      0.496682      0.496390      0.330927       0.00000       0.00000       0.00000      0.330927    
  0.158489E-03  -.826157      0.495482      0.818353      0.490868      0.817586      0.461368E-02  0.766694E-03   1.30845      0.490868      0.490552      0.327034       0.00000       0.00000       0.00000      0.327034    
  0.173779E-03  -.682158      0.490062      0.808764      0.485095      0.807922      0.496650E-02  0.841710E-03   1.29302      0.485095      0.484753      0.323169       0.00000       0.00000       0.00000      0.323169    
  0.190545E-03  -.545135      0.484756      0.799312      0.479403      0.798386      0.535328E-02  0.925987E-03   1.27779      0.479403      0.479032      0.319355       0.00000       0.00000       0.00000      0.319355    
  0.208928E-03  -.413331      0.479542      0.789968      0.473772      0.788950      0.577036E-02  0.101880E-02   1.26272      0.473772      0.473370      0.315580       0.00000       0.00000       0.00000      0.315580    
  0.229085E-03  -.284906      0.474389      0.780694      0.468181      0.779577      0.620728E-02  0.111722E-02   1.24776      0.468181      0.467746      0.311831       0.00000       0.00000       0.00000      0.311831    
