LHAPDF set=                   cteq65.LHgrid
 27
  1 -0.0956  0.9998
  2  0.2468  0.9986
  3  0.1507  0.9995
  4  0.0340  1.0000
  5  0.0116  1.0000
  6  0.0464  1.0000
  7 -0.0192  1.0000
  8  0.0397  1.0000
  9 -0.1495  0.9995
 10  0.1013  0.9998
 11 -0.1204  0.9997
 12  0.2691  0.9984
 13  0.1947  0.9991
 14 -0.1191  0.9997
 15  1.3845  0.9560
 16 -1.0165  0.9766
 17  0.4814  0.9948
 18 -0.8132  0.9851
 19 -0.0724  0.9999
 20 -0.4724  0.9950
 21  1.2366  0.9651
 22  0.3319  0.9975
 23 -0.3689  0.9969
 24  0.2799  0.9982
 25  0.2119  0.9990
 26 -1.2448  0.9646
 27 -0.1331  0.9996
