   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   77.3496       6.28288       8.99708       6.25984       8.98765      0.230353E-01  0.942682E-02   15.2475       3.41018       3.41078       3.32385       2.84966       2.25245       0.00000       3.32442    
  0.109648E-03   74.7006       6.09406       8.72472       6.06974       8.71468      0.243153E-01  0.100340E-01   14.7844       3.31137       3.31200       3.22596       2.75838       2.17614       0.00000       3.22655    
  0.120226E-03   72.0888       5.90759       8.45572       5.88198       8.44507      0.256166E-01  0.106517E-01   14.3270       3.21371       3.21437       3.12923       2.66827       2.10088       0.00000       3.12982    
  0.131825E-03   69.5215       5.72397       8.19079       5.69702       8.17950      0.269546E-01  0.112904E-01   13.8765       3.11744       3.11813       3.03388       2.57958       2.02688       0.00000       3.03449    
  0.144543E-03   67.0059       5.54370       7.93062       5.51535       7.91866      0.283449E-01  0.119604E-01   13.4340       3.02280       3.02353       2.94016       2.49255       1.95435       0.00000       2.94078    
  0.158489E-03   64.5493       5.36726       7.67589       5.33745       7.66322      0.298028E-01  0.126721E-01   13.0007       2.93003       2.93079       2.84830       2.40742       1.88350       0.00000       2.84894    
  0.173779E-03   62.1588       5.19515       7.42731       5.16381       7.41387      0.313438E-01  0.134359E-01   12.5777       2.83936       2.84015       2.75854       2.32445       1.81452       0.00000       2.75919    
  0.190545E-03   59.8417       5.02788       7.18556       4.99490       7.17129      0.329835E-01  0.142621E-01   12.1662       2.75103       2.75187       2.67112       2.24386       1.74764       0.00000       2.67178    
  0.208928E-03   57.6053       4.86592       6.95132       4.83118       6.93616      0.347324E-01  0.151574E-01   11.7673       2.66528       2.66616       2.58627       2.16591       1.68305       0.00000       2.58695    
  0.229085E-03   55.4511       4.70930       6.72468       4.67273       6.70858      0.365683E-01  0.161050E-01   11.3813       2.58212       2.58306       2.50402       2.09061       1.62080       0.00000       2.50472    
  0.251186E-03   53.3718       4.55755       6.50496       4.51906       6.48785      0.384868E-01  0.171027E-01   11.0069       2.50132       2.50232       2.42413       2.01774       1.56068       0.00000       2.42485    
  0.275420E-03   51.3590       4.41016       6.29141       4.36967       6.27326      0.404887E-01  0.181525E-01   10.6429       2.42265       2.42371       2.34636       1.94702       1.50246       0.00000       2.34709    
  0.301992E-03   49.4046       4.26662       6.08331       4.22405       6.06405      0.425747E-01  0.192566E-01   10.2881       2.34583       2.34697       2.27045       1.87821       1.44589       0.00000       2.27120    
  0.331127E-03   47.5003       4.12644       5.87992       4.08169       5.85950      0.447458E-01  0.204169E-01   9.94120       2.27064       2.27185       2.19615       1.81105       1.39074       0.00000       2.19691    
  0.363073E-03   45.6380       3.98909       5.68051       3.94209       5.65888      0.470027E-01  0.216356E-01   9.60097       2.19683       2.19810       2.12321       1.74527       1.33679       0.00000       2.12399    
  0.398101E-03   43.8092       3.85409       5.48435       3.80474       5.46144      0.493462E-01  0.229147E-01   9.26618       2.12413       2.12547       2.05137       1.68061       1.28379       0.00000       2.05217    
  0.436509E-03   42.0432       3.72334       5.29414       3.67152       5.26986      0.518152E-01  0.242784E-01   8.94138       2.05349       2.05491       1.98157       1.61803       1.23256       0.00000       1.98239    
  0.478622E-03   40.3672       3.59863       5.11242       3.54419       5.08668      0.544420E-01  0.257469E-01   8.63087       1.98577       1.98726       1.91468       1.55842       1.18390       0.00000       1.91551    
