   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   9.50110       1.29109       1.80498       1.27727       1.80068      0.138210E-01  0.429240E-02   3.07795      0.942269      0.942518      0.857618      0.335000       0.00000       0.00000      0.858167    
  0.109648E-03   9.43960       1.27133       1.77829       1.25670       1.77369      0.146378E-01  0.460378E-02   3.03039      0.928325      0.928587      0.844544      0.328371       0.00000       0.00000      0.845104    
  0.120226E-03   9.37526       1.25161       1.75161       1.23614       1.74669      0.154683E-01  0.492010E-02   2.98282      0.914372      0.914647      0.831466      0.321766       0.00000       0.00000      0.832039    
  0.131825E-03   9.30805       1.23195       1.72494       1.21562       1.71969      0.163239E-01  0.524873E-02   2.93531      0.900421      0.900708      0.818395      0.315203       0.00000       0.00000      0.818980    
  0.144543E-03   9.23792       1.21240       1.69832       1.19518       1.69272      0.172162E-01  0.559704E-02   2.88790      0.886483      0.886782      0.805341      0.308698       0.00000       0.00000      0.805939    
  0.158489E-03   9.16485       1.19299       1.67178       1.17484       1.66581      0.181567E-01  0.597237E-02   2.84064      0.872568      0.872881      0.792314      0.302271       0.00000       0.00000      0.792925    
  0.173779E-03   9.08879       1.17378       1.64535       1.15462       1.63896      0.191568E-01  0.638209E-02   2.79359      0.858686      0.859014      0.779324      0.295936       0.00000       0.00000      0.779949    
  0.190545E-03   9.00971       1.15479       1.61905       1.13456       1.61221      0.202282E-01  0.683356E-02   2.74678      0.844850      0.845194      0.766380      0.289713       0.00000       0.00000      0.767020    
  0.208928E-03   8.92739       1.13606       1.59290       1.11468       1.58557      0.213784E-01  0.733122E-02   2.70025      0.831065      0.831427      0.753491      0.283614       0.00000       0.00000      0.754145    
  0.229085E-03   8.84091       1.11752       1.56686       1.09493       1.55900      0.225896E-01  0.786120E-02   2.65393      0.817309      0.817691      0.740639      0.277622       0.00000       0.00000      0.741308    
  0.251186E-03   8.75072       1.09917       1.54092       1.07531       1.53249      0.238590E-01  0.842285E-02   2.60780      0.803583      0.803986      0.727821      0.271727       0.00000       0.00000      0.728507    
  0.275420E-03   8.65752       1.08101       1.51508       1.05582       1.50606      0.251882E-01  0.901893E-02   2.56188      0.789892      0.790316      0.715041      0.265926       0.00000       0.00000      0.715743    
  0.301992E-03   8.56201       1.06303       1.48936       1.03645       1.47970      0.265789E-01  0.965218E-02   2.51616      0.776238      0.776686      0.702300      0.260216       0.00000       0.00000      0.703018    
  0.331127E-03   8.46489       1.04525       1.46376       1.01722       1.45344      0.280326E-01  0.103253E-01   2.47066      0.762629      0.763100      0.689600      0.254592       0.00000       0.00000      0.690336    
  0.363073E-03   8.36688       1.02767       1.43830      0.998117       1.42726      0.295508E-01  0.110412E-01   2.42538      0.749067      0.749564      0.676943      0.249050       0.00000       0.00000      0.677697    
  0.398101E-03   8.26867       1.01028       1.41299      0.979144       1.40118      0.311353E-01  0.118024E-01   2.38033      0.735557      0.736082      0.664332      0.243587       0.00000       0.00000      0.665103    
