   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -.851541      0.514397      0.918321      0.505603      0.916592      0.879417E-02  0.172890E-02   1.42219      0.505603      0.505689      0.410283       0.00000       0.00000       0.00000      0.410903    
  0.109648E-03  -.771284      0.510131      0.909719      0.500766      0.907843      0.936490E-02  0.187617E-02   1.40861      0.500766      0.500857      0.406353       0.00000       0.00000       0.00000      0.406986    
  0.120226E-03  -.693461      0.505841      0.901058      0.495895      0.899032      0.994540E-02  0.202515E-02   1.39493      0.495895      0.495991      0.402395       0.00000       0.00000       0.00000      0.403041    
  0.131825E-03  -.618027      0.501529      0.892329      0.490984      0.890148      0.105452E-01  0.218095E-02   1.38113      0.490984      0.491085      0.398404       0.00000       0.00000       0.00000      0.399063    
  0.144543E-03  -.544941      0.497200      0.883528      0.486026      0.881179      0.111739E-01  0.234868E-02   1.36720      0.486026      0.486132      0.394375       0.00000       0.00000       0.00000      0.395047    
  0.158489E-03  -.474159      0.492856      0.874648      0.481015      0.872115      0.118409E-01  0.253348E-02   1.35313      0.481015      0.481127      0.390302       0.00000       0.00000       0.00000      0.390988    
  0.173779E-03  -.405637      0.488501      0.865684      0.475945      0.862944      0.125558E-01  0.274045E-02   1.33889      0.475945      0.476064      0.386180       0.00000       0.00000       0.00000      0.386880    
  0.190545E-03  -.339334      0.484140      0.856630      0.470812      0.853655      0.133281E-01  0.297472E-02   1.32447      0.470812      0.470936      0.382004       0.00000       0.00000       0.00000      0.382719    
  0.208928E-03  -.275379      0.479771      0.847477      0.465607      0.844238      0.141640E-01  0.323910E-02   1.30984      0.465607      0.465739      0.377769       0.00000       0.00000       0.00000      0.378499    
  0.229085E-03  -.214678      0.475378      0.838213      0.460330      0.834691      0.150477E-01  0.352257E-02   1.29502      0.460330      0.460469      0.373476       0.00000       0.00000       0.00000      0.374222    
  0.251186E-03  -.156864      0.470964      0.828850      0.454987      0.825025      0.159773E-01  0.382529E-02   1.28001      0.454987      0.455134      0.369130       0.00000       0.00000       0.00000      0.369891    
  0.275420E-03  -.101332      0.466540      0.819401      0.449585      0.815251      0.169550E-01  0.415018E-02   1.26484      0.449585      0.449740      0.364734       0.00000       0.00000       0.00000      0.365511    
  0.301992E-03  -.474746E-01  0.462114      0.809883      0.444131      0.805383      0.179826E-01  0.450014E-02   1.24951      0.444131      0.444295      0.360294       0.00000       0.00000       0.00000      0.361088    
  0.331127E-03  0.531375E-02  0.457695      0.800308      0.438633      0.795430      0.190623E-01  0.487807E-02   1.23406      0.438633      0.438805      0.355814       0.00000       0.00000       0.00000      0.356625    
  0.363073E-03  0.576392E-01  0.453293      0.790693      0.433097      0.785406      0.201959E-01  0.528688E-02   1.21850      0.433097      0.433279      0.351300       0.00000       0.00000       0.00000      0.352128    
  0.398101E-03  0.110108      0.448917      0.781051      0.427531      0.775322      0.213856E-01  0.572946E-02   1.20285      0.427531      0.427722      0.346755       0.00000       0.00000       0.00000      0.347600    
  0.436509E-03  0.161958      0.444563      0.771346      0.421909      0.765131      0.226533E-01  0.621537E-02   1.18704      0.421909      0.422109      0.342159       0.00000       0.00000       0.00000      0.343022    
  0.478622E-03  0.212186      0.440224      0.761542      0.416207      0.754789      0.240174E-01  0.675267E-02   1.17100      0.416207      0.416415      0.337492       0.00000       0.00000       0.00000      0.338374    
  0.524798E-03  0.261485      0.435912      0.751672      0.410445      0.744333      0.254670E-01  0.733965E-02   1.15478      0.410445      0.410663      0.332769       0.00000       0.00000       0.00000      0.333670    
  0.575429E-03  0.310552      0.431636      0.741773      0.404645      0.733798      0.269911E-01  0.797454E-02   1.13844      0.404645      0.404874      0.328005       0.00000       0.00000       0.00000      0.328924    
  0.630945E-03  0.359858      0.427405      0.731862      0.398818      0.723203      0.285874E-01  0.865887E-02   1.12202      0.398818      0.399058      0.323205       0.00000       0.00000       0.00000      0.324144    
  0.691816E-03  0.408808      0.423221      0.721899      0.392933      0.712491      0.302880E-01  0.940826E-02   1.10542      0.392933      0.393187      0.318346       0.00000       0.00000       0.00000      0.319304    
  0.758561E-03  0.457584      0.419093      0.711911      0.387004      0.701686      0.320888E-01  0.102256E-01   1.08869      0.387004      0.387273      0.313434       0.00000       0.00000       0.00000      0.314413    
  0.831745E-03  0.506450      0.415024      0.701923      0.381052      0.690819      0.339721E-01  0.111036E-01   1.07187      0.381052      0.381334      0.308486       0.00000       0.00000       0.00000      0.309485    
  0.911989E-03  0.555269      0.410995      0.691906      0.375063      0.679874      0.359318E-01  0.120315E-01   1.05494      0.375063      0.375358      0.303497       0.00000       0.00000       0.00000      0.304516    
  0.999975E-03  0.604344      0.407159      0.681949      0.369034      0.668803      0.381254E-01  0.131458E-01   1.03784      0.369034      0.369346      0.298418       0.00000       0.00000       0.00000      0.299458    
  0.109645E-02  0.653692      0.403465      0.672022      0.362963      0.657619      0.405018E-01  0.144025E-01   1.02058      0.362963      0.363296      0.293264       0.00000       0.00000       0.00000      0.294324    
