After minimisation    1356.63  1131     1.199

  Partial chi2s 
Dataset    1    438.90( +8.39)   377  HERA1+2 NCep 920                                
Dataset    2     67.69( +0.32)    70  HERA1+2 NCep 820                                
Dataset    3    219.19( +1.16)   254  HERA1+2 NCep 575                                
Dataset    4    217.14( -0.84)   204  HERA1+2 NCep 460                                
Dataset    5    222.25( +0.33)   159  HERA1+2 NCem                                    
Dataset    6     42.85( +1.28)    39  HERA1+2 CCep                                    
Dataset    7     54.07( -1.88)    42  HERA1+2 CCem                                    

 Correlated Chi2    85.797640287161755     
 Log penalty Chi2    8.7485500973071595     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3875   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5645   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.3854   +/-   0.5566        :N:M:D
    4  sysHZComb1004                          0.1691   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          1.3017   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -1.2457   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1587   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0748   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.0053   +/-   0.8995        :N:M:D
   10  sysHZComb1010                         -0.3057   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7811   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.3443   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.5031   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.1171   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0885   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.1904   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3115   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.2817   +/-   0.8225        :N:M:D
   19  sysHZComb1019                         -0.4014   +/-   0.9836        :N:M:D
   20  sysHZComb1020                         -0.4490   +/-   0.9814        :N:M:D
   21  sysHZComb1021                          0.0804   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.3173   +/-   0.9687        :N:M:D
   23  sysHZComb1023                          0.0625   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.0054   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1318   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.9332   +/-   0.9202        :N:M:D
   27  sysHZComb1027                         -0.9625   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.5920   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.1132   +/-   0.9184        :N:M:D
   30  sysHZComb1030                          0.0729   +/-   0.9437        :N:M:D
   31  sysHZComb1031                         -0.5227   +/-   0.8388        :N:M:D
   32  sysHZComb1032                          0.2335   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.5408   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.3334   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.1098   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.1831   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.1646   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.3823   +/-   0.9126        :N:M:D
   39  sysHZComb1039                         -0.4062   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.2512   +/-   0.9302        :N:M:D
   41  sysHZComb1041                         -0.5130   +/-   0.8122        :N:M:D
   42  sysHZComb1042                         -0.3438   +/-   0.8744        :N:M:D
   43  sysHZComb1043                          0.0404   +/-   0.9095        :N:M:D
   44  sysHZComb1044                         -0.0443   +/-   0.9367        :N:M:D
   45  sysHZComb1045                         -0.3756   +/-   0.9308        :N:M:D
   46  sysHZComb1046                         -0.2449   +/-   0.9568        :N:M:D
   47  sysHZComb1047                          0.2606   +/-   0.9465        :N:M:D
   48  sysHZComb1048                         -0.1723   +/-   0.9609        :N:M:D
   49  sysHZComb1049                         -0.4987   +/-   0.9452        :N:M:D
   50  sysHZComb1050                          0.0440   +/-   0.9428        :N:M:D
   51  sysHZComb1051                          0.2834   +/-   0.9523        :N:M:D
   52  sysHZComb1052                          0.7324   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.5775   +/-   0.9191        :N:M:D
   54  sysHZComb1054                         -0.0956   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.6969   +/-   0.9057        :N:M:D
   56  sysHZComb1056                         -1.2409   +/-   0.8902        :N:M:D
   57  sysHZComb1057                         -0.0619   +/-   0.9192        :N:M:D
   58  sysHZComb1058                          0.1767   +/-   0.9433        :N:M:D
   59  sysHZComb1059                         -0.9402   +/-   0.8698        :N:M:D
   60  sysHZComb1060                          0.1415   +/-   0.9788        :N:M:D
   61  sysHZComb1061                          0.1538   +/-   0.9831        :N:M:D
   62  sysHZComb1062                         -1.3929   +/-   0.8947        :N:M:D
   63  sysHZComb1063                          0.3748   +/-   0.8365        :N:M:D
   64  sysHZComb1064                          0.5305   +/-   0.9294        :N:M:D
   65  sysHZComb1065                         -0.8068   +/-   0.9468        :N:M:D
   66  sysHZComb1066                         -0.6211   +/-   0.9319        :N:M:D
   67  sysHZComb1067                         -0.0604   +/-   0.9638        :N:M:D
   68  sysHZComb1068                         -0.3869   +/-   0.9199        :N:M:D
   69  sysHZComb1069                         -0.0437   +/-   0.9123        :N:M:D
   70  sysHZComb1070                          0.3455   +/-   0.9072        :N:M:D
   71  sysHZComb1071                         -1.2227   +/-   0.8573        :N:M:D
   72  sysHZComb1072                         -0.0447   +/-   0.9700        :N:M:D
   73  sysHZComb1073                          0.2012   +/-   0.9037        :N:M:D
   74  sysHZComb1074                          0.0108   +/-   0.9351        :N:M:D
   75  sysHZComb1075                         -0.0736   +/-   0.8650        :N:M:D
   76  sysHZComb1076                         -0.1232   +/-   0.9605        :N:M:D
   77  sysHZComb1077                         -0.5846   +/-   0.9610        :N:M:D
   78  sysHZComb1078                          0.0955   +/-   0.9756        :N:M:D
   79  sysHZComb1079                          0.0623   +/-   0.8843        :N:M:D
   80  sysHZComb1080                         -0.3520   +/-   0.9246        :N:M:D
   81  sysHZComb1081                         -0.1904   +/-   0.8872        :N:M:D
   82  sysHZComb1082                         -0.8254   +/-   0.8380        :N:M:D
   83  sysHZComb1083                         -1.2724   +/-   0.8901        :N:M:D
   84  sysHZComb1084                          0.2483   +/-   0.9680        :N:M:D
   85  sysHZComb1085                         -0.0713   +/-   0.8684        :N:M:D
   86  sysHZComb1086                         -0.1407   +/-   0.7916        :N:M:D
   87  sysHZComb1087                         -0.4061   +/-   0.8596        :N:M:D
   88  sysHZComb1088                          0.1968   +/-   0.9912        :N:M:D
   89  sysHZComb1089                         -0.1384   +/-   0.9609        :N:M:D
   90  sysHZComb1090                          0.5370   +/-   0.9427        :N:M:D
   91  sysHZComb1091                          0.6780   +/-   0.8869        :N:M:D
   92  sysHZComb1092                          0.5071   +/-   0.8089        :N:M:D
   93  sysHZComb1093                          0.1703   +/-   0.7904        :N:M:D
   94  sysHZComb1094                          0.0606   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.3541   +/-   0.8455        :N:M:D
   96  sysHZComb1096                          0.2640   +/-   0.8943        :N:M:D
   97  sysHZComb1097                          0.3460   +/-   0.9879        :N:M:D
   98  sysHZComb1098                          1.3234   +/-   0.7351        :N:M:D
   99  sysHZComb1099                         -1.1687   +/-   0.6832        :N:M:D
  100  sysHZComb1100                         -0.8535   +/-   0.6876        :N:M:D
  101  sysHZComb1101                         -0.6188   +/-   0.7719        :N:M:D
  102  sysHZComb1102                         -0.5086   +/-   0.9018        :N:M:D
  103  sysHZComb1103                          0.4273   +/-   0.7905        :N:M:D
