   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   7.12753      0.926506       1.27828      0.918884       1.27551      0.762209E-02  0.277230E-02   2.19439      0.721853      0.721237      0.554270      0.197032       0.00000       0.00000      0.554270    
  0.109648E-03   7.08299      0.913060       1.25901      0.904949       1.25604      0.811131E-02  0.296950E-02   2.16098      0.710836      0.710174      0.545862      0.194113       0.00000       0.00000      0.545862    
  0.120226E-03   7.03707      0.899857       1.24006      0.891205       1.23687      0.865177E-02  0.318978E-02   2.12808      0.700010      0.699296      0.537575      0.191195       0.00000       0.00000      0.537575    
  0.131825E-03   6.99060      0.886755       1.22125      0.877540       1.21783      0.921570E-02  0.342075E-02   2.09537      0.689262      0.688494      0.529337      0.188278       0.00000       0.00000      0.529337    
  0.144543E-03   6.94337      0.873801       1.20264      0.863988       1.19897      0.981324E-02  0.366703E-02   2.06296      0.678626      0.677800      0.521171      0.185362       0.00000       0.00000      0.521171    
  0.158489E-03   6.89513      0.861055       1.18429      0.850592       1.18035      0.104621E-01  0.393696E-02   2.03095      0.668143      0.667253      0.513101      0.182449       0.00000       0.00000      0.513101    
  0.173779E-03   6.84640      0.848412       1.16608      0.837274       1.16186      0.111378E-01  0.421933E-02   1.99913      0.657735      0.656778      0.505079      0.179539       0.00000       0.00000      0.505079    
  0.190545E-03   6.79676      0.835974       1.14812      0.824106       1.14359      0.118679E-01  0.452710E-02   1.96770      0.647473      0.646442      0.497149      0.176633       0.00000       0.00000      0.497149    
  0.208928E-03   6.74643      0.823701       1.13036      0.811056       1.12551      0.126457E-01  0.485735E-02   1.93656      0.637324      0.636215      0.489292      0.173732       0.00000       0.00000      0.489292    
  0.229085E-03   6.69567      0.811537       1.11274      0.798083       1.10754      0.134546E-01  0.520231E-02   1.90562      0.627248      0.626057      0.481481      0.170834       0.00000       0.00000      0.481481    
  0.251186E-03   6.64390      0.799643       1.09544      0.785296       1.08985      0.143463E-01  0.558678E-02   1.87515      0.617350      0.616067      0.473783      0.167946       0.00000       0.00000      0.473783    
  0.275420E-03   6.59172      0.787869       1.07827      0.772591       1.07228      0.152779E-01  0.599052E-02   1.84487      0.607529      0.606148      0.466133      0.165062       0.00000       0.00000      0.466133    
  0.301992E-03   6.53899      0.776258       1.06130      0.759995       1.05488      0.162630E-01  0.642017E-02   1.81487      0.597810      0.596326      0.458549      0.162185       0.00000       0.00000      0.458549    
  0.331127E-03   6.48550      0.764891       1.04459      0.747557       1.03770      0.173338E-01  0.689165E-02   1.78526      0.588239      0.586641      0.451058      0.159318       0.00000       0.00000      0.451058    
  0.363073E-03   6.43167      0.753644       1.02802      0.735196       1.02063      0.184485E-01  0.738482E-02   1.75583      0.578739      0.577022      0.443611      0.156457       0.00000       0.00000      0.443611    
  0.398101E-03   6.37718      0.742631       1.01170      0.722980       1.00378      0.196505E-01  0.792117E-02   1.72676      0.569374      0.567527      0.436250      0.153607       0.00000       0.00000      0.436250    
