   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   33.1484       3.00921       4.00710       2.99963       4.00391      0.957520E-02  0.319134E-02   7.00354       1.81182       1.81134       1.64998       1.18781      0.542761       0.00000       1.64981    
  0.109648E-03   32.4101       2.94159       3.91741       2.93141       3.91401      0.101751E-01  0.339672E-02   6.84543       1.77318       1.77266       1.61325       1.15824      0.528285       0.00000       1.61307    
  0.120226E-03   31.6798       2.87534       3.82947       2.86450       3.82584      0.108367E-01  0.362519E-02   6.69035       1.73524       1.73468       1.57718       1.12927      0.514161       0.00000       1.57700    
  0.131825E-03   30.9531       2.80968       3.74227       2.79815       3.73841      0.115266E-01  0.386438E-02   6.53656       1.69760       1.69700       1.54140       1.10055      0.500184       0.00000       1.54122    
  0.144543E-03   30.2318       2.74486       3.65614       2.73261       3.65203      0.122570E-01  0.411894E-02   6.38463       1.66040       1.65975       1.50604       1.07220      0.486420       0.00000       1.50586    
  0.158489E-03   29.5187       2.68125       3.57154       2.66820       3.56714      0.130491E-01  0.439729E-02   6.23534       1.62381       1.62311       1.47126       1.04438      0.472951       0.00000       1.47108    
  0.173779E-03   28.8098       2.61824       3.48769       2.60437       3.48300      0.138735E-01  0.468820E-02   6.08736       1.58754       1.58678       1.43678       1.01683      0.459630       0.00000       1.43659    
  0.190545E-03   28.1094       2.55642       3.40533       2.54165       3.40032      0.147634E-01  0.500476E-02   5.94198       1.55186       1.55104       1.40287      0.989792      0.446594       0.00000       1.40269    
  0.208928E-03   27.4164       2.49556       3.32417       2.47985       3.31883      0.157105E-01  0.534413E-02   5.79868       1.51668       1.51579       1.36943      0.963175      0.433786       0.00000       1.36925    
  0.229085E-03   26.7281       2.43533       3.24379       2.41864       3.23809      0.166949E-01  0.569842E-02   5.65673       1.48181       1.48085       1.33630      0.936830      0.421126       0.00000       1.33611    
  0.251186E-03   26.0519       2.37665       3.16533       2.35887       3.15924      0.177787E-01  0.609297E-02   5.51811       1.44772       1.44669       1.30391      0.911155      0.408825       0.00000       1.30372    
  0.275420E-03   25.3814       2.31865       3.08771       2.29974       3.08120      0.189102E-01  0.650726E-02   5.38095       1.41397       1.41286       1.27185      0.885776      0.396680       0.00000       1.27166    
  0.301992E-03   24.7183       2.26158       3.01123       2.24147       3.00428      0.201060E-01  0.694808E-02   5.24575       1.38068       1.37949       1.24023      0.860794      0.384745       0.00000       1.24005    
  0.331127E-03   24.0665       2.20586       2.93640       2.18445       2.92897      0.214043E-01  0.743198E-02   5.11342       1.34806       1.34678       1.20925      0.836392      0.373114       0.00000       1.20907    
  0.363073E-03   23.4204       2.15080       2.86237       2.12804       2.85444      0.227551E-01  0.793829E-02   4.98248       1.31577       1.31439       1.17859      0.812271      0.361629       0.00000       1.17842    
  0.398101E-03   22.7850       2.09700       2.78988       2.07279       2.78140      0.242103E-01  0.848930E-02   4.85419       1.28411       1.28262       1.14853      0.788689      0.350422       0.00000       1.14836    
  0.436509E-03   22.1589       2.04427       2.71867       2.01851       2.70959      0.257605E-01  0.908190E-02   4.72809       1.25295       1.25135       1.11896      0.765553      0.339445       0.00000       1.11879    
  0.478622E-03   21.5386       1.99220       2.64826       1.96483       2.63856      0.273717E-01  0.970118E-02   4.60339       1.22213       1.22041       1.08971      0.742699      0.328613       0.00000       1.08954    
  0.524798E-03   20.9326       1.94174       2.57978       1.91260       2.56939      0.291410E-01  0.103910E-01   4.48199       1.19208       1.19023       1.06121      0.720518      0.318124       0.00000       1.06104    
  0.575429E-03   20.3333       1.89202       2.51219       1.86103       2.50107      0.309902E-01  0.111172E-01   4.36210       1.16239       1.16039       1.03304      0.698645      0.307790       0.00000       1.03288    
  0.630945E-03   19.7424       1.84324       2.44570       1.81030       2.43382      0.329404E-01  0.118894E-01   4.24412       1.13314       1.13100       1.00531      0.677160      0.297654       0.00000       1.00516    
  0.691816E-03   19.1645       1.79589       2.38091       1.76083       2.36817      0.350585E-01  0.127396E-01   4.12900       1.10457       1.10227      0.978226      0.656259      0.287812       0.00000      0.978081    
  0.758561E-03   18.5929       1.74922       2.31690       1.71196       2.30327      0.372615E-01  0.136299E-01   4.01523       1.07632       1.07385      0.951450      0.635635      0.278109       0.00000      0.951312    
  0.831745E-03   18.0330       1.70382       2.25439       1.66419       2.23979      0.396285E-01  0.145981E-01   3.90399       1.04867       1.04601      0.925245      0.615526      0.268664       0.00000      0.925114    
  0.911989E-03   17.4832       1.65953       2.19316       1.61738       2.17751      0.421513E-01  0.156419E-01   3.79489       1.02152       1.01867      0.899528      0.595857      0.259439       0.00000      0.899406    
  0.999975E-03   16.9398       1.61591       2.13271       1.57114       2.11598      0.447718E-01  0.167333E-01   3.68712      0.994684      0.991631      0.874113      0.576459      0.250349       0.00000      0.873999    
  0.109645E-02   16.4113       1.57391       2.07411       1.52626       2.05616      0.476401E-01  0.179477E-01   3.58243      0.968574      0.965296      0.849396      0.557691      0.241574       0.00000      0.849292    
  0.120223E-02   15.8901       1.53267       2.01639       1.48203       1.99716      0.506396E-01  0.192287E-01   3.47919      0.942809      0.939295      0.825010      0.539223      0.232947       0.00000      0.824916    
  0.131822E-02   15.3774       1.49236       1.95971       1.43856       1.93912      0.537946E-01  0.205888E-01   3.37768      0.917453      0.913690      0.801018      0.521110      0.224498       0.00000      0.800935    
  0.144540E-02   14.8783       1.45350       1.90467       1.39628       1.88258      0.572194E-01  0.220891E-01   3.27887      0.892733      0.888697      0.777637      0.503549      0.216323       0.00000      0.777565    
  0.158485E-02   14.3856       1.41533       1.85040       1.35455       1.82674      0.607780E-01  0.236601E-01   3.18129      0.868307      0.863986      0.754538      0.486244      0.208274       0.00000      0.754478    
  0.173775E-02   13.9045       1.37840       1.79751       1.31381       1.77215      0.645885E-01  0.253652E-01   3.08596      0.844412      0.839786      0.731950      0.469402      0.200456       0.00000      0.731903    
  0.190540E-02   13.4339       1.34260       1.74586       1.27396       1.71866      0.686474E-01  0.272058E-01   2.99261      0.820987      0.816033      0.709814      0.452970      0.192842       0.00000      0.709780    
  0.208923E-02   12.9696       1.30749       1.69496       1.23463       1.66583      0.728587E-01  0.291299E-01   2.90046      0.797844      0.792550      0.687949      0.436785      0.185350       0.00000      0.687929    
  0.229079E-02   12.5199       1.27394       1.64576       1.19649       1.61450      0.774469E-01  0.312647E-01   2.81099      0.775338      0.769672      0.666696      0.421157      0.178136       0.00000      0.666691    
