   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   81.3051       6.60909       9.43137       6.59402       9.42590      0.150687E-01  0.547955E-02   16.0199       3.59316       3.59239       3.43800       3.00086       2.39571       0.00000       3.43779    
  0.109648E-03   78.3996       6.40222       9.13236       6.38626       9.12654      0.159560E-01  0.581700E-02   15.5128       3.48484       3.48402       3.33154       2.90142       2.31120       0.00000       3.33133    
  0.120226E-03   75.6200       6.20331       8.84491       6.18639       8.83872      0.169276E-01  0.618973E-02   15.0251       3.38051       3.37963       3.22904       2.80587       2.23026       0.00000       3.22883    
  0.131825E-03   72.8910       6.00764       8.56214       5.98970       8.55556      0.179373E-01  0.657869E-02   14.5453       3.27781       3.27686       3.12814       2.71189       2.15076       0.00000       3.12794    
  0.144543E-03   70.2345       5.81659       8.28606       5.79759       8.27907      0.190018E-01  0.699086E-02   14.0767       3.17742       3.17640       3.02955       2.62017       2.07333       0.00000       3.02934    
  0.158489E-03   67.6752       5.63180       8.01902       5.61165       8.01158      0.201490E-01  0.743862E-02   13.6232       3.08017       3.07907       2.93406       2.53148       1.99866       0.00000       2.93385    
  0.173779E-03   65.1632       5.45006       7.75639       5.42872       7.74848      0.213391E-01  0.790503E-02   13.1772       2.98444       2.98327       2.84008       2.44428       1.92534       0.00000       2.83987    
  0.190545E-03   62.7418       5.27420       7.50221       5.25158       7.49380      0.226161E-01  0.840935E-02   12.7454       2.89165       2.89039       2.74901       2.35993       1.85460       0.00000       2.74881    
  0.208928E-03   60.3898       5.10287       7.25455       5.07890       7.24561      0.239681E-01  0.894697E-02   12.3245       2.80113       2.79978       2.66019       2.27777       1.78584       0.00000       2.65999    
  0.229085E-03   58.0829       4.93449       7.01113       4.90912       7.00162      0.253691E-01  0.950637E-02   11.9107       2.71208       2.71063       2.57283       2.19704       1.71837       0.00000       2.57263    
  0.251186E-03   55.8819       4.77308       6.77769       4.74618       6.76757      0.268991E-01  0.101238E-01   11.5137       2.62650       2.62494       2.48890       2.11967       1.65392       0.00000       2.48871    
  0.275420E-03   53.7255       4.61463       6.54850       4.58614       6.53773      0.284905E-01  0.107694E-01   11.1239       2.54240       2.54073       2.40644       2.04374       1.59075       0.00000       2.40625    
  0.301992E-03   51.6293       4.46017       6.32500       4.43000       6.31354      0.301644E-01  0.114527E-01   10.7435       2.46028       2.45849       2.32595       1.96972       1.52929       0.00000       2.32576    
  0.331127E-03   49.6169       4.31133       6.10950       4.27936       6.09730      0.319683E-01  0.121966E-01   10.3767       2.38095       2.37904       2.24821       1.89840       1.47024       0.00000       2.24803    
  0.363073E-03   47.6446       4.16517       5.89783       4.13133       5.88486      0.338387E-01  0.129717E-01   10.0162       2.30296       2.30091       2.17180       1.82837       1.41233       0.00000       2.17162    
  0.398101E-03   45.7472       4.02407       5.69334       3.98823       5.67953      0.358401E-01  0.138087E-01   9.66776       2.22747       2.22527       2.09787       1.76076       1.35657       0.00000       2.09769    
  0.436509E-03   43.9097       3.88704       5.49462       3.84908       5.47992      0.379595E-01  0.147026E-01   9.32900       2.15399       2.15164       2.02593       1.69510       1.30253       0.00000       2.02576    
  0.478622E-03   42.1101       3.75259       5.29955       3.71244       5.28392      0.401543E-01  0.156328E-01   8.99636       2.08178       2.07927       1.95525       1.63066       1.24957       0.00000       1.95508    
  0.524798E-03   40.3978       3.62413       5.11293       3.58159       5.09628      0.425429E-01  0.166580E-01   8.67786       2.01252       2.00983       1.88748       1.56907       1.19911       0.00000       1.88733    
  0.575429E-03   38.7242       3.49834       4.93008       3.45331       4.91235      0.450283E-01  0.177315E-01   8.36566       1.94458       1.94170       1.82102       1.50874       1.14977       0.00000       1.82087    
  0.630945E-03   37.0993       3.37593       4.75197       3.32830       4.73311      0.476359E-01  0.188659E-01   8.06140       1.87829       1.87522       1.75620       1.45001       1.10183       0.00000       1.75606    
  0.691816E-03   35.5457       3.25849       4.58083       3.20804       4.56073      0.504440E-01  0.201022E-01   7.76878       1.81443       1.81115       1.69378       1.39362       1.05594       0.00000       1.69364    
  0.758561E-03   34.0252       3.14337       4.41294       3.09002       4.39155      0.533526E-01  0.213903E-01   7.48157       1.75170       1.74820       1.63248       1.33832       1.01100       0.00000       1.63236    
  0.831745E-03   32.5656       3.03254       4.25105       2.97609       4.22827      0.564545E-01  0.227784E-01   7.20436       1.69106       1.68733       1.57324       1.28503      0.967809       0.00000       1.57313    
  0.911989E-03   31.1567       2.92532       4.09416       2.86559       4.06990      0.597373E-01  0.242620E-01   6.93548       1.63216       1.62818       1.51573       1.23342      0.926081       0.00000       1.51563    
  0.999975E-03   29.7790       2.82032       3.94036       2.75719       3.91455      0.631332E-01  0.258055E-01   6.67175       1.57434       1.57010       1.45929       1.18285      0.885253       0.00000       1.45920    
  0.109645E-02   28.4720       2.72040       3.79359       2.65359       3.76609      0.668129E-01  0.275018E-01   6.41968       1.51897       1.51444       1.40526       1.13462      0.846464       0.00000       1.40519    
  0.120223E-02   27.1978       2.62287       3.65010       2.55223       3.62082      0.706403E-01  0.292793E-01   6.17305       1.46473       1.45991       1.35236       1.08750      0.808621       0.00000       1.35230    
  0.131822E-02   25.9626       2.52815       3.51051       2.45351       3.47936      0.746431E-01  0.311532E-01   5.93287       1.41184       1.40671       1.30079       1.04167      0.771903       0.00000       1.30074    
  0.144540E-02   24.7866       2.43778       3.37687       2.35884       3.34367      0.789449E-01  0.331949E-01   5.70251       1.36102       1.35555       1.25126      0.997819      0.736896       0.00000       1.25123    
  0.158485E-02   23.6375       2.34941       3.24595       2.26601       3.21063      0.833936E-01  0.353202E-01   5.47664       1.31113       1.30532       1.20266      0.954877      0.702669       0.00000       1.20265    
  0.173775E-02   22.5371       2.26463       3.11995       2.17651       3.08234      0.881169E-01  0.376028E-01   5.25886       1.26295       1.25676       1.15574      0.913566      0.669846       0.00000       1.15574    
  0.190540E-02   21.4787       2.18301       2.99823       2.08991       2.95819      0.931064E-01  0.400413E-01   5.04809       1.21623       1.20965       1.11028      0.873673      0.638242       0.00000       1.11029    
  0.208923E-02   20.4456       2.10330       2.87908       2.00504       2.83651      0.982586E-01  0.425755E-01   4.84155       1.17041       1.16342       1.06569      0.834631      0.607370       0.00000       1.06572    
  0.229079E-02   19.4686       2.02785       2.76570       1.92404       2.72035      0.103807      0.453472E-01   4.64439       1.12655       1.11912       1.02305      0.797488      0.578127       0.00000       1.02310    
  0.251180E-02   18.5190       1.95450       2.65513       1.84493       2.60688      0.109570      0.482501E-01   4.45181       1.08366       1.07577      0.981366      0.761270      0.549678       0.00000      0.981433    
  0.275413E-02   17.5999       1.88349       2.54771       1.76792       2.49641      0.115572      0.512996E-01   4.26433       1.04184       1.03347      0.940738      0.726084      0.522112       0.00000      0.940823    
  0.301984E-02   16.7290       1.81625       2.44531       1.69426       2.39069      0.121995      0.546131E-01   4.08495       1.00172      0.992842      0.901796      0.692539      0.495951       0.00000      0.901899    
  0.331118E-02   15.8797       1.75071       2.34516       1.62209       2.28710      0.128619      0.580550E-01   3.90919      0.962362      0.952956      0.863605      0.659728      0.470418       0.00000      0.863726    
  0.363064E-02   15.0684       1.68816       2.24898       1.55255       2.18725      0.135609      0.617321E-01   3.73981      0.924344      0.914381      0.826741      0.628211      0.445990       0.00000      0.826881    
  0.398091E-02   14.2913       1.62836       2.15643       1.48540       2.09078      0.142962      0.656487E-01   3.57618      0.887535      0.876987      0.791075      0.597864      0.422562       0.00000      0.791233    
  0.436498E-02   13.5342       1.57017       2.06600       1.41964       1.99629      0.150532      0.697091E-01   3.41593      0.851435      0.840283      0.756111      0.568203      0.399720       0.00000      0.756287    
  0.478610E-02   12.8209       1.51554       1.98024       1.35693       1.90612      0.158611      0.741141E-01   3.26305      0.816882      0.805088      0.722682      0.540043      0.378158       0.00000      0.722876    
  0.524785E-02   12.1299       1.46274       1.89687       1.29576       1.81815      0.166973      0.787150E-01   3.11392      0.783116      0.770657      0.690034      0.512648      0.357249       0.00000      0.690245    
  0.575415E-02   11.4621       1.41186       1.81601       1.23623       1.73249      0.175630      0.835214E-01   2.96872      0.750174      0.737029      0.658205      0.486056      0.337023       0.00000      0.658434    
  0.630929E-02   10.8330       1.36421       1.73935       1.17940       1.65064      0.184817      0.887068E-01   2.83004      0.718597      0.704727      0.627735      0.460799      0.317935       0.00000      0.627981    
  0.691799E-02   10.2207       1.31799       1.66454       1.12374       1.57047      0.194247      0.940699E-01   2.69421      0.687615      0.673004      0.597859      0.436126      0.299343       0.00000      0.598121    
  0.758542E-02   9.63745       1.27423       1.59292       1.07012       1.49317      0.204106      0.997481E-01   2.56330      0.657660      0.642278      0.569010      0.412462      0.281610       0.00000      0.569287    
  0.831724E-02   9.08146       1.23281       1.52434       1.01842       1.41859      0.214391      0.105750       2.43701      0.628670      0.612488      0.541127      0.389750      0.264687       0.00000      0.541419    
  0.911966E-02   8.53926       1.19261       1.45732      0.967695       1.34539      0.224915      0.111934       2.31309      0.600170      0.583173      0.513736      0.367525      0.248175       0.00000      0.514042    
  0.999950E-02   8.01480       1.15418       1.39248      0.918265       1.27399      0.235914      0.118484       2.19226      0.572318      0.554475      0.486997      0.345947      0.232204       0.00000      0.487316    
  0.109642E-01   7.51299       1.11759       1.33009      0.870408       1.20484      0.247185      0.125255       2.07525      0.545254      0.526552      0.461054      0.325154      0.216903       0.00000      0.461385    
