   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   33.1476       3.00914       4.00701       2.99956       4.00382      0.957520E-02  0.319134E-02   7.00338       1.81178       1.81130       1.64995       1.18778      0.542748       0.00000       1.64977    
  0.109648E-03   32.4093       2.94152       3.91732       2.93135       3.91393      0.101751E-01  0.339672E-02   6.84527       1.77314       1.77262       1.61321       1.15821      0.528272       0.00000       1.61303    
  0.120226E-03   31.6789       2.87527       3.82938       2.86444       3.82576      0.108367E-01  0.362519E-02   6.69019       1.73520       1.73464       1.57715       1.12924      0.514148       0.00000       1.57697    
  0.131825E-03   30.9523       2.80962       3.74219       2.79809       3.73832      0.115266E-01  0.386438E-02   6.53641       1.69757       1.69696       1.54137       1.10052      0.500172       0.00000       1.54119    
  0.144543E-03   30.2310       2.74480       3.65606       2.73254       3.65195      0.122570E-01  0.411894E-02   6.38449       1.66037       1.65971       1.50601       1.07218      0.486408       0.00000       1.50582    
  0.158489E-03   29.5179       2.68119       3.57146       2.66814       3.56706      0.130491E-01  0.439729E-02   6.23520       1.62378       1.62308       1.47123       1.04436      0.472940       0.00000       1.47105    
  0.173779E-03   28.8090       2.61818       3.48761       2.60431       3.48292      0.138735E-01  0.468820E-02   6.08723       1.58750       1.58674       1.43675       1.01680      0.459619       0.00000       1.43656    
  0.190545E-03   28.1087       2.55636       3.40526       2.54160       3.40025      0.147634E-01  0.500476E-02   5.94185       1.55183       1.55101       1.40284      0.989768      0.446584       0.00000       1.40266    
  0.208928E-03   27.4157       2.49551       3.32410       2.47980       3.31876      0.157105E-01  0.534413E-02   5.79855       1.51665       1.51576       1.36940      0.963151      0.433776       0.00000       1.36922    
  0.229085E-03   26.7274       2.43528       3.24372       2.41858       3.23803      0.166949E-01  0.569842E-02   5.65661       1.48178       1.48082       1.33627      0.936807      0.421116       0.00000       1.33608    
  0.251186E-03   26.0513       2.37660       3.16526       2.35882       3.15917      0.177787E-01  0.609297E-02   5.51799       1.44769       1.44666       1.30388      0.911133      0.408815       0.00000       1.30370    
  0.275420E-03   25.3808       2.31860       3.08765       2.29969       3.08114      0.189102E-01  0.650726E-02   5.38083       1.41394       1.41283       1.27182      0.885754      0.396671       0.00000       1.27164    
  0.301992E-03   24.7177       2.26153       3.01117       2.24143       3.00422      0.201060E-01  0.694808E-02   5.24564       1.38065       1.37946       1.24020      0.860773      0.384736       0.00000       1.24002    
  0.331127E-03   24.0660       2.20581       2.93634       2.18441       2.92891      0.214043E-01  0.743198E-02   5.11331       1.34804       1.34675       1.20923      0.836372      0.373105       0.00000       1.20905    
  0.363073E-03   23.4198       2.15075       2.86231       2.12800       2.85438      0.227551E-01  0.793829E-02   4.98238       1.31575       1.31436       1.17857      0.812252      0.361621       0.00000       1.17839    
  0.398101E-03   22.7845       2.09696       2.78983       2.07275       2.78134      0.242103E-01  0.848930E-02   4.85409       1.28408       1.28259       1.14851      0.788671      0.350415       0.00000       1.14833    
  0.436509E-03   22.1583       2.04422       2.71862       2.01846       2.70953      0.257605E-01  0.908190E-02   4.72800       1.25293       1.25133       1.11894      0.765535      0.339438       0.00000       1.11877    
  0.478622E-03   21.5381       1.99216       2.64821       1.96479       2.63851      0.273717E-01  0.970118E-02   4.60330       1.22210       1.22038       1.08969      0.742682      0.328606       0.00000       1.08952    
  0.524798E-03   20.9321       1.94170       2.57973       1.91256       2.56934      0.291410E-01  0.103910E-01   4.48190       1.19206       1.19020       1.06118      0.720501      0.318117       0.00000       1.06102    
  0.575429E-03   20.3328       1.89198       2.51214       1.86099       2.50102      0.309902E-01  0.111172E-01   4.36201       1.16237       1.16037       1.03302      0.698629      0.307784       0.00000       1.03286    
  0.630945E-03   19.7420       1.84321       2.44566       1.81027       2.43377      0.329404E-01  0.118894E-01   4.24403       1.13312       1.13098       1.00529      0.677145      0.297648       0.00000       1.00514    
  0.691816E-03   19.1641       1.79586       2.38086       1.76080       2.36812      0.350585E-01  0.127396E-01   4.12892       1.10455       1.10225      0.978207      0.656244      0.287806       0.00000      0.978062    
  0.758561E-03   18.5925       1.74919       2.31686       1.71193       2.30323      0.372615E-01  0.136299E-01   4.01515       1.07630       1.07383      0.951432      0.635621      0.278103       0.00000      0.951293    
  0.831745E-03   18.0326       1.70379       2.25435       1.66416       2.23975      0.396285E-01  0.145981E-01   3.90391       1.04865       1.04600      0.925227      0.615512      0.268658       0.00000      0.925096    
  0.911989E-03   17.4828       1.65949       2.19312       1.61734       2.17747      0.421513E-01  0.156419E-01   3.79482       1.02150       1.01865      0.899511      0.595843      0.259433       0.00000      0.899388    
  0.999975E-03   16.9395       1.61588       2.13267       1.57111       2.11594      0.447718E-01  0.167333E-01   3.68705      0.994665      0.991613      0.874096      0.576446      0.250344       0.00000      0.873982    
  0.109645E-02   16.4110       1.57388       2.07407       1.52623       2.05612      0.476401E-01  0.179477E-01   3.58236      0.968556      0.965279      0.849379      0.557679      0.241569       0.00000      0.849275    
  0.120223E-02   15.8897       1.53264       2.01635       1.48200       1.99712      0.506396E-01  0.192287E-01   3.47912      0.942792      0.939278      0.824994      0.539211      0.232943       0.00000      0.824900    
  0.131822E-02   15.3771       1.49233       1.95967       1.43854       1.93909      0.537946E-01  0.205888E-01   3.37762      0.917437      0.913673      0.801003      0.521098      0.224493       0.00000      0.800919    
  0.144540E-02   14.8780       1.45348       1.90464       1.39626       1.88255      0.572194E-01  0.220891E-01   3.27881      0.892717      0.888681      0.777622      0.503538      0.216318       0.00000      0.777551    
  0.158485E-02   14.3853       1.41530       1.85037       1.35453       1.82671      0.607780E-01  0.236601E-01   3.18123      0.868291      0.863971      0.754524      0.486234      0.208270       0.00000      0.754464    
  0.173775E-02   13.9042       1.37838       1.79748       1.31379       1.77211      0.645885E-01  0.253652E-01   3.08590      0.844397      0.839771      0.731937      0.469392      0.200452       0.00000      0.731890    
  0.190540E-02   13.4336       1.34258       1.74583       1.27393       1.71862      0.686474E-01  0.272058E-01   2.99256      0.820972      0.816019      0.709801      0.452960      0.192838       0.00000      0.709767    
  0.208923E-02   12.9694       1.30746       1.69493       1.23461       1.66580      0.728587E-01  0.291299E-01   2.90040      0.797830      0.792536      0.687936      0.436775      0.185347       0.00000      0.687916    
  0.229079E-02   12.5196       1.27392       1.64573       1.19647       1.61447      0.774469E-01  0.312647E-01   2.81094      0.775324      0.769659      0.666684      0.421148      0.178133       0.00000      0.666679    
  0.251180E-02   12.0772       1.24117       1.59739       1.15893       1.56388      0.822429E-01  0.335187E-01   2.72280      0.753133      0.747077      0.645733      0.405796      0.171056       0.00000      0.645743    
  0.275413E-02   11.6429       1.20931       1.55001       1.12204       1.51410      0.872708E-01  0.359056E-01   2.63615      0.731291      0.724826      0.625119      0.390751      0.164133       0.00000      0.625144    
  0.301984E-02   11.2221       1.17893       1.50418       1.08621       1.46565      0.927153E-01  0.385377E-01   2.55186      0.710012      0.703101      0.605046      0.376203      0.157459       0.00000      0.605086    
  0.331118E-02   10.8073       1.14922       1.45907       1.05086       1.41778      0.983621E-01  0.412911E-01   2.46864      0.688985      0.681612      0.585215      0.361878      0.150897       0.00000      0.585272    
  0.363064E-02   10.4035       1.12073       1.41523       1.01635       1.37096      0.104379      0.442682E-01   2.38731      0.668404      0.660538      0.565813      0.347950      0.144534       0.00000      0.565886    
  0.398091E-02   10.0098       1.09338       1.37256      0.982612       1.32508      0.110773      0.474791E-01   2.30770      0.648228      0.639838      0.546802      0.334384      0.138354       0.00000      0.546892    
  0.436498E-02   9.62213       1.06671       1.33060      0.949321       1.27977      0.117393      0.508312E-01   2.22909      0.628290      0.619357      0.528020      0.321031      0.132283       0.00000      0.528127    
  0.478610E-02   9.24785       1.04158       1.29019      0.917021       1.23567      0.124554      0.545290E-01   2.15269      0.608873      0.599352      0.509741      0.308148      0.126450       0.00000      0.509864    
  0.524785E-02   8.88060       1.01725       1.25062      0.885229       1.19219      0.132024      0.584293E-01   2.07742      0.589721      0.579587      0.491718      0.295508      0.120742       0.00000      0.491858    
  0.575415E-02   8.52072      0.993786       1.21190      0.853969       1.14936      0.139818      0.625419E-01   2.00333      0.570847      0.560074      0.473964      0.283122      0.115163       0.00000      0.474122    
  0.630929E-02   8.17339      0.971805       1.17467      0.823596       1.10761      0.148209      0.670587E-01   1.93121      0.552434      0.540974      0.456658      0.271163      0.109805       0.00000      0.456832    
  0.691799E-02   7.83166      0.950493       1.13810      0.793612       1.06633      0.156881      0.717700E-01   1.85995      0.534221      0.522053      0.439548      0.259391      0.104544       0.00000      0.439738    
  0.758542E-02   7.49966      0.930353       1.10270      0.764299       1.02587      0.166053      0.768295E-01   1.79017      0.516353      0.503439      0.422775      0.247946      0.994520E-01   0.00000      0.422981    
  0.831724E-02   7.17703      0.911363       1.06843      0.735620      0.986173      0.175743      0.822609E-01   1.72179      0.498808      0.485108      0.406319      0.236812      0.945229E-01   0.00000      0.406541    
  0.911966E-02   6.85929      0.892996       1.03477      0.707270      0.946868      0.185726      0.879048E-01   1.65414      0.481430      0.466924      0.390029      0.225840      0.896785E-01   0.00000      0.390266    
  0.999950E-02   6.54885      0.875744       1.00214      0.679413      0.908132      0.196331      0.940053E-01   1.58754      0.464299      0.448939      0.373981      0.215114      0.849594E-01   0.00000      0.374233    
  0.109642E-01   6.24584      0.859312      0.970350      0.652035      0.869984      0.207276      0.100366       1.52202      0.447408      0.431173      0.358176      0.204628      0.803695E-01   0.00000      0.358442    
  0.120220E-01   5.95460      0.844255      0.939962      0.625414      0.832758      0.218841      0.107204       1.45817      0.430893      0.413743      0.342753      0.194521      0.759839E-01   0.00000      0.343031    
  0.131819E-01   5.67147      0.830242      0.910611      0.599308      0.796149      0.230934      0.114462       1.39546      0.414629      0.396531      0.327589      0.184679      0.717393E-01   0.00000      0.327878    
  0.144536E-01   5.39620      0.817250      0.882279      0.573697      0.760134      0.243553      0.122145       1.33383      0.398603      0.379528      0.312674      0.175093      0.676320E-01   0.00000      0.312974    
  0.158481E-01   5.12810      0.805189      0.854888      0.548531      0.724656      0.256659      0.130232       1.27319      0.382789      0.362711      0.297985      0.165741      0.636503E-01   0.00000      0.298295    
  0.173770E-01   4.86702      0.794045      0.828433      0.523800      0.689706      0.270245      0.138727       1.21351      0.367179      0.346076      0.283519      0.156620      0.597927E-01   0.00000      0.283837    
  0.190535E-01   4.61348      0.783882      0.802994      0.499534      0.655324      0.284348      0.147670       1.15486      0.351784      0.329637      0.269293      0.147750      0.560694E-01   0.00000      0.269618    
  0.208917E-01   4.36717      0.774652      0.778541      0.475712      0.621492      0.298941      0.157049       1.09720      0.336590      0.313387      0.255299      0.139122      0.524759E-01   0.00000      0.255629    
  0.229073E-01   4.12747      0.766265      0.754997      0.452297      0.588171      0.313968      0.166826       1.04047      0.321579      0.297313      0.241522      0.130718      0.490023E-01   0.00000      0.241856    
  0.251174E-01   3.89427      0.758691      0.732351      0.429283      0.555363      0.329408      0.176988      0.984646      0.306744      0.281417      0.227963      0.122539      0.456478E-01   0.00000      0.228299    
  0.275406E-01   3.66810      0.751970      0.710678      0.406707      0.523128      0.345263      0.187550      0.929835      0.292100      0.265722      0.214646      0.114607      0.424236E-01   0.00000      0.214982    
  0.301976E-01   3.44861      0.746025      0.689922      0.384552      0.491458      0.361474      0.198464      0.876010      0.277638      0.250229      0.201570      0.106914      0.393246E-01   0.00000      0.201905    
  0.331110E-01   3.23530      0.740761      0.670004      0.362792      0.460335      0.377969      0.209670      0.823127      0.263344      0.234935      0.188725      0.994481E-01  0.363427E-01   0.00000      0.189057    
  0.363055E-01   3.02809      0.736125      0.650895      0.341430      0.429778      0.394695      0.221117      0.771208      0.249219      0.219852      0.176121      0.922111E-01  0.334776E-01   0.00000      0.176448    
