   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   1.03149      0.608113       1.10182      0.603946       1.10092      0.416676E-02  0.902038E-03   1.70487      0.636323      0.636080      0.464888      -.323765E-01  -.277556E-16   0.00000      0.464840    
  0.109648E-03   1.19456      0.602545       1.08860      0.598075       1.08763      0.447065E-02  0.974598E-03   1.68570      0.628688      0.628426      0.459252      -.306137E-01  -.832667E-16   0.00000      0.459203    
  0.120226E-03   1.34928      0.596997       1.07543      0.592201       1.07438      0.479686E-02  0.105341E-02   1.66658      0.621086      0.620801      0.453624      -.288856E-01  -.416334E-16   0.00000      0.453574    
  0.131825E-03   1.49596      0.591474       1.06230      0.586326       1.06116      0.514704E-02  0.113903E-02   1.64749      0.613517      0.613208      0.448006      -.271907E-01  -.346945E-16   0.00000      0.447956    
  0.144543E-03   1.63492      0.585979       1.04923      0.580456       1.04800      0.552297E-02  0.123208E-02   1.62845      0.605983      0.605648      0.442401      -.255274E-01  -.555112E-16   0.00000      0.442350    
  0.158489E-03   1.76645      0.580517       1.03621      0.574591       1.03488      0.592655E-02  0.133324E-02   1.60947      0.598485      0.598122      0.436809      -.238942E-01  -.624500E-16   0.00000      0.436757    
  0.173779E-03   1.89059      0.575099       1.02326      0.568739       1.02182      0.635978E-02  0.144326E-02   1.59056      0.591031      0.590637      0.431237      -.222917E-01  -.624500E-16   0.00000      0.431184    
  0.190545E-03   2.00778      0.569725       1.01038      0.562900       1.00882      0.682487E-02  0.156292E-02   1.57172      0.583617      0.583190      0.425684      -.207175E-01  -.832667E-16   0.00000      0.425630    
  0.208928E-03   2.11827      0.564399      0.997573      0.557075      0.995880      0.732419E-02  0.169314E-02   1.55295      0.576246      0.575783      0.420151      -.191704E-01  -.624500E-16   0.00000      0.420096    
  0.229085E-03   2.22232      0.559128      0.984834      0.551268      0.982999      0.786027E-02  0.183486E-02   1.53427      0.568917      0.568416      0.414638      -.176495E-01  -.832667E-16   0.00000      0.414584    
  0.251186E-03   2.32018      0.553914      0.972171      0.545478      0.970181      0.843581E-02  0.198916E-02   1.51566      0.561632      0.561088      0.409148      -.161536E-01  -.624500E-16   0.00000      0.409093    
  0.275420E-03   2.41190      0.548767      0.959595      0.539713      0.957438      0.905367E-02  0.215717E-02   1.49715      0.554396      0.553808      0.403686      -.146835E-01  -.277556E-16   0.00000      0.403630    
  0.301992E-03   2.49784      0.543688      0.947103      0.533971      0.944763      0.971702E-02  0.234018E-02   1.47873      0.547208      0.546571      0.398248      -.132375E-01  -.208167E-16   0.00000      0.398192    
  0.331127E-03   2.57821      0.538682      0.934698      0.528253      0.932158      0.104292E-01  0.253957E-02   1.46041      0.540067      0.539377      0.392837      -.118148E-01   0.00000       0.00000      0.392781    
  0.363073E-03   2.65323      0.533753      0.922380      0.522559      0.919623      0.111938E-01  0.275685E-02   1.44218      0.532974      0.532226      0.387453      -.104148E-01  -.555112E-16   0.00000      0.387397    
  0.398101E-03   2.72311      0.528905      0.910151      0.516891      0.907157      0.120147E-01  0.299367E-02   1.42405      0.525928      0.525118      0.382096      -.903698E-02  -.138778E-16   0.00000      0.382040    
  0.436509E-03   2.78791      0.524149      0.898024      0.511253      0.894773      0.128959E-01  0.325184E-02   1.40603      0.518935      0.518058      0.376770      -.768226E-02  -.277556E-16   0.00000      0.376715    
