   10000.0000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   79.6533       6.44364       9.19923       6.41881       9.18002      0.248309E-01  0.192094E-01   15.5988       3.47414       3.45346       3.39855       2.94468       2.32747       0.00000       3.39910    
  0.109648E-03   76.8165       6.24340       8.91133       6.21735       8.89140      0.260550E-01  0.199245E-01   15.1087       3.37016       3.34905       3.29598       2.84719       2.24578       0.00000       3.29657    
  0.120226E-03   74.0621       6.04842       8.63102       6.02107       8.61037      0.273444E-01  0.206460E-01   14.6314       3.26875       3.24728       3.19604       2.75232       2.16642       0.00000       3.19667    
  0.131825E-03   71.3868       5.85847       8.35802       5.82977       8.33662      0.287024E-01  0.213921E-01   14.1664       3.16982       3.14804       3.09861       2.65995       2.08930       0.00000       3.09929    
  0.144543E-03   68.7904       5.67358       8.09233       5.64345       8.07017      0.301287E-01  0.221584E-01   13.7136       3.07337       3.05134       3.00370       2.57008       2.01441       0.00000       3.00443    
  0.158489E-03   66.2693       5.49352       7.83361       5.46190       7.81066      0.316269E-01  0.229412E-01   13.2726       2.97929       2.95705       2.91118       2.48261       1.94164       0.00000       2.91197    
  0.173779E-03   63.8237       5.31832       7.58189       5.28513       7.55815      0.331966E-01  0.237408E-01   12.8433       2.88758       2.86521       2.82107       2.39754       1.87101       0.00000       2.82193    
  0.190545E-03   61.4497       5.14776       7.33681       5.11292       7.31225      0.348411E-01  0.245667E-01   12.4252       2.79814       2.77568       2.73324       2.31478       1.80241       0.00000       2.73416    
  0.208928E-03   59.1478       4.98185       7.09840       4.94529       7.07299      0.365598E-01  0.254187E-01   12.0183       2.71095       2.68846       2.64768       2.23434       1.73585       0.00000       2.64868    
  0.229085E-03   56.9145       4.82040       6.86636       4.78204       6.84006      0.383576E-01  0.263016E-01   11.6221       2.62593       2.60347       2.56430       2.15611       1.67122       0.00000       2.56537    
  0.251186E-03   54.7494       4.66339       6.64065       4.62316       6.61343      0.402345E-01  0.272186E-01   11.2366       2.54306       2.52069       2.48308       2.08010       1.60852       0.00000       2.48422    
  0.275420E-03   52.6502       4.51068       6.42105       4.46848       6.39288      0.421948E-01  0.281637E-01   10.8614       2.46227       2.44005       2.40395       2.00621       1.54768       0.00000       2.40515    
  0.301992E-03   50.6155       4.36220       6.20744       4.31796       6.17831      0.442396E-01  0.291321E-01   10.4963       2.38354       2.36151       2.32687       1.93443       1.48867       0.00000       2.32814    
  0.331127E-03   48.6440       4.21787       5.99971       4.17150       5.96958      0.463731E-01  0.301302E-01   10.1411       2.30681       2.28502       2.25178       1.86469       1.43144       0.00000       2.25312    
  0.363073E-03   46.7334       4.07755       5.79762       4.02895       5.76646      0.486005E-01  0.311576E-01   9.79542       2.23201       2.21052       2.17863       1.79694       1.37593       0.00000       2.18001    
  0.398101E-03   44.8833       3.94123       5.60116       3.89030       5.56894      0.509228E-01  0.322255E-01   9.45924       2.15914       2.13799       2.10738       1.73116       1.32213       0.00000       2.10882    
  0.436509E-03   43.0908       3.80872       5.41011       3.75537       5.37674      0.533468E-01  0.333690E-01   9.13211       2.08811       2.06734       2.03796       1.66727       1.26995       0.00000       2.03944    
