   10000.0000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   79.6328       6.44567       9.19211       6.42113       9.17509      0.245479E-01  0.170270E-01   15.5962       3.47539       3.45463       3.39274       2.94574       2.32677       0.00000       3.39368    
  0.109648E-03   76.7941       6.24508       8.90377       6.21933       8.88604      0.257403E-01  0.177232E-01   15.1054       3.37118       3.35021       3.28984       2.84816       2.24503       0.00000       3.29080    
  0.120226E-03   74.0383       6.04977       8.62308       6.02278       8.60464      0.269854E-01  0.184449E-01   14.6274       3.26958       3.24843       3.18959       2.75320       2.16564       0.00000       3.19057    
  0.131825E-03   71.3616       5.85953       8.34977       5.83124       8.33056      0.282881E-01  0.192098E-01   14.1618       3.17049       3.14919       3.09190       2.66075       2.08848       0.00000       3.09289    
  0.144543E-03   68.7643       5.67437       8.08384       5.64472       8.06382      0.296485E-01  0.200133E-01   13.7085       3.07392       3.05249       2.99675       2.57080       2.01357       0.00000       2.99777    
  0.158489E-03   66.2424       5.49408       7.82493       5.46300       7.80408      0.310742E-01  0.208490E-01   13.2671       2.97975       2.95822       2.90404       2.48326       1.94079       0.00000       2.90507    
  0.173779E-03   63.7963       5.31867       7.57309       5.28610       7.55137      0.325643E-01  0.217174E-01   12.8375       2.88798       2.86640       2.81377       2.39812       1.87015       0.00000       2.81483    
  0.190545E-03   61.4221       5.14792       7.32795       5.11380       7.30532      0.341262E-01  0.226251E-01   12.4191       2.79850       2.77689       2.72582       2.31529       1.80155       0.00000       2.72688    
  0.208928E-03   59.1200       4.98185       7.08953       4.94609       7.06596      0.357588E-01  0.235722E-01   12.0121       2.71130       2.68972       2.64017       2.23479       1.73498       0.00000       2.64126    
  0.229085E-03   56.8867       4.82026       6.85753       4.78279       6.83297      0.374710E-01  0.245606E-01   11.6158       2.62629       2.60477       2.55674       2.15650       1.67036       0.00000       2.55784    
  0.251186E-03   54.7219       4.66314       6.63192       4.62387       6.60632      0.392630E-01  0.255934E-01   11.2302       2.54345       2.52203       2.47550       2.08043       1.60768       0.00000       2.47661    
  0.275420E-03   52.6230       4.51033       6.41246       4.46918       6.38580      0.411430E-01  0.266613E-01   10.8550       2.46270       2.44144       2.39638       2.00648       1.54686       0.00000       2.39750    
  0.301992E-03   50.5889       4.36177       6.19906       4.31865       6.17130      0.431141E-01  0.277578E-01   10.4900       2.38401       2.36296       2.31934       1.93464       1.48787       0.00000       2.32047    
  0.331127E-03   48.6180       4.21737       5.99157       4.17219       5.96268      0.451817E-01  0.288876E-01   10.1349       2.30734       2.28654       2.24433       1.86485       1.43066       0.00000       2.24548    
  0.363073E-03   46.7081       4.07700       5.78976       4.02965       5.75971      0.473533E-01  0.300473E-01   9.78936       2.23260       2.21210       2.17128       1.79704       1.37518       0.00000       2.17243    
  0.398101E-03   44.8588       3.94063       5.59363       3.89100       5.56238      0.496307E-01  0.312476E-01   9.45338       2.15979       2.13964       2.10018       1.73121       1.32140       0.00000       2.10133    
  0.436509E-03   43.0672       3.80809       5.40292       3.75607       5.37040      0.520251E-01  0.325194E-01   9.12647       2.08881       2.06907       2.03092       1.66726       1.26926       0.00000       2.03208    
  0.478622E-03   41.3335       3.67940       5.21767       3.62486       5.18381      0.545358E-01  0.338551E-01   8.80867       2.01967       2.00038       1.96352       1.60520       1.21874       0.00000       1.96468    
