 First iteration    1363.4464891204259             1131   1.2055229788863182     
After minimisation    1363.45  1131     1.206

  Partial chi2s 
Dataset    1    442.54( +7.91)   377  HERA1+2 NCep 920                                
Dataset    2     66.14( +0.02)    70  HERA1+2 NCep 820                                
Dataset    3    219.15( +1.04)   254  HERA1+2 NCep 575                                
Dataset    4    217.72( -0.90)   204  HERA1+2 NCep 460                                
Dataset    5    219.36( -0.23)   159  HERA1+2 NCem                                    
Dataset    6     44.91( +0.37)    39  HERA1+2 CCep                                    
Dataset    7     56.00( -2.14)    42  HERA1+2 CCem                                    

 Correlated Chi2    91.554689241524699     
 Log penalty Chi2    6.0687911851867629     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.3169   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5117   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2727   +/-   0.5567        :N:M:D
    4  sysHZComb1004                          0.2171   +/-   0.6188        :N:M:D
    5  sysHZComb1005                          1.0124   +/-   0.6092        :N:M:D
    6  sysHZComb1006                         -0.9935   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1272   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0632   +/-   0.9983        :N:M:D
    9  sysHZComb1009                          0.0149   +/-   0.8995        :N:M:D
   10  sysHZComb1010                         -0.3732   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.8138   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.4351   +/-   0.9721        :N:M:D
   13  sysHZComb1013                         -0.6285   +/-   0.9620        :N:M:D
   14  sysHZComb1014                         -0.0457   +/-   0.9875        :N:M:D
   15  sysHZComb1015                         -0.0985   +/-   0.9633        :N:M:D
   16  sysHZComb1016                         -0.0863   +/-   0.9748        :N:M:D
   17  sysHZComb1017                         -0.3054   +/-   0.9709        :N:M:D
   18  sysHZComb1018                          0.2016   +/-   0.8226        :N:M:D
   19  sysHZComb1019                         -0.3631   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.3559   +/-   0.9814        :N:M:D
   21  sysHZComb1021                         -0.0883   +/-   0.9744        :N:M:D
   22  sysHZComb1022                          0.1693   +/-   0.9687        :N:M:D
   23  sysHZComb1023                         -0.1220   +/-   0.9452        :N:M:D
   24  sysHZComb1024                          0.0672   +/-   0.9879        :N:M:D
   25  sysHZComb1025                          0.1330   +/-   0.9933        :N:M:D
   26  sysHZComb1026                         -0.8795   +/-   0.9201        :N:M:D
   27  sysHZComb1027                         -1.0837   +/-   0.9544        :N:M:D
   28  sysHZComb1028                          0.8095   +/-   0.9749        :N:M:D
   29  sysHZComb1029                         -0.5857   +/-   0.9184        :N:M:D
   30  sysHZComb1030                         -0.3246   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.6752   +/-   0.8387        :N:M:D
   32  sysHZComb1032                          0.6475   +/-   0.9643        :N:M:D
   33  sysHZComb1033                          0.7527   +/-   0.9708        :N:M:D
   34  sysHZComb1034                         -0.4388   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.0237   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.4224   +/-   0.9743        :N:M:D
   37  sysHZComb1037                          0.5038   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.5816   +/-   0.9126        :N:M:D
   39  sysHZComb1039                         -0.4743   +/-   0.9535        :N:M:D
   40  sysHZComb1040                         -0.1763   +/-   0.9302        :N:M:D
   41  sysHZComb1041                         -0.6086   +/-   0.8122        :N:M:D
   42  sysHZComb1042                         -0.1437   +/-   0.8744        :N:M:D
   43  sysHZComb1043                          0.0521   +/-   0.9096        :N:M:D
   44  sysHZComb1044                         -0.0424   +/-   0.9367        :N:M:D
   45  sysHZComb1045                         -0.4619   +/-   0.9310        :N:M:D
   46  sysHZComb1046                         -0.2530   +/-   0.9569        :N:M:D
   47  sysHZComb1047                          0.2655   +/-   0.9468        :N:M:D
   48  sysHZComb1048                         -0.0211   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.5110   +/-   0.9457        :N:M:D
   50  sysHZComb1050                          0.3865   +/-   0.9429        :N:M:D
   51  sysHZComb1051                          0.3431   +/-   0.9523        :N:M:D
   52  sysHZComb1052                          0.8486   +/-   0.9507        :N:M:D
   53  sysHZComb1053                         -2.6725   +/-   0.9191        :N:M:D
   54  sysHZComb1054                         -0.0060   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.5697   +/-   0.9056        :N:M:D
   56  sysHZComb1056                         -1.4240   +/-   0.8904        :N:M:D
   57  sysHZComb1057                          0.0643   +/-   0.9194        :N:M:D
   58  sysHZComb1058                          0.0844   +/-   0.9433        :N:M:D
   59  sysHZComb1059                         -1.0542   +/-   0.8698        :N:M:D
   60  sysHZComb1060                          0.1546   +/-   0.9789        :N:M:D
   61  sysHZComb1061                          0.1550   +/-   0.9831        :N:M:D
   62  sysHZComb1062                         -1.3377   +/-   0.8949        :N:M:D
   63  sysHZComb1063                          0.4864   +/-   0.8364        :N:M:D
   64  sysHZComb1064                          0.7089   +/-   0.9293        :N:M:D
   65  sysHZComb1065                         -0.8818   +/-   0.9468        :N:M:D
   66  sysHZComb1066                         -0.7146   +/-   0.9320        :N:M:D
   67  sysHZComb1067                         -0.1632   +/-   0.9638        :N:M:D
   68  sysHZComb1068                         -0.4823   +/-   0.9199        :N:M:D
   69  sysHZComb1069                         -0.1832   +/-   0.9124        :N:M:D
   70  sysHZComb1070                          0.3289   +/-   0.9074        :N:M:D
   71  sysHZComb1071                         -1.2069   +/-   0.8573        :N:M:D
   72  sysHZComb1072                         -0.0650   +/-   0.9702        :N:M:D
   73  sysHZComb1073                          0.0983   +/-   0.9036        :N:M:D
   74  sysHZComb1074                         -0.0627   +/-   0.9351        :N:M:D
   75  sysHZComb1075                          0.0493   +/-   0.8652        :N:M:D
   76  sysHZComb1076                         -0.0935   +/-   0.9605        :N:M:D
   77  sysHZComb1077                         -0.6381   +/-   0.9611        :N:M:D
   78  sysHZComb1078                         -0.0081   +/-   0.9756        :N:M:D
   79  sysHZComb1079                         -0.0596   +/-   0.8843        :N:M:D
   80  sysHZComb1080                         -0.5158   +/-   0.9249        :N:M:D
