   8317.000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   84.1783       6.44288       9.02161       6.42122       9.00902      0.216614E-01  0.125883E-01   15.4302       3.43900       3.43916       3.19030       2.98223       2.37957    
  0.109648E-03   81.0320       6.23569       8.72400       6.21284       8.71072      0.228485E-01  0.132757E-01   14.9236       3.33132       3.33149       3.08644       2.88153       2.29280    
  0.120226E-03   78.0403       6.03763       8.43962       6.01349       8.42559      0.241379E-01  0.140220E-01   14.4391       3.22823       3.22841       2.98708       2.78526       2.21011    
  0.131825E-03   75.1099       5.84321       8.16051       5.81774       8.14572      0.254731E-01  0.147948E-01   13.9635       3.12698       3.12716       2.88952       2.69076       2.12904    
  0.144543E-03   72.2674       5.65401       7.88896       5.62713       7.87335      0.268740E-01  0.156053E-01   13.5005       3.02834       3.02853       2.79452       2.59879       2.05030    
  0.158489E-03   69.5412       5.47174       7.62744       5.44337       7.61097      0.283730E-01  0.164722E-01   13.0543       2.93319       2.93339       2.70295       2.51018       1.97464    
  0.173779E-03   66.8712       5.29284       7.37079       5.26292       7.35342      0.299227E-01  0.173683E-01   12.6163       2.83972       2.83993       2.61302       2.42320       1.90047    
  0.190545E-03   64.3082       5.12037       7.12340       5.08879       7.10508      0.315742E-01  0.183229E-01   12.1939       2.74947       2.74969       2.52625       2.33932       1.82914    
  0.208928E-03   61.8264       4.95279       6.88308       4.91947       6.86376      0.333129E-01  0.193275E-01   11.7832       2.66167       2.66190       2.44189       2.25780       1.75997    
  0.229085E-03   59.3971       4.78838       6.64734       4.75328       6.62698      0.351084E-01  0.203648E-01   11.3803       2.57546       2.57569       2.35907       2.17781       1.69221    
  0.251186E-03   57.0900       4.63140       6.42227       4.59435       6.40079      0.370518E-01  0.214869E-01   10.9951       2.49295       2.49319       2.27989       2.10139       1.62770    
  0.275420E-03   54.8339       4.47753       6.20169       4.43847       6.17904      0.390647E-01  0.226488E-01   10.6175       2.41200       2.41225       2.20223       2.02647       1.56456    
  0.301992E-03   52.6465       4.32786       5.98712       4.28669       5.96326      0.411712E-01  0.238643E-01   10.2499       2.33313       2.33339       2.12662       1.95356       1.50325    
  0.331127E-03   50.5538       4.18403       5.78092       4.14060       5.75576      0.434232E-01  0.251632E-01   9.89636       2.25716       2.25743       2.05384       1.88344       1.44449    
  0.363073E-03   48.5061       4.04297       5.57870       3.99722       5.55219      0.457490E-01  0.265043E-01   9.54941       2.18257       2.18285       1.98242       1.81465       1.38693    
  0.398101E-03   46.5423       3.90710       5.38390       3.85888       5.35597      0.482195E-01  0.279281E-01   9.21486       2.11055       2.11084       1.91351       1.74833       1.33162    
  0.436509E-03   44.6448       3.77538       5.19502       3.72457       5.16559      0.508188E-01  0.294255E-01   8.89016       2.04058       2.04088       1.84661       1.68399       1.27810    
  0.478622E-03   42.7893       3.64628       5.00986       3.59278       4.97889      0.535003E-01  0.309698E-01   8.57168       1.97190       1.97221       1.78097       1.62089       1.22571    
  0.524798E-03   41.0295       3.52321       4.83329       3.46682       4.80066      0.563906E-01  0.326331E-01   8.26748       1.90618       1.90650       1.71824       1.56064       1.17591    
  0.575429E-03   39.3119       3.40281       4.66050       3.34342       4.62614      0.593835E-01  0.343550E-01   7.96957       1.84177       1.84211       1.65679       1.50165       1.12724    
  0.630945E-03   37.6473       3.28577       4.49249       3.22327       4.45634      0.625063E-01  0.361508E-01   7.67960       1.77902       1.77936       1.59696       1.44425       1.08002    
  0.691816E-03   36.0596       3.17365       4.33142       3.10781       4.29335      0.658392E-01  0.380661E-01   7.40116       1.71866       1.71901       1.53947       1.38916       1.03487    
  0.758561E-03   34.5074       3.06382       4.17358       2.99454       4.13354      0.692764E-01  0.400406E-01   7.12808       1.65941       1.65978       1.48307       1.33513      0.990689    
  0.831745E-03   33.0204       2.95819       4.02167       2.88528       3.97954      0.729132E-01  0.421285E-01   6.86482       1.60220       1.60259       1.42867       1.28307      0.948280    
  0.911989E-03   31.5873       2.85607       3.87468       2.77934       3.83036      0.767341E-01  0.443207E-01   6.60970       1.54669       1.54709       1.37593       1.23265      0.907338    
  0.999975E-03   30.1873       2.75611       3.73073       2.67544       3.68415      0.806700E-01  0.465779E-01   6.35959       1.49222       1.49264       1.32422       1.18322      0.867298    
  0.109645E-02   28.8618       2.66106       3.59363       2.57617       3.54463      0.848903E-01  0.489960E-01   6.12081       1.44011       1.44054       1.27480       1.13606      0.829295    
  0.120223E-02   27.5707       2.56829       3.45971       2.47904       3.40822      0.892565E-01  0.514963E-01   5.88725       1.38908       1.38953       1.22646       1.08996      0.792232    
  0.131822E-02   26.3204       2.47824       3.32957       2.38444       3.27547      0.937958E-01  0.540943E-01   5.65991       1.33935       1.33981       1.17938       1.04509      0.756285    
  0.144540E-02   25.1316       2.39232       3.20516       2.29369       3.14830      0.986255E-01  0.568557E-01   5.44199       1.29158       1.29205       1.13422       1.00212      0.722029    
  0.158485E-02   23.9708       2.30829       3.08336       2.20469       3.02366      0.103596      0.596962E-01   5.22836       1.24469       1.24519       1.08993      0.960000      0.688541    
  0.173775E-02   22.8602       2.22767       2.96627       2.11884       2.90358      0.108829      0.626838E-01   5.02243       1.19942       1.19993       1.04722      0.919429      0.656434    
  0.190540E-02   21.7928       2.15003       2.85325       2.03572       2.78744      0.114312      0.658110E-01   4.82316       1.15552       1.15605       1.00587      0.880196      0.625520    
  0.208923E-02   20.7514       2.07418       2.74269       1.95423       2.67366      0.119948      0.690232E-01   4.62789       1.11246       1.11301      0.965329      0.841766      0.595322    
  0.229079E-02   19.7673       2.00232       2.63758       1.87637       2.56514      0.125948      0.724388E-01   4.44151       1.07125       1.07182      0.926604      0.805121      0.566714    
  0.251180E-02   18.8110       1.93242       2.53512       1.80027       2.45916      0.132143      0.759616E-01   4.25943       1.03093       1.03152      0.888759      0.769342      0.538875    
  0.275413E-02   17.8857       1.86470       2.43562       1.72614       2.35602      0.138553      0.796042E-01   4.08216      0.991613      0.992227      0.851894      0.734530      0.511896    
  0.301984E-02   17.0092       1.80047       2.34083       1.65513       2.25738      0.145337      0.834520E-01   3.91251      0.953877      0.954515      0.816586      0.701252      0.486278    
  0.331119E-02   16.1544       1.73780       2.24814       1.58550       2.16075      0.152296      0.873961E-01   3.74625      0.916846      0.917508      0.781972      0.668658      0.461266    
  0.363064E-02   15.3378       1.67790       2.15916       1.51833       2.06765      0.159572      0.915136E-01   3.58598      0.881058      0.881744      0.748581      0.637271      0.437323    
  0.398091E-02   14.5555       1.62052       2.07354       1.45336       1.97774      0.167156      0.957979E-01   3.43110      0.846390      0.847102      0.716293      0.606974      0.414343    
