 First iteration    5403.1459515603365             2455   2.2008741146885282     
After minimisation    5403.15  2455     2.201

  Partial chi2s 
Dataset    1    611.29   377  HERA1+2 NCep 920                                
Dataset    2     81.53    70  HERA1+2 NCep 820                                
Dataset    3    228.55   254  HERA1+2 NCep 575                                
Dataset    4    221.14   204  HERA1+2 NCep 460                                
Dataset    5    230.74   159  HERA1+2 NCem                                    
Dataset    6     46.61    39  HERA1+2 CCep                                    
Dataset    7     54.78    42  HERA1+2 CCem                                    
Dataset    8      0.00    24  H1 normalised inclusive jet 99-07 data          
Dataset    9     13.00    24  H1 inclusive jet 99-00 data                     
Dataset   10     19.51    28  H1 low Q2 inclusive jet 99-00 data              
Dataset   11      0.00    16  H1 normalised trijets with unfolding            
Dataset   12      0.00    24  H1 normalised inclusive jets with unfolding     
Dataset   13      0.00    24  H1 normalised dijets with unfolding             
Dataset   14     29.25    30  ZEUS inclusive jet 96-97 data                   
Dataset   15     23.75    30  ZEUS inclusive jet 98-00 data                   
Dataset   16     18.58    22  ZEUS inclusive dijet 98-00/04-07 data           
Dataset   17     48.55    47  Charm cross section H1-ZEUS combined            
Dataset   18     12.23    17  Beauty cross section ZEUS Vertex                
Dataset   19      2.36    12  H1 F2 Beauty Vertex                             
Dataset   20    229.46    83  BCDMS F2p 100GeV                                
Dataset   21    169.64    91  BCDMS F2p 120GeV                                
Dataset   22    326.26    79  BCDMS F2p 200GeV                                
Dataset   23    139.85    75  BCDMS F2p 280GeV                                
Dataset   24    160.02    72  CDF inclusive jets                              
Dataset   25     95.92    13  CDF W asymmetry 2009                            
Dataset   26     42.94    28  CDF Z rapidity 2010                             
Dataset   27    130.44   110  D0 pp jets                                      
Dataset   28     27.82    28  D0 Z rapidity 2007                              
Dataset   29    165.63    10  D0 W->mu nu lepton asymmetry ptl > 25 GeV       
Dataset   30    124.92    10  D0 W->mu nu lepton asymmetry ptl > 35 GeV       
Dataset   31      0.00    14  D0 W asymmetry 2013                             
Dataset   32      0.00    35  CMS Boson rapidity                              
Dataset   33      0.00    11  CMS electon Asymmetry rapidity                  
Dataset   34      0.00    11  CMS W muon asymmetry                            
Dataset   35      0.00   133  CMS inclusive jets 2011                         
Dataset   36      8.15     1  CMS total ttbar 7TeV mt=173.3 GeV               
Dataset   37     16.75     7  CMS Norm. differential ttbar vs pt 7 TeV        
Dataset   38     22.90    11  ATLAS W+ lepton pseudorapidity, 2010 data       
Dataset   39      9.22    11  ATLAS W- lepton pseudorapidity, 2010 data       
Dataset   40      5.86     8  ATLAS Z rapidity, 2010 data                     
Dataset   41      6.62    13  ATLAS high mass DY mass 2011                    
Dataset   42     12.01     8  ATLAS low mass DY 2011                          
Dataset   43      7.41     6  ATLAS DY mass 2010 extended data                
Dataset   44     16.59    16  ATLAS Jet data 0 <= |y| < 0.3 R=0.6             
Dataset   45      7.21    16  ATLAS Jet data 0.3 <= |y| < 0.8 R=0.6           
Dataset   46      5.63    16  ATLAS Jet data 0.8 <= |y| < 1.2 R=0.6           
Dataset   47      7.99    15  ATLAS Jet data 1.2 <= |y| < 2.1 R=0.6           
Dataset   48      7.93    12  ATLAS Jet data 2.1 <= |y| < 2.8 R=0.6           
Dataset   49      1.66     9  ATLAS Jet data 2.8 <= |y| < 3.6 R=0.6           
Dataset   50      0.78     6  ATLAS Jet data 3.6 <= |y| < 4.4 R=0.6           
Dataset   51     10.36     1  ATLAS total ttbar 7TeV mt=173.3 GeV             
Dataset   52      7.66     6  ATLAS Norm. differential ttbar vs pT 7 TeV      
Dataset   53     21.17    11  ATLAS W- lepton rapidity 2011                   
Dataset   54     31.44    11  ATLAS W+ lepton rapidity 2011                   
Dataset   55     18.77     6  ATLAS high mass CC Z rapidity 2011              
Dataset   56      4.61     6  ATLAS high mass CF Z rapidity 2011              
Dataset   57     33.62     6  ATLAS low mass Z rapidity 2011                  
Dataset   58     69.22    12  ATLAS peak CC Z rapidity 2011                   
Dataset   59     10.84     9  ATLAS peak CF Z rapidity 2011                   

 Correlated Chi2    1028.1996443710252     
 Systematic shifts          695
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          1.0122   +/-   0.9326        :N:M:D
    2  sysHZComb1002                         -1.0687   +/-   0.9363        :N:M:D
    3  sysHZComb1003                          2.3351   +/-   0.5561        :N:M:D
    4  sysHZComb1004                         -0.7348   +/-   0.6183        :N:M:D
    5  sysHZComb1005                          4.2967   +/-   0.6090        :N:M:D
    6  sysHZComb1006                         -4.0665   +/-   0.7877        :N:M:D
    7  sysHZComb1007                          0.2042   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0206   +/-   0.9983        :N:M:D
    9  sysHZComb1009                         -0.1264   +/-   0.8989        :N:M:D
   10  sysHZComb1010                         -0.5282   +/-   0.9935        :N:M:D
   11  sysHZComb1011                         -1.5357   +/-   0.9660        :N:M:D
   12  sysHZComb1012                          0.3114   +/-   0.9719        :N:M:D
   13  sysHZComb1013                         -0.7773   +/-   0.9616        :N:M:D
   14  sysHZComb1014                         -0.0548   +/-   0.9873        :N:M:D
   15  sysHZComb1015                         -0.0703   +/-   0.9627        :N:M:D
   16  sysHZComb1016                          0.5708   +/-   0.9745        :N:M:D
   17  sysHZComb1017                         -0.1315   +/-   0.9706        :N:M:D
   18  sysHZComb1018                          0.7255   +/-   0.8225        :N:M:D
   19  sysHZComb1019                         -0.3847   +/-   0.9834        :N:M:D
   20  sysHZComb1020                         -0.6315   +/-   0.9810        :N:M:D
   21  sysHZComb1021                          0.3947   +/-   0.9739        :N:M:D
   22  sysHZComb1022                          1.1839   +/-   0.9682        :N:M:D
   23  sysHZComb1023                          1.7811   +/-   0.9446        :N:M:D
   24  sysHZComb1024                          0.6345   +/-   0.9878        :N:M:D
   25  sysHZComb1025                         -0.0631   +/-   0.9932        :N:M:D
   26  sysHZComb1026                         -2.0590   +/-   0.9191        :N:M:D
   27  sysHZComb1027                         -0.4162   +/-   0.9539        :N:M:D
   28  sysHZComb1028                         -0.4115   +/-   0.9746        :N:M:D
   29  sysHZComb1029                         -1.2819   +/-   0.9176        :N:M:D
   30  sysHZComb1030                          2.6683   +/-   0.9429        :N:M:D
   31  sysHZComb1031                         -0.3119   +/-   0.8376        :N:M:D
   32  sysHZComb1032                          0.1358   +/-   0.9637        :N:M:D
   33  sysHZComb1033                          0.1376   +/-   0.9705        :N:M:D
   34  sysHZComb1034                         -0.3468   +/-   0.9838        :N:M:D
   35  sysHZComb1035                          0.0032   +/-   0.9778        :N:M:D
   36  sysHZComb1036                          0.2821   +/-   0.9739        :N:M:D
   37  sysHZComb1037                         -1.0336   +/-   0.9697        :N:M:D
   38  sysHZComb1038                         -1.5973   +/-   0.9118        :N:M:D
   39  sysHZComb1039                         -0.7910   +/-   0.9531        :N:M:D
   40  sysHZComb1040                         -2.0070   +/-   0.9295        :N:M:D
   41  sysHZComb1041                         -1.1049   +/-   0.8110        :N:M:D
   42  sysHZComb1042                          0.8816   +/-   0.8734        :N:M:D
   43  sysHZComb1043                         -1.5619   +/-   0.9086        :N:M:D
   44  sysHZComb1044                         -0.0378   +/-   0.9360        :N:M:D
   45  sysHZComb1045                          0.3307   +/-   0.9302        :N:M:D
   46  sysHZComb1046                          0.7532   +/-   0.9564        :N:M:D
   47  sysHZComb1047                         -0.3380   +/-   0.9460        :N:M:D
   48  sysHZComb1048                         -0.8433   +/-   0.9603        :N:M:D
   49  sysHZComb1049                         -0.7724   +/-   0.9448        :N:M:D
   50  sysHZComb1050                         -0.7758   +/-   0.9419        :N:M:D
   51  sysHZComb1051                          0.5777   +/-   0.9518        :N:M:D
   52  sysHZComb1052                         -0.4917   +/-   0.9502        :N:M:D
   53  sysHZComb1053                         -2.2415   +/-   0.9182        :N:M:D
   54  sysHZComb1054                          0.3038   +/-   0.9747        :N:M:D
   55  sysHZComb1055                         -1.8508   +/-   0.9047        :N:M:D
   56  sysHZComb1056                         -1.7665   +/-   0.8893        :N:M:D
   57  sysHZComb1057                          0.8285   +/-   0.9185        :N:M:D
   58  sysHZComb1058                          0.9798   +/-   0.9425        :N:M:D
   59  sysHZComb1059                          0.1702   +/-   0.8688        :N:M:D
