   4.000000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   6.94605      0.829815       1.04304      0.817736       1.03666      0.120793E-01  0.637638E-02   1.85440      0.648919      0.648802      0.387861      0.168817       0.00000    
  0.109648E-03   6.86703      0.817982       1.02783      0.805205       1.02108      0.127768E-01  0.674467E-02   1.82629      0.639324      0.639196      0.381884      0.165881       0.00000    
  0.120226E-03   6.78922      0.806434       1.01293      0.792894       1.00578      0.135397E-01  0.714755E-02   1.79867      0.629909      0.629771      0.376010      0.162985       0.00000    
  0.131825E-03   6.71189      0.795005      0.998161      0.780672      0.990595      0.143323E-01  0.756612E-02   1.77127      0.620568      0.620418      0.370177      0.160104       0.00000    
  0.144543E-03   6.63526      0.783747      0.983581      0.768579      0.975574      0.151674E-01  0.800715E-02   1.74415      0.611333      0.611170      0.364403      0.157247       0.00000    
  0.158489E-03   6.55957      0.772727      0.969256      0.756660      0.960774      0.160667E-01  0.848215E-02   1.71743      0.602240      0.602063      0.358711      0.154421       0.00000    
  0.173779E-03   6.48434      0.761826      0.955058      0.744827      0.946083      0.169994E-01  0.897480E-02   1.69091      0.593217      0.593025      0.353058      0.151610       0.00000    
  0.190545E-03   6.40998      0.751157      0.941104      0.733157      0.931601      0.179997E-01  0.950314E-02   1.66476      0.584327      0.584120      0.347482      0.148830       0.00000    
  0.208928E-03   6.33630      0.740674      0.927344      0.721615      0.917281      0.190583E-01  0.100624E-01   1.63890      0.575542      0.575317      0.341964      0.146073       0.00000    
  0.229085E-03   6.26307      0.730312      0.913708      0.710156      0.903066      0.201552E-01  0.106419E-01   1.61322      0.566825      0.566581      0.336485      0.143331       0.00000    
  0.251186E-03   6.19086      0.720247      0.900375      0.698895      0.889101      0.213526E-01  0.112745E-01   1.58800      0.558268      0.558003      0.331097      0.140627       0.00000    
  0.275420E-03   6.11910      0.710315      0.887174      0.687717      0.875242      0.225979E-01  0.119326E-01   1.56296      0.549780      0.549493      0.325749      0.137938       0.00000    
  0.301992E-03   6.04793      0.700561      0.874151      0.676654      0.861526      0.239078E-01  0.126247E-01   1.53818      0.541384      0.541073      0.320453      0.135270       0.00000    
