   3.00000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   1.02199      0.608098       1.10168      0.603924       1.10078      0.417408E-02  0.904372E-03   1.70470      0.636249      0.636007      0.464821      -.323255E-01   0.00000       0.00000    
  0.109648E-03   1.18773      0.602526       1.08846      0.598054       1.08748      0.447192E-02  0.975275E-03   1.68553      0.628607      0.628344      0.459185      -.305528E-01   0.00000       0.00000    
  0.120226E-03   1.34023      0.596984       1.07530      0.592179       1.07424      0.480511E-02  0.105608E-02   1.66642      0.621015      0.620730      0.453561      -.288355E-01   0.00000       0.00000    
  0.131825E-03   1.48755      0.591461       1.06217      0.586306       1.06103      0.515474E-02  0.114160E-02   1.64734      0.613446      0.613137      0.447945      -.271395E-01   0.00000       0.00000    
  0.144543E-03   1.62745      0.585964       1.04910      0.580436       1.04786      0.552789E-02  0.123388E-02   1.62830      0.605910      0.605575      0.442340      -.254742E-01   0.00000       0.00000    
  0.158489E-03   1.75766      0.580513       1.03610      0.574575       1.03476      0.593749E-02  0.133688E-02   1.60934      0.598424      0.598061      0.436756      -.238487E-01   0.00000       0.00000    
  0.173779E-03   1.88322      0.575088       1.02314      0.568721       1.02170      0.636630E-02  0.144563E-02   1.59042      0.590963      0.590570      0.431182      -.222421E-01   0.00000       0.00000    
  0.190545E-03   2.00001      0.569717       1.01027      0.562882       1.00870      0.683437E-02  0.156624E-02   1.57159      0.583554      0.583127      0.425631      -.206714E-01   0.00000       0.00000    
  0.208928E-03   2.11022      0.564397      0.997469      0.557059      0.995771      0.733731E-02  0.169766E-02   1.55283      0.576187      0.575724      0.420101      -.191276E-01   0.00000       0.00000    
  0.229085E-03   2.21619      0.559110      0.984714      0.551247      0.982878      0.786305E-02  0.183617E-02   1.53412      0.568848      0.568347      0.414585      -.176011E-01   0.00000       0.00000    
  0.251186E-03   2.31241      0.553915      0.972080      0.545464      0.970086      0.845027E-02  0.199427E-02   1.51555      0.561579      0.561036      0.409105      -.161146E-01   0.00000       0.00000    
  0.275420E-03   2.40462      0.548765      0.959502      0.539697      0.957340      0.906757E-02  0.216222E-02   1.49704      0.554342      0.553754      0.403642      -.146448E-01   0.00000       0.00000    
  0.301992E-03   2.49143      0.543676      0.947001      0.533950      0.944657      0.972531E-02  0.234342E-02   1.47861      0.547148      0.546511      0.398202      -.131974E-01   0.00000       0.00000    
  0.331127E-03   2.57090      0.538685      0.934615      0.528236      0.932069      0.104486E-01  0.254667E-02   1.46030      0.540017      0.539327      0.392798      -.117812E-01   0.00000       0.00000    
  0.363073E-03   2.64691      0.533744      0.922288      0.522538      0.919526      0.112059E-01  0.276157E-02   1.44206      0.532918      0.532171      0.387411      -.103798E-01   0.00000       0.00000    
  0.398101E-03   2.71651      0.528904      0.910072      0.516873      0.907073      0.120311E-01  0.299996E-02   1.42395      0.525879      0.525070      0.382059      -.900627E-02   0.00000       0.00000    
  0.436509E-03   2.78112      0.524154      0.897955      0.511235      0.894694      0.129193E-01  0.326078E-02   1.40593      0.518890      0.518013      0.376736      -.765527E-02   0.00000       0.00000    
  0.478622E-03   2.84258      0.519463      0.885899      0.505615      0.882363      0.138479E-01  0.353602E-02   1.38798      0.511934      0.510986      0.371432      -.631853E-02   0.00000       0.00000    
  0.524798E-03   2.89692      0.514922      0.873995      0.500039      0.870145      0.148831E-01  0.385030E-02   1.37018      0.505054      0.504026      0.366174      -.501528E-02   0.00000       0.00000    
  0.575429E-03   2.94819      0.510455      0.862164      0.494482      0.857979      0.159731E-01  0.418527E-02   1.35246      0.498210      0.497097      0.360936      -.372733E-02   0.00000       0.00000    
  0.630945E-03   2.99557      0.506084      0.850425      0.488951      0.845879      0.171324E-01  0.454635E-02   1.33483      0.491410      0.490207      0.355725      -.245868E-02   0.00000       0.00000    
  0.691816E-03   3.03742      0.501867      0.838830      0.483458      0.833877      0.184090E-01  0.495298E-02   1.31733      0.484678      0.483374      0.350555      -.121935E-02   0.00000       0.00000    
  0.758561E-03   3.07672      0.497729      0.827303      0.477983      0.821920      0.197457E-01  0.538337E-02   1.29990      0.477977      0.476568      0.345403      0.591764E-05   0.00000       0.00000    
  0.831745E-03   3.11140      0.493740      0.815909      0.472541      0.810048      0.211992E-01  0.586045E-02   1.28259      0.471336      0.469811      0.340287      0.120481E-02   0.00000       0.00000    
  0.911989E-03   3.14230      0.489891      0.804630      0.467125      0.798246      0.227658E-01  0.638408E-02   1.26537      0.464745      0.463095      0.335200      0.238041E-02   0.00000       0.00000    
