   100.0000             101          13  9.9999997E-05  0.9999000    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.100000E-03   36.5069       2.90161       3.67059       2.88602       3.66151      0.155834E-01  0.908115E-02   6.54753       1.68271       1.68282       1.42162       1.20331      0.557069    
  0.109648E-03   35.5009       2.83181       3.58006       2.81533       3.57046      0.164775E-01  0.960114E-02   6.38579       1.64373       1.64384       1.38661       1.17160      0.540005    
  0.120226E-03   34.5301       2.76429       3.49249       2.74684       3.48232      0.174536E-01  0.101687E-01   6.22916       1.60593       1.60604       1.35269       1.14091      0.523583    
  0.131825E-03   33.5733       2.69769       3.40612       2.67923       3.39536      0.184669E-01  0.107577E-01   6.07459       1.56860       1.56872       1.31922       1.11062      0.507421    
  0.144543E-03   32.6368       2.63242       3.32146       2.61288       3.31008      0.195331E-01  0.113775E-01   5.92297       1.53196       1.53208       1.28637       1.08093      0.491628    
  0.158489E-03   31.7274       2.56892       3.23910       2.54824       3.22706      0.206792E-01  0.120436E-01   5.77530       1.49623       1.49636       1.25437       1.05201      0.476331    
  0.173779E-03   30.8312       2.50630       3.15787       2.48443       3.14514      0.218667E-01  0.127336E-01   5.62957       1.46095       1.46109       1.22278       1.02348      0.461275    
  0.190545E-03   29.9602       2.44535       3.07879       2.42221       3.06532      0.231377E-01  0.134720E-01   5.48753       1.42652       1.42666       1.19197      0.995689      0.446680    
  0.208928E-03   29.1087       2.38569       3.00137       2.36121       2.98712      0.244807E-01  0.142521E-01   5.34833       1.39275       1.39290       1.16178      0.968459      0.432439    
  0.229085E-03   28.2698       2.32688       2.92503       2.30101       2.90997      0.258707E-01  0.150594E-01   5.21098       1.35941       1.35957       1.13197      0.941595      0.418427    
  0.251186E-03   27.4605       2.27006       2.85123       2.24267       2.83529      0.273839E-01  0.159379E-01   5.07796       1.32708       1.32724       1.10310      0.915595      0.404955    
  0.275420E-03   26.6637       2.21408       2.77852       2.18513       2.76167      0.289555E-01  0.168503E-01   4.94680       1.29517       1.29534       1.07462      0.889961      0.391711    
  0.301992E-03   25.8838       2.15926       2.70726       2.12865       2.68945      0.306057E-01  0.178081E-01   4.81810       1.26383       1.26401       1.04666      0.864819      0.378773    
  0.331127E-03   25.1276       2.10605       2.63804       2.07367       2.61921      0.323793E-01  0.188373E-01   4.69288       1.23330       1.23349       1.01945      0.840369      0.366264    
  0.363073E-03   24.3827       2.05362       2.56981       2.01941       2.54991      0.342157E-01  0.199028E-01   4.56932       1.20316       1.20335      0.992599      0.816249      0.353960    
  0.398101E-03   23.6589       2.00266       2.50343       1.96649       2.48239      0.361760E-01  0.210398E-01   4.44887       1.17374       1.17394      0.966410      0.792749      0.342039    
  0.436509E-03   22.9522       1.95289       2.43853       1.91464       2.41629      0.382475E-01  0.222411E-01   4.33093       1.14490       1.14510      0.940757      0.769747      0.330426    
  0.478622E-03   22.2562       1.90387       2.37457       1.86348       2.35109      0.403900E-01  0.234834E-01   4.21457       1.11642       1.11664      0.915442      0.747062      0.319007    
  0.524798E-03   21.5851       1.85662       2.31281       1.81391       2.28797      0.427145E-01  0.248307E-01   4.10188       1.08880       1.08903      0.890912      0.725107      0.308037    
  0.575429E-03   20.9251       1.81016       2.25202       1.76503       2.22579      0.451297E-01  0.262303E-01   3.99083       1.06156       1.06179      0.866733      0.703478      0.297267    
  0.630945E-03   20.2791       1.76471       2.19248       1.71705       2.16478      0.476592E-01  0.276959E-01   3.88183       1.03479       1.03504      0.842995      0.682261      0.286749    
  0.691816E-03   19.6536       1.72076       2.13476       1.67038       2.10549      0.503759E-01  0.292694E-01   3.77587       1.00873       1.00899      0.819906      0.661649      0.276600    
  0.758561E-03   19.0377       1.67750       2.07790       1.62432       2.04701      0.531863E-01  0.308968E-01   3.67132      0.982997      0.983262      0.797120      0.641319      0.266624    
  0.831745E-03   18.4395       1.63556       2.02263       1.57938       1.99000      0.561765E-01  0.326278E-01   3.56938      0.957869      0.958145      0.774893      0.621510      0.256964    
  0.911989E-03   17.8561       1.59472       1.96869       1.53539       1.93424      0.593347E-01  0.344555E-01   3.46962      0.933248      0.933535      0.753134      0.602138      0.247569    
  0.999975E-03   17.2819       1.55457       1.91558       1.49197       1.87924      0.625980E-01  0.363436E-01   3.37121      0.908939      0.909238      0.731664      0.583035      0.238338    
  0.109645E-02   16.7284       1.51601       1.86437       1.44989       1.82598      0.661240E-01  0.383827E-01   3.27587      0.885341      0.885653      0.710852      0.564547      0.229479    
  0.120223E-02   16.1846       1.47821       1.81404       1.40842       1.77354      0.697865E-01  0.405003E-01   3.18196      0.862077      0.862401      0.690348      0.546346      0.220793    
  0.131822E-02   15.6524       1.44130       1.76478       1.36769       1.72207      0.736112E-01  0.427110E-01   3.08976      0.839206      0.839544      0.670209      0.528486      0.212312    
  0.144540E-02   15.1379       1.40580       1.71715       1.32809       1.67207      0.777117E-01  0.450799E-01   3.00016      0.816939      0.817292      0.650629      0.511149      0.204147    
  0.158485E-02   14.6314       1.37095       1.67027       1.28900       1.62275      0.819475E-01  0.475264E-01   2.91175      0.794949      0.795316      0.631305      0.494052      0.196126    
  0.173775E-02   14.1396       1.33728       1.62476       1.25084       1.57465      0.864362E-01  0.501177E-01   2.82549      0.773456      0.773838      0.612444      0.477387      0.188364    
  0.190540E-02   13.6605       1.30467       1.58046       1.21350       1.52761      0.911697E-01  0.528491E-01   2.74111      0.752397      0.752795      0.593985      0.461101      0.180830    
  0.208923E-02   13.1891       1.27269       1.53688       1.17664       1.48121      0.960529E-01  0.556662E-01   2.65785      0.731599      0.732014      0.575769      0.445042      0.173431    
  0.229079E-02   12.7349       1.24218       1.49494       1.14088       1.43625      0.101300      0.586912E-01   2.57712      0.711383      0.711816      0.558096      0.429493      0.166337    
  0.251180E-02   12.2892       1.21239       1.45381       1.10564       1.39198      0.106745      0.618285E-01   2.49763      0.691452      0.691903      0.540688      0.414193      0.159393    
