   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   7.81351      0.929852       1.36239      0.908749       1.36124      0.211031E-01  0.115441E-02   2.26999      0.775560      0.778412      0.582871      0.133189       0.00000       0.00000      0.582825    
  0.109648E-03   7.60923      0.918666       1.34546      0.896681       1.34422      0.219856E-01  0.124561E-02   2.24090      0.766007      0.769012      0.575250      0.130674       0.00000       0.00000      0.575203    
  0.120226E-03   7.43304      0.907804       1.32858      0.884904       1.32723      0.228995E-01  0.134524E-02   2.21214      0.756435      0.759601      0.567680      0.128469       0.00000       0.00000      0.567632    
  0.131825E-03   7.27773      0.897158       1.31170      0.873313       1.31025      0.238453E-01  0.145254E-02   2.18356      0.746829      0.750164      0.560135      0.126483       0.00000       0.00000      0.560087    
  0.144543E-03   7.14142      0.886712       1.29484      0.861888       1.29327      0.248240E-01  0.156856E-02   2.15516      0.737192      0.740705      0.552615      0.124695       0.00000       0.00000      0.552566    
  0.158489E-03   7.02296      0.876458       1.27799      0.850621       1.27630      0.258364E-01  0.169477E-02   2.12692      0.727530      0.731229      0.545120      0.123092       0.00000       0.00000      0.545070    
  0.173779E-03   6.92044      0.866378       1.26117      0.839494       1.25934      0.268836E-01  0.183220E-02   2.09883      0.717844      0.721740      0.537651      0.121650       0.00000       0.00000      0.537600    
  0.190545E-03   6.82972      0.856418       1.24436      0.828452       1.24238      0.279661E-01  0.198045E-02   2.07083      0.708133      0.712234      0.530195      0.120319       0.00000       0.00000      0.530144    
  0.208928E-03   6.74953      0.846571       1.22756      0.817486       1.22542      0.290847E-01  0.214093E-02   2.04291      0.698400      0.702718      0.522756      0.119086       0.00000       0.00000      0.522704    
  0.229085E-03   6.67945      0.836839       1.21080      0.806599       1.20848      0.302409E-01  0.231608E-02   2.01508      0.688654      0.693198      0.515337      0.117945       0.00000       0.00000      0.515285    
  0.251186E-03   6.61736      0.827203       1.19407      0.795768       1.19156      0.314353E-01  0.250626E-02   1.98733      0.678896      0.683678      0.507937      0.116872       0.00000       0.00000      0.507884    
