After minimisation      29.71    -3    -9.904

  Partial chi2s 
Dataset    1     11.36( +0.75)    11  ATLAS W+ lepton rapidity 2011                   

 Correlated Chi2    17.593495821781911     
 Log penalty Chi2   0.75370306592582126     
 Systematic shifts          132
  
                                Name          Shift   +/-    Error          Type
    1  sysATLAS1001                          -0.1015   +/-   0.9879        :N:M:D
    2  sysATLAS1002                           0.0698   +/-   0.9941        :N:M:D
    3  sysATLAS1003                           0.0029   +/-   0.9991        :N:M:D
    4  sysATLAS1004                          -0.0393   +/-   0.9997        :N:M:D
    5  sysATLAS1005                          -0.0382   +/-   0.9998        :N:M:D
    6  sysATLAS1006                           0.0808   +/-   0.9907        :N:M:D
    7  sysATLAS1007                          -0.0621   +/-   0.9940        :N:M:D
    8  sysATLAS1008                           0.5795   +/-   0.9861        :N:M:D
    9  sysATLAS1009                          -0.0106   +/-   0.9577        :N:M:D
   10  sysATLAS1010                          -0.2528   +/-   0.8500        :N:M:D
   11  sysATLAS1011                          -0.0352   +/-   0.9932        :N:M:D
   12  sysATLAS1012                          -0.0982   +/-   0.9983        :N:M:D
   13  sysATLAS1013                           0.0000   +/-   1.0000        :N:M:D
   14  sysATLAS1014                           0.0833   +/-   0.9992        :N:M:D
   15  sysATLAS1015                          -0.0091   +/-   1.0000        :N:M:D
   16  sysATLAS1016                          -0.0013   +/-   1.0000        :N:M:D
   17  sysATLAS1017                          -0.0084   +/-   1.0000        :N:M:D
   18  sysATLAS1018                          -0.0555   +/-   0.9994        :N:M:D
   19  sysATLAS1019                           0.0080   +/-   1.0000        :N:M:D
   20  sysATLAS1020                           0.0857   +/-   0.9921        :N:M:D
   21  sysATLAS1021                          -0.0264   +/-   0.9999        :N:M:D
   22  sysATLAS1022                          -0.2252   +/-   0.9953        :N:M:D
   23  sysATLAS1023                          -0.1160   +/-   0.9982        :N:M:D
   24  sysATLAS1024                          -0.0098   +/-   0.9997        :N:M:D
   25  sysATLAS1025                          -0.0888   +/-   0.9996        :N:M:D
   26  sysATLAS1026                           0.0091   +/-   0.9995        :N:M:D
   27  sysATLAS1027                           0.0456   +/-   0.9993        :N:M:D
   28  sysATLAS1028                          -0.0213   +/-   0.9993        :N:M:D
   29  sysATLAS1029                           0.1702   +/-   0.9947        :N:M:D
   30  sysATLAS1030                          -0.0355   +/-   0.9982        :N:M:D
   31  sysATLAS1031                           0.0615   +/-   0.9989        :N:M:D
   32  sysATLAS1032                          -0.1168   +/-   0.9973        :N:M:D
   33  sysATLAS1033                           0.0107   +/-   0.9991        :N:M:D
   34  sysATLAS1034                           0.0075   +/-   0.9999        :N:M:D
   35  sysATLAS1035                          -0.3580   +/-   0.9861        :N:M:D
   36  sysATLAS1036                          -0.0146   +/-   0.9856        :N:M:D
   37  sysATLAS1037                          -0.0299   +/-   0.9890        :N:M:D
   38  sysATLAS1038                           0.2171   +/-   0.9888        :N:M:D
   39  sysATLAS1039                          -0.0686   +/-   0.9918        :N:M:D
   40  sysATLAS1040                          -0.1038   +/-   0.9901        :N:M:D
   41  sysATLAS1041                          -0.0496   +/-   0.9979        :N:M:D
   42  sysATLAS1042                          -0.4327   +/-   0.9803        :N:M:D
   43  sysATLAS1043                          -0.2411   +/-   0.9880        :N:M:D
   44  sysATLAS1044                           0.2908   +/-   0.9704        :N:M:D
   45  sysATLAS1045                           0.2467   +/-   0.9889        :N:M:D
   46  sysATLAS1046                           0.0450   +/-   0.9974        :N:M:D
   47  sysATLAS1047                           0.3299   +/-   0.9877        :N:M:D
   48  sysATLAS1048                           0.0063   +/-   0.9973        :N:M:D
   49  sysATLAS1049                          -0.2263   +/-   0.9925        :N:M:D
   50  sysATLAS1050                          -0.0135   +/-   0.9993        :N:M:D
   51  sysATLAS1051                          -0.2587   +/-   0.9968        :N:M:D
   52  sysATLAS1052                           0.0543   +/-   0.9997        :N:M:D
   53  sysATLAS1053                           0.0105   +/-   0.9999        :N:M:D
   54  sysATLAS1054                           0.4738   +/-   0.9562        :N:M:D
   55  sysATLAS1055                          -0.5460   +/-   0.8538        :N:M:D
   56  sysATLAS1056                           0.0970   +/-   0.9929        :N:M:D
   57  sysATLAS1057                           0.3747   +/-   0.9650        :N:M:D
   58  sysATLAS1058                           0.2274   +/-   0.9798        :N:M:D
   59  sysATLAS1059                           0.0162   +/-   0.9987        :N:M:D
   60  sysATLAS1060                          -0.0250   +/-   0.9909        :N:M:D
   61  sysATLAS1061                           0.4501   +/-   0.9818        :N:M:D
   62  sysATLAS1062                           0.7653   +/-   0.9490        :N:M:D
   63  sysATLAS1063                           0.3472   +/-   0.9368        :N:M:D
   64  sysATLAS1064                           0.7218   +/-   0.9778        :N:M:D
   65  sysATLAS1065                           0.4063   +/-   0.9905        :N:M:D
   66  sysATLAS1066                           0.3750   +/-   0.9842        :N:M:D
   67  sysATLAS1067                           0.3234   +/-   0.9886        :N:M:D
   68  sysATLAS1068                          -0.7410   +/-   0.8204        :N:M:D
   69  sysATLAS1069                           0.8270   +/-   0.9780        :N:M:D
   70  sysATLAS1070                           0.0000   +/-   1.0000        :N:M:D
   71  sysATLAS1071                           0.5680   +/-   0.9842        :N:M:D
   72  sysATLAS1072                          -1.2084   +/-   0.9504        :N:M:D
   73  sysATLAS1073                           0.2588   +/-   0.9828        :N:M:D
