   30000.0000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   96.6354       7.52473       10.5964       7.50165       10.5830      0.230836E-01  0.133352E-01   18.0847       3.98690       3.89756       3.78547       3.51475       2.89999       0.00000       3.78547    
  0.109648E-03   92.8486       7.27030       10.2273       7.24595       10.2132      0.243490E-01  0.140615E-01   17.4592       3.85459       3.76501       3.65745       3.39137       2.79077       0.00000       3.65745    
  0.120226E-03   89.1903       7.02357       9.86956       6.99789       9.85474      0.256783E-01  0.148238E-01   16.8526       3.72616       3.63643       3.53324       3.27173       2.68506       0.00000       3.53324    
  0.131825E-03   85.6532       6.78410       9.52256       6.75702       9.50693      0.270820E-01  0.156295E-01   16.2639       3.60140       3.51163       3.41265       3.15562       2.58265       0.00000       3.41265    
  0.144543E-03   82.2375       6.55194       9.18632       6.52338       9.16984      0.285579E-01  0.164770E-01   15.6932       3.48032       3.39060       3.29567       3.04306       2.48357       0.00000       3.29567    
  0.158489E-03   78.9361       6.32669       8.86027       6.29659       8.84291      0.301050E-01  0.173642E-01   15.1395       3.36272       3.27318       3.18212       2.93386       2.38761       0.00000       3.18212    
  0.173779E-03   75.7498       6.10841       8.54448       6.07668       8.52619      0.317231E-01  0.182911E-01   14.6029       3.24864       3.15939       3.07201       2.82804       2.29480       0.00000       3.07201    
  0.190545E-03   72.6708       5.89666       8.23835       5.86323       8.21908      0.334289E-01  0.192712E-01   14.0823       3.13785       3.04900       2.96513       2.72539       2.20494       0.00000       2.96513    
  0.208928E-03   69.6996       5.69149       7.94190       5.65627       7.92160      0.352229E-01  0.203063E-01   13.5779       3.03036       2.94205       2.86151       2.62591       2.11804       0.00000       2.86151    
  0.229085E-03   66.8301       5.49257       7.65465       5.45546       7.63326      0.371081E-01  0.213892E-01   13.0887       2.92601       2.83836       2.76095       2.52945       2.03395       0.00000       2.76095    
  0.251186E-03   64.0618       5.29987       7.37657       5.26078       7.35405      0.390844E-01  0.225144E-01   12.6148       2.82478       2.73794       2.66346       2.43600       1.95266       0.00000       2.66346    
  0.275420E-03   61.3898       5.11312       7.10725       5.07196       7.08356      0.411572E-01  0.236958E-01   12.1555       2.72655       2.64064       2.56889       2.34541       1.87402       0.00000       2.56889    
  0.301992E-03   58.8120       4.93220       6.84654       4.88887       6.82160      0.433268E-01  0.249416E-01   11.7105       2.63124       2.54641       2.47719       2.25763       1.79800       0.00000       2.47719    
  0.331127E-03   56.3257       4.75698       6.59422       4.71137       6.56797      0.456008E-01  0.262482E-01   11.2793       2.53880       2.45518       2.38828       2.17258       1.72451       0.00000       2.38828    
  0.363073E-03   53.9270       4.58724       6.34997       4.53925       6.32235      0.479895E-01  0.276138E-01   10.8616       2.44909       2.36685       2.30204       2.09015       1.65346       0.00000       2.30204    
  0.398101E-03   51.6152       4.42294       6.11373       4.37245       6.08469      0.504917E-01  0.290415E-01   10.4571       2.36212       2.28139       2.21847       2.01034       1.58483       0.00000       2.21847    
  0.436509E-03   49.3852       4.26382       5.88510       4.21071       5.85456      0.531125E-01  0.305383E-01   10.0653       2.27773       2.19867       2.13741       1.93298       1.51847       0.00000       2.13741    
  0.478622E-03   47.2372       4.10988       5.66409       4.05403       5.63199      0.558523E-01  0.321034E-01   9.68602       2.19593       2.11870       2.05888       1.85810       1.45442       0.00000       2.05888    
  0.524798E-03   45.1658       3.96084       5.45027       3.90211       5.41653      0.587243E-01  0.337419E-01   9.31864       2.11657       2.04132       1.98271       1.78554       1.39250       0.00000       1.98271    
  0.575429E-03   43.1715       3.81672       5.24368       3.75499       5.20823      0.617269E-01  0.354532E-01   8.96322       2.03967       1.96655       1.90893       1.71531       1.33275       0.00000       1.90893    
  0.630945E-03   41.2492       3.67724       5.04389       3.61237       5.00664      0.648699E-01  0.372439E-01   8.61901       1.96509       1.89423       1.83738       1.64728       1.27503       0.00000       1.83738    
  0.691816E-03   39.3990       3.54242       4.85091       3.47426       4.81179      0.681525E-01  0.391140E-01   8.28606       1.89282       1.82439       1.76808       1.58144       1.21933       0.00000       1.76808    
  0.758561E-03   37.6166       3.41202       4.66438       3.34043       4.62331      0.715853E-01  0.410674E-01   7.96374       1.82275       1.75688       1.70089       1.51768       1.16555       0.00000       1.70089    
  0.831745E-03   35.9014       3.28601       4.48426       3.21084       4.44116      0.751698E-01  0.431041E-01   7.65200       1.75487       1.69169       1.63579       1.45597       1.11367       0.00000       1.63579    
  0.911989E-03   34.2504       3.16424       4.31029       3.08533       4.26506      0.789132E-01  0.452291E-01   7.35039       1.68908       1.62874       1.57272       1.39625       1.06361       0.00000       1.57272    
  0.999975E-03   32.6619       3.04660       4.14232       2.96378       4.09488      0.828188E-01  0.474461E-01   7.05866       1.62535       1.56796       1.51160       1.33844       1.01532       0.00000       1.51160    
  0.109645E-02   31.1341       2.93301       3.98022       2.84612       3.93046      0.868924E-01  0.497552E-01   6.77658       1.56361       1.50930       1.45240       1.28251      0.968762       0.00000       1.45240    
  0.120223E-02   29.6640       2.82330       3.82368       2.73216       3.77153      0.911440E-01  0.521573E-01   6.50369       1.50379       1.45266       1.39502       1.22837      0.923850       0.00000       1.39502    
  0.131822E-02   28.2513       2.71746       3.67271       2.62189       3.61805      0.955732E-01  0.546556E-01   6.23994       1.44588       1.39802       1.33945       1.17601      0.880577       0.00000       1.33945    
  0.144540E-02   26.8924       2.61529       3.52698       2.51511       3.46972      0.100187      0.572616E-01   5.98482       1.38978       1.34528       1.28559       1.12533      0.838847       0.00000       1.28559    
  0.158485E-02   25.5875       2.51681       3.38652       2.41183       3.32654      0.104985      0.599734E-01   5.73837       1.33550       1.29443       1.23345       1.07633      0.798668       0.00000       1.23345    
  0.173775E-02   24.3327       2.42181       3.25096       2.31183       3.18817      0.109982      0.627906E-01   5.50000       1.28292       1.24533       1.18291       1.02891      0.759934       0.00000       1.18291    
