   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   5.86184      0.880435       1.24562      0.871225       1.24022      0.921050E-02  0.540485E-02   2.11144      0.691523      0.610989      0.629230      0.179702       0.00000       0.00000      0.629230    
  0.109648E-03   5.79414      0.865898       1.22234      0.856095       1.21658      0.980272E-02  0.575172E-02   2.07268      0.679185      0.597624      0.618960      0.176910       0.00000       0.00000      0.618960    
  0.120226E-03   5.72786      0.851592       1.19944      0.841160       1.19332      0.104312E-01  0.611981E-02   2.03448      0.667015      0.584477      0.608840      0.174145       0.00000       0.00000      0.608840    
  0.131825E-03   5.66295      0.837511       1.17692      0.826411       1.17041      0.110996E-01  0.651216E-02   1.99682      0.655006      0.571550      0.598861      0.171406       0.00000       0.00000      0.598861    
  0.144543E-03   5.59942      0.823658       1.15480      0.811849       1.14787      0.118082E-01  0.692849E-02   1.95972      0.643157      0.558844      0.589025      0.168693       0.00000       0.00000      0.589025    
  0.158489E-03   5.53726      0.810034       1.13307      0.797471       1.12570      0.125628E-01  0.737116E-02   1.92317      0.631466      0.546371      0.579328      0.166004       0.00000       0.00000      0.579328    
  0.173779E-03   5.47647      0.796638       1.11174      0.783276       1.10390      0.133627E-01  0.783988E-02   1.88717      0.619934      0.534128      0.569770      0.163342       0.00000       0.00000      0.569770    
  0.190545E-03   5.41701      0.783471       1.09081      0.769257       1.08247      0.142137E-01  0.833819E-02   1.85172      0.608555      0.522125      0.560343      0.160702       0.00000       0.00000      0.560343    
  0.208928E-03   5.35887      0.770530       1.07027      0.755415       1.06141      0.151151E-01  0.886557E-02   1.81682      0.597328      0.510360      0.551046      0.158087       0.00000       0.00000      0.551046    
  0.229085E-03   5.30204      0.757820       1.05015      0.741747       1.04072      0.160736E-01  0.942675E-02   1.78247      0.586252      0.498846      0.541878      0.155495       0.00000       0.00000      0.541878    
  0.251186E-03   5.24651      0.745342       1.03044      0.728252       1.02042      0.170898E-01  0.100223E-01   1.74867      0.575327      0.487581      0.532838      0.152925       0.00000       0.00000      0.532838    
  0.275420E-03   5.19226      0.733095       1.01115      0.714927       1.00050      0.181687E-01  0.106548E-01   1.71542      0.564549      0.476577      0.523921      0.150377       0.00000       0.00000      0.523921    
  0.301992E-03   5.13924      0.721080      0.992285      0.701768      0.980959      0.193120E-01  0.113253E-01   1.68273      0.553917      0.465836      0.515124      0.147851       0.00000       0.00000      0.515124    
  0.331127E-03   5.08745      0.709300      0.973844      0.688775      0.961808      0.205244E-01  0.120360E-01   1.65058      0.543430      0.455364      0.506444      0.145345       0.00000       0.00000      0.506444    
  0.363073E-03   5.03688      0.697759      0.955837      0.675946      0.943047      0.218129E-01  0.127894E-01   1.61899      0.533086      0.445170      0.497878      0.142860       0.00000       0.00000      0.497878    
