   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   1.06480      0.618201      0.860821      0.610882      0.856766      0.731902E-02  0.405578E-02   1.46765      0.593107      0.514470      0.342296      0.177747E-01   0.00000       0.00000      0.342296    
  0.109648E-03   1.07505      0.607348      0.843277      0.599536      0.838944      0.781216E-02  0.433218E-02   1.43848      0.581953      0.502352      0.336592      0.175825E-01   0.00000       0.00000      0.336592    
  0.120226E-03   1.08594      0.596691      0.826062      0.588354      0.821436      0.833751E-02  0.462679E-02   1.40979      0.570963      0.490453      0.330982      0.173908E-01   0.00000       0.00000      0.330982    
  0.131825E-03   1.09751      0.586228      0.809175      0.577328      0.804237      0.890047E-02  0.493855E-02   1.38156      0.560128      0.478776      0.325460      0.171996E-01   0.00000       0.00000      0.325460    
  0.144543E-03   1.10974      0.575960      0.792618      0.566459      0.787349      0.950056E-02  0.526887E-02   1.35381      0.549450      0.467322      0.320027      0.170088E-01   0.00000       0.00000      0.320027    
  0.158489E-03   1.12269      0.565886      0.776406      0.555744      0.770781      0.101420E-01  0.562597E-02   1.32652      0.538926      0.456101      0.314680      0.168183E-01   0.00000       0.00000      0.314680    
  0.173779E-03   1.13633      0.556009      0.760539      0.545185      0.754530      0.108242E-01  0.600915E-02   1.29971      0.528556      0.445111      0.309419      0.166283E-01   0.00000       0.00000      0.309419    
  0.190545E-03   1.15070      0.546326      0.745019      0.534773      0.738603      0.115531E-01  0.641579E-02   1.27338      0.518334      0.434364      0.304239      0.164384E-01   0.00000       0.00000      0.304239    
  0.208928E-03   1.16580      0.536837      0.729844      0.524508      0.722999      0.123284E-01  0.684480E-02   1.24751      0.508260      0.423857      0.299142      0.162488E-01   0.00000       0.00000      0.299142    
  0.229085E-03   1.18166      0.527545      0.715031      0.514392      0.707729      0.131529E-01  0.730250E-02   1.22212      0.498333      0.413604      0.294125      0.160594E-01   0.00000       0.00000      0.294125    
  0.251186E-03   1.19827      0.518451      0.700583      0.504426      0.692794      0.140253E-01  0.778910E-02   1.19722      0.488556      0.403605      0.289190      0.158702E-01   0.00000       0.00000      0.289190    
  0.275420E-03   1.21565      0.509559      0.686509      0.494605      0.678200      0.149536E-01  0.830923E-02   1.17281      0.478924      0.393869      0.284331      0.156810E-01   0.00000       0.00000      0.284331    
  0.301992E-03   1.23383      0.500868      0.672813      0.484928      0.663947      0.159400E-01  0.886590E-02   1.14887      0.469436      0.384401      0.279546      0.154920E-01   0.00000       0.00000      0.279546    
  0.331127E-03   1.25279      0.492383      0.659502      0.475393      0.650043      0.169906E-01  0.945918E-02   1.12544      0.460090      0.375208      0.274834      0.153029E-01   0.00000       0.00000      0.274834    
  0.363073E-03   1.27257      0.484110      0.646587      0.465995      0.636497      0.181149E-01  0.100899E-01   1.10249      0.450881      0.366301      0.270196      0.151137E-01   0.00000       0.00000      0.270196    
  0.398101E-03   1.29314      0.476048      0.634070      0.456737      0.623310      0.193116E-01  0.107597E-01   1.08005      0.441812      0.357681      0.265629      0.149245E-01   0.00000       0.00000      0.265629    
  0.436509E-03   1.31455      0.468203      0.621965      0.447619      0.610492      0.205842E-01  0.114731E-01   1.05811      0.432884      0.349363      0.261129      0.147351E-01   0.00000       0.00000      0.261129    
  0.478622E-03   1.33677      0.460574      0.610273      0.438641      0.598043      0.219334E-01  0.122300E-01   1.03668      0.424096      0.341345      0.256698      0.145455E-01   0.00000       0.00000      0.256698    
  0.524798E-03   1.35982      0.453176      0.599014      0.429806      0.585977      0.233703E-01  0.130372E-01   1.01578      0.415450      0.333644      0.252333      0.143557E-01   0.00000       0.00000      0.252333    
  0.575429E-03   1.38371      0.446006      0.588186      0.421112      0.574292      0.248937E-01  0.138939E-01  0.995404      0.406946      0.326258      0.248034      0.141657E-01   0.00000       0.00000      0.248034    
  0.630945E-03   1.40842      0.439076      0.577805      0.412562      0.562997      0.265142E-01  0.148073E-01  0.975559      0.398587      0.319201      0.243796      0.139753E-01   0.00000       0.00000      0.243796    
  0.691816E-03   1.43396      0.432385      0.567869      0.404155      0.552092      0.282305E-01  0.157774E-01  0.956247      0.390370      0.312472      0.239620      0.137845E-01   0.00000       0.00000      0.239620    
  0.758561E-03   1.46032      0.425948      0.558395      0.395893      0.541586      0.300558E-01  0.168088E-01  0.937478      0.382299      0.306083      0.235503      0.135933E-01   0.00000       0.00000      0.235503    
  0.831745E-03   1.48753      0.419766      0.549383      0.387774      0.531482      0.319914E-01  0.179009E-01  0.919256      0.374373      0.300038      0.231444      0.134016E-01   0.00000       0.00000      0.231444    
  0.911989E-03   1.51552      0.413852      0.540843      0.379806      0.521781      0.340464E-01  0.190615E-01  0.901587      0.366597      0.294340      0.227442      0.132093E-01   0.00000       0.00000      0.227442    
  0.999975E-03   1.54430      0.408217      0.532779      0.371992      0.512485      0.362249E-01  0.202945E-01  0.884477      0.358976      0.288992      0.223492      0.130164E-01   0.00000       0.00000      0.223492    
  0.109645E-02   1.57383      0.402865      0.525196      0.364332      0.503592      0.385332E-01  0.216033E-01  0.867924      0.351509      0.283996      0.219596      0.128228E-01   0.00000       0.00000      0.219596    
  0.120223E-02   1.60410      0.397807      0.518101      0.356825      0.495107      0.409821E-01  0.229944E-01  0.851932      0.344197      0.279354      0.215752      0.126284E-01   0.00000       0.00000      0.215752    
  0.131822E-02   1.63510      0.393047      0.511494      0.349475      0.487025      0.435725E-01  0.244682E-01  0.836500      0.337042      0.275066      0.211959      0.124332E-01   0.00000       0.00000      0.211959    
  0.144540E-02   1.66676      0.388609      0.505374      0.342293      0.479343      0.463156E-01  0.260315E-01  0.821636      0.330056      0.271131      0.208212      0.122370E-01   0.00000       0.00000      0.208212    
  0.158485E-02   1.69909      0.384490      0.499742      0.335279      0.472057      0.492117E-01  0.276844E-01  0.807336      0.323239      0.267547      0.204510      0.120399E-01   0.00000       0.00000      0.204510    
  0.173775E-02   1.73197      0.380721      0.494594      0.328436      0.465154      0.522844E-01  0.294399E-01  0.793590      0.316595      0.264301      0.200853      0.118417E-01   0.00000       0.00000      0.200853    
  0.190540E-02   1.76543      0.377297      0.489931      0.321765      0.458634      0.555320E-01  0.312965E-01  0.780399      0.310123      0.261394      0.197240      0.116423E-01   0.00000       0.00000      0.197240    
  0.208923E-02   1.79931      0.374243      0.485736      0.315277      0.452470      0.589658E-01  0.332660E-01  0.767747      0.303836      0.258804      0.193666      0.114415E-01   0.00000       0.00000      0.193666    
  0.229079E-02   1.83364      0.371555      0.482014      0.308973      0.446666      0.625828E-01  0.353481E-01  0.755638      0.297733      0.256535      0.190130      0.112393E-01   0.00000       0.00000      0.190130    
  0.251180E-02   1.86825      0.369263      0.478738      0.302857      0.441186      0.664059E-01  0.375514E-01  0.744043      0.291821      0.254556      0.186630      0.110357E-01   0.00000       0.00000      0.186630    
  0.275413E-02   1.90314      0.367369      0.475906      0.296930      0.436031      0.704390E-01  0.398755E-01  0.732961      0.286100      0.252866      0.183165      0.108304E-01   0.00000       0.00000      0.183165    
  0.301984E-02   1.93813      0.365894      0.473495      0.291199      0.431163      0.746956E-01  0.423320E-01  0.722362      0.280575      0.251432      0.179732      0.106234E-01   0.00000       0.00000      0.179732    
  0.331118E-02   1.97313      0.364853      0.471493      0.285667      0.426564      0.791859E-01  0.449283E-01  0.712232      0.275253      0.250237      0.176327      0.104145E-01   0.00000       0.00000      0.176327    
  0.363064E-02   2.00804      0.364251      0.469878      0.280336      0.422210      0.839150E-01  0.476683E-01  0.702546      0.270133      0.249260      0.172950      0.102037E-01   0.00000       0.00000      0.172950    
  0.398091E-02   2.04267      0.364106      0.468618      0.275210      0.418056      0.888957E-01  0.505619E-01  0.693266      0.265219      0.248458      0.169598      0.999066E-02   0.00000       0.00000      0.169598    
  0.436498E-02   2.07698      0.364418      0.467706      0.270287      0.414096      0.941309E-01  0.536102E-01  0.684383      0.260511      0.247827      0.166269      0.977542E-02   0.00000       0.00000      0.166269    
  0.478610E-02   2.11062      0.365210      0.467087      0.265567      0.410260      0.996433E-01  0.568268E-01  0.675827      0.256009      0.247302      0.162959      0.955771E-02   0.00000       0.00000      0.162959    
  0.524785E-02   2.14363      0.366481      0.466765      0.261050      0.406555      0.105431      0.602104E-01  0.667605      0.251713      0.246888      0.159667      0.933755E-02   0.00000       0.00000      0.159667    
  0.575415E-02   2.17558      0.368248      0.466674      0.256730      0.402896      0.111518      0.637780E-01  0.659627      0.247616      0.246508      0.156388      0.911465E-02   0.00000       0.00000      0.156388    
  0.630929E-02   2.20651      0.370511      0.466822      0.252610      0.399294      0.117901      0.675277E-01  0.651904      0.243721      0.246171      0.153123      0.888904E-02   0.00000       0.00000      0.153123    
  0.691799E-02   2.23592      0.373277      0.467139      0.248669      0.395663      0.124607      0.714755E-01  0.644333      0.240009      0.245799      0.149864      0.866050E-02   0.00000       0.00000      0.149864    
  0.758542E-02   2.26383      0.376548      0.467627      0.244912      0.392006      0.131636      0.756210E-01  0.636917      0.236483      0.245392      0.146613      0.842903E-02   0.00000       0.00000      0.146613    
  0.831724E-02   2.28973      0.380322      0.468232      0.241312      0.388253      0.139011      0.799782E-01  0.629565      0.233117      0.244889      0.143364      0.819446E-02   0.00000       0.00000      0.143364    
  0.911966E-02   2.31337      0.384639      0.468948      0.237879      0.384383      0.146760      0.845654E-01  0.622262      0.229922      0.244265      0.140117      0.795672E-02   0.00000       0.00000      0.140117    
  0.999950E-02   2.33488      0.389378      0.469723      0.234551      0.380376      0.154827      0.893470E-01  0.614927      0.226835      0.243514      0.136862      0.771585E-02   0.00000       0.00000      0.136862    
  0.109642E-01   2.35335      0.394586      0.470496      0.231293      0.376123      0.163292      0.943738E-01  0.607416      0.223823      0.242547      0.133576      0.747020E-02   0.00000       0.00000      0.133576    
  0.120220E-01   2.36894      0.400368      0.471410      0.228208      0.371764      0.172161      0.996463E-01  0.599971      0.220983      0.241434      0.130330      0.722434E-02   0.00000       0.00000      0.130330    
  0.131819E-01   2.38086      0.406552      0.472258      0.225111      0.367091      0.181441      0.105167      0.592202      0.218138      0.240061      0.127030      0.697300E-02   0.00000       0.00000      0.127030    
  0.144536E-01   2.38927      0.413223      0.473171      0.222085      0.362234      0.191138      0.110937      0.584320      0.215365      0.238492      0.123742      0.672050E-02   0.00000       0.00000      0.123742    
  0.158481E-01   2.39333      0.420314      0.474050      0.219021      0.357071      0.201293      0.116979      0.576092      0.212557      0.236654      0.120417      0.646409E-02   0.00000       0.00000      0.120417    
  0.173770E-01   2.39308      0.427816      0.474934      0.215913      0.351648      0.211903      0.123286      0.567561      0.209708      0.234576      0.117072      0.620535E-02   0.00000       0.00000      0.117072    
  0.190535E-01   2.38793      0.435739      0.475843      0.212726      0.345961      0.223013      0.129881      0.558687      0.206781      0.232253      0.113708      0.594475E-02   0.00000       0.00000      0.113708    
  0.208917E-01   2.37769      0.443992      0.476726      0.209373      0.339970      0.234619      0.136755      0.549344      0.203692      0.229674      0.110296      0.568108E-02   0.00000       0.00000      0.110296    
  0.229073E-01   2.36204      0.452663      0.477691      0.205888      0.333762      0.246775      0.143930      0.539650      0.200471      0.226881      0.106881      0.541765E-02   0.00000       0.00000      0.106881    
  0.251174E-01   2.34048      0.461611      0.478609      0.202128      0.327214      0.259483      0.151396      0.529342      0.196977      0.223822      0.103391      0.515087E-02   0.00000       0.00000      0.103391    
  0.275406E-01   2.31310      0.470962      0.479658      0.198169      0.320490      0.272793      0.159168      0.518659      0.193283      0.220582      0.999077E-01  0.488631E-02   0.00000       0.00000      0.999077E-01
  0.301976E-01   2.27919      0.480551      0.480651      0.193838      0.313414      0.286713      0.167237      0.507252      0.189219      0.217077      0.963371E-01  0.461913E-02   0.00000       0.00000      0.963371E-01
  0.331110E-01   2.23921      0.490526      0.481792      0.189236      0.306180      0.301290      0.175612      0.495416      0.184880      0.213409      0.927710E-01  0.435578E-02   0.00000       0.00000      0.927710E-01
