 First iteration    41.523719576190949               25   1.6609487830476379     
After minimisation      41.52    25     1.661

  Partial chi2s 
Dataset    1     38.83( +0.37)    39  HERA1+2 CCep                                    

 Correlated Chi2    2.3262053185996274     
 Log penalty Chi2   0.36946529046131554     
 Systematic shifts          191
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                         -0.0195   +/-   0.9995        :N:M:D
    2  sysHZComb1002                          0.0182   +/-   0.9996        :N:M:D
    3  sysHZComb1003                         -0.0233   +/-   0.9993        :N:M:D
    4  sysHZComb1004                          0.0719   +/-   0.9935        :N:M:D
    5  sysHZComb1005                         -0.1325   +/-   0.9780        :N:M:D
    6  sysHZComb1006                          0.1365   +/-   0.9767        :N:M:D
    7  sysHZComb1007                          0.0009   +/-   1.0000        :N:M:D
    8  sysHZComb1008                          0.0026   +/-   1.0000        :N:M:D
    9  sysHZComb1009                         -0.0011   +/-   1.0000        :N:M:D
   10  sysHZComb1010                         -0.0031   +/-   1.0000        :N:M:D
   11  sysHZComb1011                          0.0295   +/-   0.9990        :N:M:D
   12  sysHZComb1012                          0.0194   +/-   0.9995        :N:M:D
   13  sysHZComb1013                          0.0040   +/-   1.0000        :N:M:D
   14  sysHZComb1014                          0.0034   +/-   1.0000        :N:M:D
   15  sysHZComb1015                         -0.0015   +/-   1.0000        :N:M:D
   16  sysHZComb1016                         -0.0059   +/-   1.0000        :N:M:D
   17  sysHZComb1017                         -0.0230   +/-   0.9995        :N:M:D
   18  sysHZComb1018                         -0.0091   +/-   1.0000        :N:M:D
   19  sysHZComb1019                         -0.0030   +/-   0.9999        :N:M:D
   20  sysHZComb1020                         -0.0059   +/-   1.0000        :N:M:D
   21  sysHZComb1021                         -0.0100   +/-   0.9999        :N:M:D
   22  sysHZComb1022                         -0.0221   +/-   0.9994        :N:M:D
   23  sysHZComb1023                         -0.0086   +/-   0.9999        :N:M:D
   24  sysHZComb1024                          0.0320   +/-   0.9970        :N:M:D
   25  sysHZComb1025                         -0.0021   +/-   1.0000        :N:M:D
   26  sysHZComb1026                         -0.0095   +/-   1.0000        :N:M:D
   27  sysHZComb1027                          0.0094   +/-   1.0000        :N:M:D
   28  sysHZComb1028                         -0.0021   +/-   1.0000        :N:M:D
   29  sysHZComb1029                          0.0027   +/-   0.9997        :N:M:D
   30  sysHZComb1030                          0.0337   +/-   0.9996        :N:M:D
   31  sysHZComb1031                         -0.0100   +/-   0.9999        :N:M:D
   32  sysHZComb1032                         -0.0048   +/-   0.9999        :N:M:D
   33  sysHZComb1033                          0.0486   +/-   0.9987        :N:M:D
   34  sysHZComb1034                         -0.0185   +/-   0.9997        :N:M:D
   35  sysHZComb1035                         -0.0083   +/-   0.9999        :N:M:D
   36  sysHZComb1036                         -0.0071   +/-   0.9999        :N:M:D
   37  sysHZComb1037                         -0.0100   +/-   1.0000        :N:M:D
   38  sysHZComb1038                         -0.0117   +/-   0.9998        :N:M:D
   39  sysHZComb1039                          0.0283   +/-   0.9994        :N:M:D
   40  sysHZComb1040                          0.0106   +/-   0.9998        :N:M:D
   41  sysHZComb1041                         -0.0392   +/-   0.9996        :N:M:D
   42  sysHZComb1042                          0.0074   +/-   0.9996        :N:M:D
   43  sysHZComb1043                          0.0758   +/-   0.9974        :N:M:D
