   3.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   1.02165      0.608050       1.10161      0.603874       1.10070      0.417590E-02  0.904808E-03   1.70458      0.636204      0.635961      0.464790      -.323294E-01   0.00000       0.00000      0.464742    
  0.109648E-03   1.18749      0.602482       1.08838      0.598008       1.08741      0.447387E-02  0.975796E-03   1.68541      0.628563      0.628300      0.459154      -.305555E-01   0.00000       0.00000      0.459106    
  0.120226E-03   1.34007      0.596943       1.07523      0.592136       1.07417      0.480721E-02  0.105660E-02   1.66631      0.620973      0.620687      0.453532      -.288370E-01   0.00000       0.00000      0.453482    
  0.131825E-03   1.48746      0.591423       1.06210      0.586266       1.06096      0.515695E-02  0.114215E-02   1.64723      0.613406      0.613096      0.447917      -.271399E-01   0.00000       0.00000      0.447867    
  0.144543E-03   1.62743      0.585928       1.04903      0.580398       1.04780      0.553017E-02  0.123448E-02   1.62820      0.605872      0.605536      0.442314      -.254736E-01   0.00000       0.00000      0.442262    
  0.158489E-03   1.75771      0.580480       1.03604      0.574540       1.03470      0.593992E-02  0.133756E-02   1.60924      0.598387      0.598023      0.436730      -.238471E-01   0.00000       0.00000      0.436678    
  0.173779E-03   1.88333      0.575058       1.02308      0.568689       1.02164      0.636890E-02  0.144638E-02   1.59033      0.590928      0.590534      0.431158      -.222396E-01   0.00000       0.00000      0.431105    
  0.190545E-03   2.00017      0.569689       1.01021      0.562852       1.00865      0.683715E-02  0.156703E-02   1.57150      0.583520      0.583092      0.425608      -.206680E-01   0.00000       0.00000      0.425554    
  0.208928E-03   2.11044      0.564372      0.997414      0.557031      0.995716      0.734025E-02  0.169850E-02   1.55275      0.576155      0.575691      0.420079      -.191233E-01   0.00000       0.00000      0.420025    
  0.229085E-03   2.21645      0.559087      0.984661      0.551221      0.982824      0.786615E-02  0.183706E-02   1.53405      0.568817      0.568316      0.414564      -.175961E-01   0.00000       0.00000      0.414509    
  0.251186E-03   2.31271      0.553894      0.972030      0.545441      0.970034      0.845353E-02  0.199527E-02   1.51548      0.561550      0.561005      0.409084      -.161089E-01   0.00000       0.00000      0.409029    
  0.275420E-03   2.40496      0.548747      0.959455      0.539676      0.957291      0.907104E-02  0.216332E-02   1.49697      0.554314      0.553725      0.403622      -.146384E-01   0.00000       0.00000      0.403567    
  0.301992E-03   2.49181      0.543660      0.946955      0.533931      0.944610      0.972902E-02  0.234459E-02   1.47854      0.547121      0.546483      0.398183      -.131904E-01   0.00000       0.00000      0.398127    
  0.331127E-03   2.57130      0.538671      0.934571      0.528219      0.932024      0.104525E-01  0.254792E-02   1.46024      0.539992      0.539300      0.392780      -.117736E-01   0.00000       0.00000      0.392724    
  0.363073E-03   2.64734      0.533732      0.922246      0.522522      0.919483      0.112100E-01  0.276290E-02   1.44201      0.532894      0.532145      0.387394      -.103717E-01   0.00000       0.00000      0.387338    
  0.398101E-03   2.71697      0.528894      0.910033      0.516859      0.907031      0.120354E-01  0.300141E-02   1.42389      0.525856      0.525045      0.382042      -.899767E-02   0.00000       0.00000      0.381986    
  0.436509E-03   2.78160      0.524146      0.897916      0.511222      0.894654      0.129239E-01  0.326235E-02   1.40588      0.518869      0.517990      0.376720      -.764622E-02   0.00000       0.00000      0.376665    
  0.478622E-03   2.84307      0.519457      0.885862      0.505604      0.882324      0.138527E-01  0.353772E-02   1.38793      0.511913      0.510963      0.371417      -.630907E-02   0.00000       0.00000      0.371361    
  0.524798E-03   2.89743      0.514917      0.873960      0.500029      0.870108      0.148880E-01  0.385215E-02   1.37014      0.505035      0.504004      0.366159      -.500546E-02   0.00000       0.00000      0.366104    
  0.575429E-03   2.94871      0.510453      0.862131      0.494474      0.857944      0.159783E-01  0.418726E-02   1.35242      0.498191      0.497076      0.360922      -.371718E-02   0.00000       0.00000      0.360868    
  0.630945E-03   2.99611      0.506083      0.850394      0.488945      0.845845      0.171379E-01  0.454848E-02   1.33479      0.491393      0.490187      0.355712      -.244824E-02   0.00000       0.00000      0.355658    
  0.691816E-03   3.03796      0.501868      0.838800      0.483453      0.833844      0.184149E-01  0.495525E-02   1.31730      0.484662      0.483355      0.350542      -.120866E-02   0.00000       0.00000      0.350489    
  0.758561E-03   3.07727      0.497731      0.827275      0.477979      0.821889      0.197519E-01  0.538581E-02   1.29987      0.477962      0.476550      0.345390      0.168274E-04   0.00000       0.00000      0.345339    
  0.831745E-03   3.11195      0.493744      0.815881      0.472538      0.810018      0.212057E-01  0.586314E-02   1.28256      0.471322      0.469793      0.340274      0.121590E-02   0.00000       0.00000      0.340225    
  0.911989E-03   3.14286      0.489896      0.804605      0.467124      0.798218      0.227726E-01  0.638696E-02   1.26534      0.464732      0.463078      0.335188      0.239164E-02   0.00000       0.00000      0.335140    
  0.999975E-03   3.17145      0.486137      0.793401      0.461726      0.786460      0.244105E-01  0.694017E-02   1.24819      0.458173      0.456387      0.330120      0.355289E-02   0.00000       0.00000      0.330074    
  0.109645E-02   3.19489      0.482597      0.782371      0.456365      0.774799      0.262320E-01  0.757139E-02   1.23116      0.451685      0.449750      0.325094      0.467928E-02   0.00000       0.00000      0.325049    
  0.120223E-02   3.21599      0.479172      0.771428      0.451019      0.763182      0.281527E-01  0.824593E-02   1.21420      0.445231      0.443138      0.320086      0.578820E-02   0.00000       0.00000      0.320044    
  0.131822E-02   3.23431      0.475883      0.760588      0.445692      0.751616      0.301909E-01  0.897187E-02   1.19731      0.438815      0.436555      0.315100      0.687638E-02   0.00000       0.00000      0.315060    
  0.144540E-02   3.24850      0.472827      0.749915      0.440390      0.740123      0.324372E-01  0.979160E-02   1.18051      0.432459      0.430013      0.310147      0.793029E-02   0.00000       0.00000      0.310110    
  0.158485E-02   3.26082      0.469886      0.739322      0.435098      0.728663      0.347883E-01  0.106596E-01   1.16376      0.426130      0.423489      0.305209      0.896762E-02   0.00000       0.00000      0.305174    
  0.173775E-02   3.26981      0.467161      0.728878      0.429823      0.717258      0.373381E-01  0.116201E-01   1.14708      0.419849      0.416994      0.300295      0.997415E-02   0.00000       0.00000      0.300264    
  0.190540E-02   3.27595      0.464647      0.718571      0.424559      0.705895      0.400880E-01  0.126765E-01   1.13045      0.413608      0.410522      0.295401      0.109513E-01   0.00000       0.00000      0.295373    
  0.208923E-02   3.28040      0.462263      0.708348      0.419301      0.694556      0.429614E-01  0.137925E-01   1.11386      0.407391      0.404062      0.290518      0.119105E-01   0.00000       0.00000      0.290494    
  0.229079E-02   3.28112      0.460197      0.698325      0.414051      0.683263      0.461458E-01  0.150625E-01   1.09731      0.401225      0.397626      0.285658      0.128263E-01   0.00000       0.00000      0.285637    
