After minimisation    1423.55  1145     1.243

  Partial chi2s 
Dataset    1    451.64(-13.05)   377  HERA1+2 NCep 920                                
Dataset    2     74.77( -2.88)    70  HERA1+2 NCep 820                                
Dataset    3    236.00(-10.90)   254  HERA1+2 NCep 575                                
Dataset    4    232.72(-10.98)   204  HERA1+2 NCep 460                                
Dataset    5    231.12( -7.43)   159  HERA1+2 NCem                                    
Dataset    6     42.78( +0.03)    39  HERA1+2 CCep                                    
Dataset    7     59.68( -3.61)    42  HERA1+2 CCem                                    

 Correlated Chi2    143.66357677006238     
 Log penalty Chi2   -48.820661796132406     
 Systematic shifts          268
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                         -0.3113   +/-   0.9398        :N:M:D
    2  sysHZComb1002                         -0.4679   +/-   0.9372        :N:M:D
    3  sysHZComb1003                          1.3216   +/-   0.5662        :N:M:D
    4  sysHZComb1004                          0.8153   +/-   0.6420        :N:M:D
    5  sysHZComb1005                         -1.5831   +/-   0.7722        :N:M:D
    6  sysHZComb1006                          1.0107   +/-   0.8739        :N:M:D
    7  sysHZComb1007                          0.2120   +/-   0.9984        :N:M:D
    8  sysHZComb1008                          0.1459   +/-   0.9984        :N:M:D
    9  sysHZComb1009                          0.0408   +/-   0.9019        :N:M:D
   10  sysHZComb1010                         -0.3830   +/-   0.9948        :N:M:D
   11  sysHZComb1011                         -0.3738   +/-   0.9713        :N:M:D
   12  sysHZComb1012                          0.6916   +/-   0.9756        :N:M:D
   13  sysHZComb1013                         -0.3755   +/-   0.9654        :N:M:D
   14  sysHZComb1014                         -0.1729   +/-   0.9890        :N:M:D
   15  sysHZComb1015                         -0.1084   +/-   0.9661        :N:M:D
   16  sysHZComb1016                         -0.3160   +/-   0.9764        :N:M:D
   17  sysHZComb1017                         -0.8049   +/-   0.9740        :N:M:D
   18  sysHZComb1018                          0.1367   +/-   0.8261        :N:M:D
   19  sysHZComb1019                         -0.5089   +/-   0.9844        :N:M:D
   20  sysHZComb1020                         -0.6803   +/-   0.9825        :N:M:D
   21  sysHZComb1021                          0.0194   +/-   0.9774        :N:M:D
   22  sysHZComb1022                         -0.2546   +/-   0.9721        :N:M:D
   23  sysHZComb1023                         -0.1604   +/-   0.9541        :N:M:D
   24  sysHZComb1024                         -0.2584   +/-   0.9895        :N:M:D
   25  sysHZComb1025                          0.0732   +/-   0.9939        :N:M:D
   26  sysHZComb1026                         -0.8736   +/-   0.9253        :N:M:D
   27  sysHZComb1027                         -0.8955   +/-   0.9581        :N:M:D
   28  sysHZComb1028                          0.7261   +/-   0.9781        :N:M:D
   29  sysHZComb1029                          0.1512   +/-   0.9264        :N:M:D
   30  sysHZComb1030                         -0.1797   +/-   0.9558        :N:M:D
   31  sysHZComb1031                         -0.8982   +/-   0.8508        :N:M:D
   32  sysHZComb1032                          0.0855   +/-   0.9696        :N:M:D
   33  sysHZComb1033                          0.3937   +/-   0.9730        :N:M:D
