   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  0.691483      0.574204      0.786139      0.567811      0.782660      0.639307E-02  0.347890E-02   1.35047      0.567811      0.496532      0.286127       0.00000       0.00000       0.00000      0.286127    
  0.109648E-03  0.701133      0.567946      0.774591      0.561106      0.770870      0.683936E-02  0.372132E-02   1.33198      0.561106      0.488440      0.282430       0.00000       0.00000       0.00000      0.282430    
  0.120226E-03  0.711069      0.561774      0.763186      0.554458      0.759206      0.731520E-02  0.397984E-02   1.31366      0.554458      0.480429      0.278777       0.00000       0.00000       0.00000      0.278777    
  0.131825E-03  0.721320      0.555682      0.751924      0.547856      0.747665      0.782582E-02  0.425916E-02   1.29552      0.547856      0.472497      0.275168       0.00000       0.00000       0.00000      0.275168    
  0.144543E-03  0.731888      0.549673      0.740806      0.541302      0.736247      0.837079E-02  0.455838E-02   1.27755      0.541302      0.464646      0.271602       0.00000       0.00000       0.00000      0.271602    
  0.158489E-03  0.742820      0.543743      0.729838      0.534789      0.724960      0.895447E-02  0.487796E-02   1.25975      0.534789      0.456882      0.268077       0.00000       0.00000       0.00000      0.268077    
  0.173779E-03  0.754110      0.537895      0.719019      0.528319      0.713801      0.957635E-02  0.521778E-02   1.24212      0.528319      0.449207      0.264594       0.00000       0.00000       0.00000      0.264594    
  0.190545E-03  0.765804      0.532120      0.708355      0.521878      0.702774      0.102419E-01  0.558147E-02   1.22465      0.521878      0.441619      0.261155       0.00000       0.00000       0.00000      0.261155    
  0.208928E-03  0.777898      0.526417      0.697846      0.515466      0.691878      0.109507E-01  0.596837E-02   1.20734      0.515466      0.434119      0.257759       0.00000       0.00000       0.00000      0.257759    
  0.229085E-03  0.790441      0.520787      0.687499      0.509080      0.681115      0.117072E-01  0.638408E-02   1.19019      0.509080      0.426713      0.254403       0.00000       0.00000       0.00000      0.254403    
  0.251186E-03  0.803435      0.515230      0.677316      0.502720      0.670485      0.125102E-01  0.683064E-02   1.17320      0.502720      0.419401      0.251084       0.00000       0.00000       0.00000      0.251084    
  0.275420E-03  0.816921      0.509741      0.667299      0.496373      0.659993      0.133685E-01  0.730613E-02   1.15637      0.496373      0.412190      0.247803       0.00000       0.00000       0.00000      0.247803    
  0.301992E-03  0.830915      0.504316      0.657448      0.490029      0.649642      0.142865E-01  0.780645E-02   1.13967      0.490029      0.405080      0.244561       0.00000       0.00000       0.00000      0.244561    
  0.331127E-03  0.845443      0.498957      0.647774      0.483691      0.639433      0.152661E-01  0.834089E-02   1.12312      0.483691      0.398075      0.241357       0.00000       0.00000       0.00000      0.241357    
  0.363073E-03  0.860543      0.493665      0.638288      0.477355      0.629367      0.163105E-01  0.892105E-02   1.10672      0.477355      0.391176      0.238190       0.00000       0.00000       0.00000      0.238190    
  0.398101E-03  0.876223      0.488439      0.628989      0.471017      0.619446      0.174223E-01  0.954254E-02   1.09046      0.471017      0.384386      0.235060       0.00000       0.00000       0.00000      0.235060    
  0.436509E-03  0.892534      0.483272      0.619880      0.464660      0.609678      0.186114E-01  0.102019E-01   1.07434      0.464660      0.377714      0.231964       0.00000       0.00000       0.00000      0.231964    
  0.478622E-03  0.909473      0.478165      0.610962      0.458289      0.600062      0.198768E-01  0.109009E-01   1.05835      0.458289      0.371159      0.228902       0.00000       0.00000       0.00000      0.228902    
  0.524798E-03  0.927104      0.473123      0.602253      0.451896      0.590603      0.212264E-01  0.116496E-01   1.04250      0.451896      0.364729      0.225875       0.00000       0.00000       0.00000      0.225875    
  0.575429E-03  0.945418      0.468143      0.593750      0.445484      0.581303      0.226591E-01  0.124472E-01   1.02679      0.445484      0.358422      0.222881       0.00000       0.00000       0.00000      0.222881    
  0.630945E-03  0.964477      0.463228      0.585466      0.439041      0.572167      0.241868E-01  0.132989E-01   1.01121      0.439041      0.352248      0.219919       0.00000       0.00000       0.00000      0.219919    
  0.691816E-03  0.984277      0.458375      0.577399      0.432566      0.563196      0.258084E-01  0.142038E-01  0.995762      0.432566      0.346205      0.216990       0.00000       0.00000       0.00000      0.216990    
  0.758561E-03   1.00487      0.453590      0.569563      0.426053      0.554392      0.275367E-01  0.151705E-01  0.980446      0.426053      0.340302      0.214090       0.00000       0.00000       0.00000      0.214090    
  0.831745E-03   1.02627      0.448874      0.561956      0.419500      0.545756      0.293735E-01  0.162006E-01  0.965256      0.419500      0.334538      0.211218       0.00000       0.00000       0.00000      0.211218    
  0.911989E-03   1.04850      0.444233      0.554591      0.412906      0.537293      0.313271E-01  0.172983E-01  0.950198      0.412906      0.328919      0.208374       0.00000       0.00000       0.00000      0.208374    
  0.999975E-03   1.07160      0.439668      0.547473      0.406267      0.529007      0.334013E-01  0.184657E-01  0.935274      0.406267      0.323449      0.205558       0.00000       0.00000       0.00000      0.205558    
  0.109645E-02   1.09557      0.435187      0.540605      0.399584      0.520898      0.356031E-01  0.197073E-01  0.920482      0.399584      0.318129      0.202769       0.00000       0.00000       0.00000      0.202769    
  0.120223E-02   1.12044      0.430795      0.533997      0.392851      0.512967      0.379435E-01  0.210294E-01  0.905819      0.392851      0.312962      0.200005       0.00000       0.00000       0.00000      0.200005    
  0.131822E-02   1.14621      0.426497      0.527649      0.386072      0.505215      0.404245E-01  0.224338E-01  0.891287      0.386072      0.307950      0.197265       0.00000       0.00000       0.00000      0.197265    
  0.144540E-02   1.17293      0.422312      0.521574      0.379249      0.497642      0.430622E-01  0.239323E-01  0.876891      0.379249      0.303096      0.194545       0.00000       0.00000       0.00000      0.194545    
  0.158485E-02   1.20058      0.418238      0.515771      0.372383      0.490248      0.458553E-01  0.255237E-01  0.862631      0.372383      0.298401      0.191846       0.00000       0.00000       0.00000      0.191846    
  0.173775E-02   1.22917      0.414300      0.510252      0.365481      0.483034      0.488192E-01  0.272171E-01  0.848516      0.365481      0.293867      0.189168       0.00000       0.00000       0.00000      0.189168    
  0.190540E-02   1.25872      0.410494      0.505014      0.358542      0.476003      0.519520E-01  0.290114E-01  0.834545      0.358542      0.289492      0.186511       0.00000       0.00000       0.00000      0.186511    
  0.208923E-02   1.28919      0.406856      0.500063      0.351583      0.469145      0.552736E-01  0.309175E-01  0.820728      0.351583      0.285276      0.183869       0.00000       0.00000       0.00000      0.183869    
  0.229079E-02   1.32061      0.403384      0.495396      0.344601      0.462463      0.587827E-01  0.329333E-01  0.807064      0.344601      0.281220      0.181242       0.00000       0.00000       0.00000      0.181242    
  0.251180E-02   1.35292      0.400113      0.491022      0.337614      0.455945      0.624988E-01  0.350773E-01  0.793559      0.337614      0.277317      0.178628       0.00000       0.00000       0.00000      0.178628    
  0.275413E-02   1.38613      0.397045      0.486943      0.330620      0.449588      0.664254E-01  0.373551E-01  0.780207      0.330620      0.273563      0.176025       0.00000       0.00000       0.00000      0.176025    
  0.301984E-02   1.42016      0.394216      0.483158      0.323640      0.443387      0.705751E-01  0.397709E-01  0.767027      0.323640      0.269955      0.173431       0.00000       0.00000       0.00000      0.173431    
  0.331118E-02   1.45500      0.391646      0.479666      0.316690      0.437340      0.749559E-01  0.423268E-01  0.754030      0.316690      0.266494      0.170846       0.00000       0.00000       0.00000      0.170846    
  0.363064E-02   1.49058      0.389355      0.476468      0.309780      0.431437      0.795758E-01  0.450310E-01  0.741217      0.309780      0.263171      0.168266       0.00000       0.00000       0.00000      0.168266    
  0.398091E-02   1.52680      0.387381      0.473562      0.302931      0.425664      0.844505E-01  0.478971E-01  0.728595      0.302931      0.259977      0.165688       0.00000       0.00000       0.00000      0.165688    
  0.436498E-02   1.56364      0.385730      0.470945      0.296148      0.420020      0.895823E-01  0.509257E-01  0.716168      0.296148      0.256908      0.163111       0.00000       0.00000       0.00000      0.163111    
  0.478610E-02   1.60088      0.384461      0.468614      0.289466      0.414482      0.949951E-01  0.541313E-01  0.703949      0.289466      0.253950      0.160532       0.00000       0.00000       0.00000      0.160532    
  0.524785E-02   1.63854      0.383569      0.466568      0.282882      0.409055      0.100687      0.575129E-01  0.691937      0.282882      0.251104      0.157950       0.00000       0.00000       0.00000      0.157950    
  0.575415E-02   1.67632      0.383119      0.464799      0.276438      0.403709      0.106682      0.610901E-01  0.680147      0.276438      0.248350      0.155359       0.00000       0.00000       0.00000      0.155359    
  0.630929E-02   1.71426      0.383106      0.463310      0.270129      0.398449      0.112977      0.648609E-01  0.668578      0.270129      0.245689      0.152760       0.00000       0.00000       0.00000      0.152760    
