&StatCorr

  ! Matrix of systematic uncertainties correlation for LHCb-PAPER-2015-049
  ! Numbers from http://lhcbproject.web.cern.ch/lhcbproject/Publications/LHCbProjectPublic/Directory_LHCb-PAPER-2015-049/Table_4.pdf

   Name1 = 'LHCb 7TeV Zmm Boson Rapidity'
   Name2 = 'LHCb 7TeV Zmm Boson Rapidity'

   NIdColumns1 = 2
   NIdColumns2 = 2

   IdColumns1 = 'y1','y2'
   IdColumns2 = 'y1','y2'

   NCorr = 152

  ! Matrix Type:
  !   'Statistical correlations':     Given are correlation factors that need to be applied to statistical errors
  !                                   needs 'stat' column in data files
  !   'Systematic correlations' :     Given are correlation factors that need to be applied to systematic errors
  !                                   needs 'uncor' column in data files
  !   'Systematic covariance matrix': Given is a systematic covariance matrix
  !
  !   'Full covariance matrix':       Given is a full covariance matrix including stat and syst parts

   MatrixType = 'Systematic correlations'
&End
2.000 2.125	2.000 2.125	1.00
2.125 2.250     2.000 2.125	0.18
2.250 2.375     2.000 2.125	0.14
2.375 2.500     2.000 2.125	0.14
2.500 2.625     2.000 2.125	0.13
2.625 2.750     2.000 2.125	0.12
2.750 2.875     2.000 2.125	0.11
2.875 3.000     2.000 2.125	0.10
3.000 3.125     2.000 2.125	0.09
3.125 3.250     2.000 2.125	0.08
3.250 3.375     2.000 2.125	0.06
3.375 3.500     2.000 2.125	0.05
3.500 3.625     2.000 2.125	0.04
3.625 3.750     2.000 2.125	0.03
3.750 3.875     2.000 2.125	0.02
3.875 4.000     2.000 2.125	0.02
4.000 4.250     2.000 2.125	0.01
2.125 2.250	2.125 2.250	1.00
2.250 2.375	2.125 2.250	0.19
2.375 2.500	2.125 2.250	0.19
2.500 2.625	2.125 2.250	0.18
2.625 2.750	2.125 2.250	0.16
2.750 2.875	2.125 2.250	0.15
2.875 3.000	2.125 2.250	0.13
3.000 3.125	2.125 2.250	0.12
3.125 3.250	2.125 2.250	0.10
3.250 3.375	2.125 2.250	0.08
3.375 3.500	2.125 2.250	0.06
3.500 3.625	2.125 2.250	0.05
3.625 3.750	2.125 2.250	0.04
3.750 3.875	2.125 2.250	0.03
3.875 4.000	2.125 2.250	0.02
4.000 4.250	2.125 2.250	0.01
2.250 2.375	2.250 2.375	1.00
2.375 2.500	2.250 2.375	0.18
2.500 2.625	2.250 2.375	0.16
2.625 2.750	2.250 2.375	0.15
2.750 2.875	2.250 2.375	0.14
2.875 3.000	2.250 2.375	0.13
3.000 3.125	2.250 2.375	0.12
3.125 3.250	2.250 2.375	0.10
3.250 3.375	2.250 2.375	0.08
3.375 3.500	2.250 2.375	0.06
3.500 3.625	2.250 2.375	0.05
3.625 3.750	2.250 2.375	0.03
3.750 3.875	2.250 2.375	0.02
3.875 4.000	2.250 2.375	0.02
4.000 4.250	2.250 2.375	0.01
2.375 2.500	2.375 2.500	1.00
2.500 2.625	2.375 2.500	0.19
2.625 2.750	2.375 2.500	0.18
2.750 2.875	2.375 2.500	0.17
2.875 3.000	2.375 2.500	0.16
3.000 3.125	2.375 2.500	0.14
3.125 3.250	2.375 2.500	0.12
3.250 3.375	2.375 2.500	0.11
3.375 3.500	2.375 2.500	0.08
3.500 3.625	2.375 2.500	0.06
3.625 3.750	2.375 2.500	0.04	
3.750 3.875	2.375 2.500	0.03
3.875 4.000	2.375 2.500	0.02
4.000 4.250	2.375 2.500	0.01
2.500 2.625	2.500 2.625	1.00
2.625 2.750	2.500 2.625	0.18
2.750 2.875	2.500 2.625	0.17
2.875 3.000	2.500 2.625	0.16
3.000 3.125	2.500 2.625	0.15
3.125 3.250	2.500 2.625	0.13
3.250 3.375	2.500 2.625	0.11
3.375 3.500	2.500 2.625	0.09
3.500 3.625	2.500 2.625	0.07
3.625 3.750	2.500 2.625	0.05
3.750 3.875	2.500 2.625	0.03
3.875 4.000	2.500 2.625	0.02
4.000 4.250	2.500 2.625	0.01
2.625 2.750	2.625 2.750	1.00
2.750 2.875	2.625 2.750	0.18
2.875 3.000	2.625 2.750	0.17
3.000 3.125	2.625 2.750	0.15
3.125 3.250	2.625 2.750	0.14
3.250 3.375	2.625 2.750	0.12
3.375 3.500	2.625 2.750	0.09	
3.500 3.625	2.625 2.750	0.08
3.625 3.750	2.625 2.750	0.06
3.750 3.875	2.625 2.750	0.04
3.875 4.000	2.625 2.750	0.02
4.000 4.250	2.625 2.750	0.01
2.750 2.875	2.750 2.875	1.00
2.875 3.000	2.750 2.875	0.17
3.000 3.125	2.750 2.875	0.16
3.125 3.250	2.750 2.875	0.14
3.250 3.375	2.750 2.875	0.12
3.375 3.500	2.750 2.875	0.10
3.500 3.625	2.750 2.875	0.08
3.625 3.750	2.750 2.875	0.06
3.750 3.875	2.750 2.875	0.04
3.875 4.000	2.750 2.875	0.02
4.000 4.250	2.750 2.875	0.01
2.875 3.000	2.875 3.000	1.00
3.000 3.125	2.875 3.000	0.16
3.125 3.250	2.875 3.000	0.14
3.250 3.375	2.875 3.000	0.13
3.375 3.500	2.875 3.000	0.10
3.500 3.625	2.875 3.000	0.09
3.625 3.750	2.875 3.000	0.07
3.750 3.875	2.875 3.000	0.05
3.875 4.000	2.875 3.000	0.03
4.000 4.250	2.875 3.000	0.02
3.000 3.125	3.000 3.125	1.00
3.125 3.250	3.000 3.125	0.14
3.250 3.375	3.000 3.125	0.13
3.375 3.500	3.000 3.125	0.11
3.500 3.625	3.000 3.125	0.09
3.625 3.750	3.000 3.125	0.07
3.750 3.875	3.000 3.125	0.05
3.875 4.000	3.000 3.125	0.03
4.000 4.250	3.000 3.125	0.02
3.125 3.250	3.125 3.250	1.00	
3.250 3.375	3.125 3.250	0.13
3.375 3.500	3.125 3.250	0.11
3.500 3.625	3.125 3.250	0.10
3.625 3.750	3.125 3.250	0.08
3.750 3.875	3.125 3.250	0.06
3.875 4.000	3.125 3.250	0.04
4.000 4.250	3.125 3.250	0.02
3.250 3.375	3.250 3.375	1.00
3.375 3.500	3.250 3.375	0.11
3.500 3.625	3.250 3.375	0.10
3.625 3.750	3.250 3.375	0.09
3.750 3.875	3.250 3.375	0.06
3.875 4.000	3.250 3.375	0.04
4.000 4.250	3.250 3.375	0.03
3.375 3.500	3.375 3.500	1.00
3.500 3.625	3.375 3.500	0.10
3.625 3.750	3.375 3.500	0.08
3.750 3.875	3.375 3.500	0.06
3.875 4.000	3.375 3.500	0.04
4.000 4.250	3.375 3.500	0.03
3.500 3.625	3.500 3.625	1.00
3.625 3.750	3.500 3.625	0.08
3.750 3.875	3.500 3.625	0.06
3.875 4.000	3.500 3.625	0.04
4.000 4.250	3.500 3.625	0.03
3.625 3.750	3.625 3.750	1.00
3.750 3.875	3.625 3.750	0.06
3.875 4.000	3.625 3.750	0.04
4.000 4.250	3.625 3.750	0.03
3.750 3.875	3.750 3.875	1.00
3.875 4.000	3.750 3.875	0.03
4.000 4.250	3.750 3.875	0.02
3.875 4.000	3.875 4.000	1.00
4.000 4.250	3.875 4.000	0.02
4.000 4.250	4.000 4.250	1.00
