   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03  -1.64809      0.523807      0.867836      0.520627      0.867359      0.317981E-02  0.477586E-03   1.38799      0.520627      0.520415      0.346943       0.00000       0.00000       0.00000      0.346943    
  0.109648E-03  -1.47099      0.517933      0.857662      0.514513      0.857139      0.342050E-02  0.523690E-03   1.37165      0.514513      0.514283      0.342856       0.00000       0.00000       0.00000      0.342856    
  0.120226E-03  -1.30451      0.512198      0.847674      0.508507      0.847096      0.369135E-02  0.577256E-03   1.35560      0.508507      0.508258      0.338839       0.00000       0.00000       0.00000      0.338839    
  0.131825E-03  -1.14218      0.506521      0.837760      0.502545      0.837126      0.397627E-02  0.634421E-03   1.33967      0.502545      0.502275      0.334850       0.00000       0.00000       0.00000      0.334850    
  0.144543E-03  -.985802      0.500928      0.827954      0.496647      0.827258      0.428134E-02  0.696738E-03   1.32390      0.496647      0.496355      0.330903       0.00000       0.00000       0.00000      0.330903    
  0.158489E-03  -.837186      0.495451      0.818295      0.490833      0.817527      0.461781E-02  0.767343E-03   1.30836      0.490833      0.490516      0.327011       0.00000       0.00000       0.00000      0.327011    
  0.173779E-03  -.692295      0.490033      0.808707      0.485062      0.807864      0.497087E-02  0.842412E-03   1.29293      0.485062      0.484719      0.323146       0.00000       0.00000       0.00000      0.323146    
  0.190545E-03  -.554445      0.484728      0.799257      0.479370      0.798330      0.535790E-02  0.926746E-03   1.27770      0.479370      0.478998      0.319332       0.00000       0.00000       0.00000      0.319332    
  0.208928E-03  -.421859      0.479515      0.789914      0.473740      0.788894      0.577526E-02  0.101962E-02   1.26263      0.473740      0.473337      0.315558       0.00000       0.00000       0.00000      0.315558    
  0.229085E-03  -.292683      0.474362      0.780641      0.468150      0.779523      0.621245E-02  0.111810E-02   1.24767      0.468150      0.467714      0.311809       0.00000       0.00000       0.00000      0.311809    
  0.251186E-03  -.171325      0.469357      0.771534      0.462654      0.770301      0.670337E-02  0.123221E-02   1.23296      0.462654      0.462181      0.308121       0.00000       0.00000       0.00000      0.308121    
  0.275420E-03  -.531877E-01  0.464419      0.762498      0.457199      0.761143      0.722071E-02  0.135427E-02   1.21834      0.457199      0.456686      0.304457       0.00000       0.00000       0.00000      0.304457    
  0.301992E-03  0.606193E-01  0.459571      0.753557      0.451797      0.752070      0.777356E-02  0.148700E-02   1.20387      0.451797      0.451242      0.300828       0.00000       0.00000       0.00000      0.300828    
  0.331127E-03  0.168517      0.454855      0.744753      0.446471      0.743115      0.838424E-02  0.163768E-02   1.18959      0.446471      0.445869      0.297246       0.00000       0.00000       0.00000      0.297246    
  0.363073E-03  0.273638      0.450207      0.736014      0.441181      0.734216      0.902505E-02  0.179791E-02   1.17540      0.441181      0.440530      0.293687       0.00000       0.00000       0.00000      0.293687    
  0.398101E-03  0.373606      0.445685      0.727399      0.435959      0.725422      0.972603E-02  0.197745E-02   1.16138      0.435959      0.435253      0.290169       0.00000       0.00000       0.00000      0.290169    
  0.436509E-03  0.469545      0.441275      0.718886      0.430792      0.716710      0.104831E-01  0.217558E-02   1.14750      0.430792      0.430026      0.286684       0.00000       0.00000       0.00000      0.286684    
  0.478622E-03  0.562946      0.436934      0.710436      0.425658      0.708050      0.112762E-01  0.238568E-02   1.13371      0.425658      0.424830      0.283220       0.00000       0.00000       0.00000      0.283220    
  0.524798E-03  0.650604      0.432768      0.702137      0.420603      0.699509      0.121647E-01  0.262845E-02   1.12011      0.420603      0.419705      0.279803       0.00000       0.00000       0.00000      0.279803    
  0.575429E-03  0.735772      0.428686      0.693906      0.415584      0.691018      0.131025E-01  0.288867E-02   1.10660      0.415584      0.414611      0.276407       0.00000       0.00000       0.00000      0.276407    
  0.630945E-03  0.817796      0.424710      0.685762      0.410608      0.682591      0.141026E-01  0.317093E-02   1.09320      0.410608      0.409555      0.273037       0.00000       0.00000       0.00000      0.273037    
  0.691816E-03  0.895329      0.420904      0.677748      0.405696      0.674256      0.152088E-01  0.349196E-02   1.07995      0.405696      0.404553      0.269702       0.00000       0.00000       0.00000      0.269702    
  0.758561E-03  0.970794      0.417182      0.669795      0.400813      0.665961      0.163694E-01  0.383331E-02   1.06677      0.400813      0.399577      0.266385       0.00000       0.00000       0.00000      0.266385    
  0.831745E-03   1.04249      0.413620      0.661956      0.395984      0.657741      0.176361E-01  0.421472E-02   1.05373      0.395984      0.394645      0.263097       0.00000       0.00000       0.00000      0.263097    
  0.911989E-03   1.11110      0.410205      0.654216      0.391199      0.649580      0.190059E-01  0.463641E-02   1.04078      0.391199      0.389748      0.259832       0.00000       0.00000       0.00000      0.259832    
  0.999975E-03   1.17782      0.406882      0.646537      0.386441      0.641454      0.204406E-01  0.508357E-02   1.02790      0.386441      0.384872      0.256582       0.00000       0.00000       0.00000      0.256582    
  0.109645E-02   1.24032      0.403787      0.639002      0.381743      0.633403      0.220436E-01  0.559861E-02   1.01515      0.381743      0.380042      0.253361       0.00000       0.00000       0.00000      0.253361    
  0.120223E-02   1.30088      0.400810      0.631535      0.377072      0.625384      0.237380E-01  0.615174E-02   1.00246      0.377072      0.375230      0.250153       0.00000       0.00000       0.00000      0.250153    
  0.131822E-02   1.35915      0.397974      0.624151      0.372433      0.617401      0.255406E-01  0.675005E-02  0.989835      0.372433      0.370441      0.246961       0.00000       0.00000       0.00000      0.246961    
  0.144540E-02   1.41399      0.395377      0.616899      0.367841      0.609468      0.275360E-01  0.743144E-02  0.977309      0.367841      0.365681      0.243787       0.00000       0.00000       0.00000      0.243787    
  0.158485E-02   1.46726      0.392897      0.609709      0.363269      0.601554      0.296288E-01  0.815580E-02  0.964822      0.363269      0.360932      0.240621       0.00000       0.00000       0.00000      0.240621    
  0.173775E-02   1.51775      0.390639      0.602634      0.358732      0.593671      0.319065E-01  0.896256E-02  0.952404      0.358732      0.356203      0.237469       0.00000       0.00000       0.00000      0.237469    
  0.190540E-02   1.56585      0.388596      0.595664      0.354225      0.585808      0.343716E-01  0.985569E-02  0.940033      0.354225      0.351485      0.234323       0.00000       0.00000       0.00000      0.234323    
  0.208923E-02   1.61250      0.386686      0.588758      0.349734      0.577956      0.369523E-01  0.108025E-01  0.927689      0.349734      0.346773      0.231182       0.00000       0.00000       0.00000      0.231182    
  0.229079E-02   1.65598      0.385102      0.582004      0.345277      0.570115      0.398256E-01  0.118888E-01  0.915392      0.345277      0.342069      0.228046       0.00000       0.00000       0.00000      0.228046    
  0.251180E-02   1.69790      0.383699      0.575330      0.340834      0.562273      0.428651E-01  0.130570E-01  0.903107      0.340834      0.337364      0.224909       0.00000       0.00000       0.00000      0.224909    
  0.275413E-02   1.73811      0.382496      0.568745      0.336406      0.554428      0.460900E-01  0.143167E-01  0.890834      0.336406      0.332657      0.221771       0.00000       0.00000       0.00000      0.221771    
  0.301984E-02   1.77557      0.381656      0.562314      0.331998      0.546563      0.496585E-01  0.157518E-01  0.878561      0.331998      0.327938      0.218625       0.00000       0.00000       0.00000      0.218625    
  0.331118E-02   1.81179      0.380994      0.555958      0.327596      0.538682      0.533977E-01  0.172761E-01  0.866278      0.327596      0.323209      0.215473       0.00000       0.00000       0.00000      0.215473    
  0.363064E-02   1.84584      0.380656      0.549736      0.323204      0.530769      0.574522E-01  0.189670E-01  0.853973      0.323204      0.318461      0.212307       0.00000       0.00000       0.00000      0.212307    
