   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   10.1512       1.34414       1.82083       1.33782       1.81901      0.631777E-02  0.181536E-02   3.15683      0.993287      0.992963      0.826171      0.344533       0.00000       0.00000      0.826052    
  0.109648E-03   10.1490       1.32419       1.79327       1.31744       1.79132      0.674573E-02  0.194237E-02   3.10877      0.978478      0.978127      0.813317      0.338965       0.00000       0.00000      0.813196    
  0.120226E-03   10.1375       1.30427       1.76576       1.29707       1.76368      0.720312E-02  0.207934E-02   3.06075      0.963705      0.963324      0.800477      0.333367       0.00000       0.00000      0.800353    
  0.131825E-03   10.1171       1.28441       1.73832       1.27672       1.73610      0.769200E-02  0.222676E-02   3.01282      0.948977      0.948565      0.787659      0.327746       0.00000       0.00000      0.787533    
  0.144543E-03   10.0882       1.26462       1.71098       1.25641       1.70859      0.821358E-02  0.238501E-02   2.96500      0.934299      0.933853      0.774868      0.322107       0.00000       0.00000      0.774741    
  0.158489E-03   10.0512       1.24491       1.68374       1.23614       1.68119      0.877123E-02  0.255557E-02   2.91733      0.919682      0.919199      0.762116      0.316460       0.00000       0.00000      0.761987    
  0.173779E-03   10.0067       1.22531       1.65662       1.21594       1.65389      0.936708E-02  0.273929E-02   2.86983      0.905131      0.904608      0.749407      0.310810       0.00000       0.00000      0.749278    
  0.190545E-03   9.95479       1.20582       1.62964       1.19581       1.62670      0.100031E-01  0.293696E-02   2.82252      0.890652      0.890085      0.736749      0.305163       0.00000       0.00000      0.736618    
  0.208928E-03   9.89615       1.18646       1.60281       1.17578       1.59966      0.106834E-01  0.315027E-02   2.77543      0.876252      0.875639      0.724148      0.299526       0.00000       0.00000      0.724016    
  0.229085E-03   9.83098       1.16725       1.57613       1.15584       1.57275      0.114098E-01  0.338008E-02   2.72859      0.861936      0.861272      0.711610      0.293903       0.00000       0.00000      0.711477    
  0.251186E-03   9.75967       1.14819       1.54963       1.13601       1.54600      0.121857E-01  0.362792E-02   2.68201      0.847709      0.846991      0.699140      0.288299       0.00000       0.00000      0.699007    
  0.275420E-03   9.68262       1.12931       1.52331       1.11630       1.51941      0.130154E-01  0.389554E-02   2.63571      0.833578      0.832801      0.686743      0.282719       0.00000       0.00000      0.686610    
  0.301992E-03   9.60004       1.11061       1.49718       1.09671       1.49300      0.139010E-01  0.418389E-02   2.58971      0.819544      0.818704      0.674424      0.277167       0.00000       0.00000      0.674291    
  0.331127E-03   9.51237       1.09211       1.47126       1.07726       1.46676      0.148476E-01  0.449525E-02   2.54402      0.805615      0.804706      0.662188      0.271649       0.00000       0.00000      0.662055    
  0.363073E-03   9.41988       1.07382       1.44555       1.05796       1.44072      0.158592E-01  0.483153E-02   2.49867      0.791792      0.790810      0.650037      0.266166       0.00000       0.00000      0.649905    
  0.398101E-03   9.32279       1.05574       1.42006       1.03880       1.41486      0.169389E-01  0.519437E-02   2.45366      0.778078      0.777017      0.637976      0.260723       0.00000       0.00000      0.637845    
  0.436509E-03   9.22152       1.03790       1.39480       1.01980       1.38921      0.180936E-01  0.558666E-02   2.40901      0.764479      0.763332      0.626009      0.255323       0.00000       0.00000      0.625879    
  0.478622E-03   9.11625       1.02029       1.36978       1.00096       1.36377      0.193267E-01  0.601017E-02   2.36473      0.750995      0.749757      0.614136      0.249968       0.00000       0.00000      0.614009    
  0.524798E-03   9.00725       1.00293       1.34500      0.982291       1.33853      0.206434E-01  0.646775E-02   2.32082      0.737630      0.736293      0.602363      0.244661       0.00000       0.00000      0.602237    
  0.575429E-03   8.89485      0.985842       1.32047      0.963791       1.31351      0.220510E-01  0.696287E-02   2.27730      0.724386      0.722942      0.590690      0.239405       0.00000       0.00000      0.590567    
  0.630945E-03   8.77918      0.969018       1.29620      0.945464       1.28870      0.235533E-01  0.749739E-02   2.23417      0.711263      0.709705      0.579120      0.234201       0.00000       0.00000      0.578999    
  0.691816E-03   8.66058      0.952476       1.27220      0.927317       1.26412      0.251587E-01  0.807581E-02   2.19144      0.698265      0.696583      0.567653      0.229052       0.00000       0.00000      0.567536    
  0.758561E-03   8.53923      0.936224       1.24846      0.909350       1.23976      0.268737E-01  0.870158E-02   2.14911      0.685392      0.683577      0.556293      0.223958       0.00000       0.00000      0.556180    
  0.831745E-03   8.41532      0.920270       1.22499      0.891566       1.21562      0.287036E-01  0.937758E-02   2.10718      0.672645      0.670687      0.545039      0.218921       0.00000       0.00000      0.544930    
  0.911989E-03   8.28915      0.904627       1.20181      0.873968       1.19170      0.306595E-01  0.101097E-01   2.06567      0.660025      0.657913      0.533892      0.213942       0.00000       0.00000      0.533787    
  0.999975E-03   8.16083      0.889301       1.17891      0.856554       1.16801      0.327470E-01  0.109013E-01   2.02456      0.647532      0.645255      0.522852      0.209023       0.00000       0.00000      0.522753    
  0.109645E-02   8.03059      0.874303       1.15630      0.839328       1.14454      0.349749E-01  0.117575E-01   1.98387      0.635165      0.632711      0.511920      0.204163       0.00000       0.00000      0.511827    
  0.120223E-02   7.89864      0.859643       1.13397      0.822288       1.12129      0.373550E-01  0.126850E-01   1.94358      0.622925      0.620280      0.501096      0.199363       0.00000       0.00000      0.501009    
  0.131822E-02   7.76510      0.845328       1.11195      0.805435       1.09826      0.398933E-01  0.136872E-01   1.90370      0.610812      0.607962      0.490379      0.194623       0.00000       0.00000      0.490298    
  0.144540E-02   7.63019      0.831370       1.09022      0.788766       1.07545      0.426034E-01  0.147727E-01   1.86421      0.598823      0.595754      0.479768      0.189943       0.00000       0.00000      0.479694    
  0.158485E-02   7.49407      0.817778       1.06880      0.772282       1.05285      0.454957E-01  0.159478E-01   1.82513      0.586958      0.583654      0.469261      0.185324       0.00000       0.00000      0.469196    
  0.173775E-02   7.35684      0.804559       1.04768      0.755980       1.03046      0.485788E-01  0.172178E-01   1.78644      0.575216      0.571660      0.458859      0.180764       0.00000       0.00000      0.458802    
  0.190540E-02   7.21873      0.791727       1.02687      0.739857       1.00828      0.518699E-01  0.185939E-01   1.74813      0.563595      0.559767      0.448559      0.176262       0.00000       0.00000      0.448510    
  0.208923E-02   7.07982      0.779290       1.00638      0.723912      0.986294      0.553781E-01  0.200823E-01   1.71021      0.552092      0.547975      0.438359      0.171819       0.00000       0.00000      0.438319    
  0.229079E-02   6.94026      0.767258      0.986197      0.708141      0.964505      0.591172E-01  0.216918E-01   1.67265      0.540707      0.536279      0.428257      0.167434       0.00000       0.00000      0.428227    
  0.251180E-02   6.80019      0.755643      0.966338      0.692538      0.942903      0.631052E-01  0.234351E-01   1.63544      0.529434      0.524674      0.418250      0.163104       0.00000       0.00000      0.418230    
  0.275413E-02   6.65969      0.744454      0.946801      0.677102      0.921483      0.673512E-01  0.253186E-01   1.59859      0.518273      0.513157      0.408336      0.158830       0.00000       0.00000      0.408326    
  0.301984E-02   6.51892      0.733703      0.927592      0.661827      0.900235      0.718759E-01  0.273570E-01   1.56206      0.507219      0.501723      0.398511      0.154609       0.00000       0.00000      0.398512    
  0.331118E-02   6.37796      0.723403      0.908713      0.646708      0.879151      0.766950E-01  0.295622E-01   1.52586      0.496268      0.490366      0.388773      0.150440       0.00000       0.00000      0.388785    
  0.363064E-02   6.23689      0.713560      0.890167      0.631740      0.858224      0.818205E-01  0.319431E-01   1.48996      0.485419      0.479083      0.379117      0.146321       0.00000       0.00000      0.379141    
  0.398091E-02   6.09584      0.704193      0.871961      0.616915      0.837441      0.872779E-01  0.345195E-01   1.45436      0.474664      0.467866      0.369540      0.142251       0.00000       0.00000      0.369575    
  0.436498E-02   5.95486      0.695309      0.854097      0.602229      0.816795      0.930805E-01  0.373021E-01   1.41902      0.464001      0.456711      0.360037      0.138227       0.00000       0.00000      0.360084    
  0.478610E-02   5.81403      0.686921      0.836580      0.587674      0.796275      0.992467E-01  0.403057E-01   1.38395      0.453426      0.445610      0.350605      0.134249       0.00000       0.00000      0.350664    
  0.524785E-02   5.67343      0.679044      0.819417      0.573243      0.775865      0.105802      0.435519E-01   1.34911      0.442930      0.434556      0.341237      0.130312       0.00000       0.00000      0.341309    
  0.575415E-02   5.53310      0.671687      0.802612      0.558929      0.755560      0.112758      0.470514E-01   1.31449      0.432512      0.423544      0.331931      0.126417       0.00000       0.00000      0.332016    
