   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   83.1531       6.41961       9.15799       6.39923       9.14536      0.203817E-01  0.126237E-01   15.5446       3.42601       3.42970       3.35832       2.97322       2.35734       0.00000       3.35832    
  0.109648E-03   80.0248       6.20978       8.85300       6.18830       8.83971      0.214821E-01  0.132944E-01   15.0280       3.31555       3.31935       3.24943       2.87275       2.27093       0.00000       3.24943    
  0.120226E-03   77.0557       6.00943       8.56190       5.98675       8.54788      0.226842E-01  0.140156E-01   14.5346       3.20999       3.21389       3.14537       2.77676       2.18862       0.00000       3.14537    
  0.131825E-03   74.1474       5.81286       8.27633       5.78893       8.26157      0.239270E-01  0.147625E-01   14.0505       3.10638       3.11039       3.04323       2.68256       2.10794       0.00000       3.04323    
  0.144543E-03   71.3263       5.62170       7.99868       5.59647       7.98314      0.252282E-01  0.155461E-01   13.5796       3.00556       3.00969       2.94385       2.59091       2.02960       0.00000       2.94385    
  0.158489E-03   68.6214       5.43773       7.73158       5.41111       7.71520      0.266161E-01  0.163836E-01   13.1263       2.90846       2.91271       2.84813       2.50265       1.95435       0.00000       2.84813    
  0.173779E-03   65.9736       5.25726       7.46959       5.22921       7.45234      0.280498E-01  0.172478E-01   12.6815       2.81316       2.81753       2.75419       2.41605       1.88062       0.00000       2.75419    
  0.190545E-03   63.4359       5.08346       7.21732       5.05388       7.19916      0.295773E-01  0.181640E-01   12.2530       2.72129       2.72579       2.66363       2.33259       1.80974       0.00000       2.66363    
  0.208928E-03   60.9771       4.91468       6.97240       4.88350       6.95327      0.311837E-01  0.191281E-01   11.8368       2.63201       2.63664       2.57561       2.25149       1.74102       0.00000       2.57561    
  0.229085E-03   58.5696       4.74917       6.73223       4.71632       6.71210      0.328418E-01  0.201235E-01   11.4284       2.54441       2.54916       2.48925       2.17191       1.67369       0.00000       2.48925    
  0.251186E-03   56.2859       4.59126       6.50316       4.55662       6.48196      0.346354E-01  0.211967E-01   11.0386       2.46072       2.46560       2.40674       2.09591       1.60962       0.00000       2.40674    
  0.275420E-03   54.0534       4.43657       6.27877       4.40008       6.25646      0.364924E-01  0.223056E-01   10.6565       2.37866       2.38369       2.32585       2.02141       1.54692       0.00000       2.32585    
