   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   6.04325      0.667149       1.15574      0.658459       1.15331      0.869039E-02  0.243087E-02   1.81177      0.658459      0.657720      0.495590       0.00000       0.00000       0.00000      0.495590    
  0.109648E-03   6.06445      0.657950       1.13891      0.648723       1.13631      0.922700E-02  0.260850E-02   1.78503      0.648723      0.647928      0.488377       0.00000       0.00000       0.00000      0.488377    
  0.120226E-03   6.07796      0.648934       1.12229      0.639116       1.11948      0.981765E-02  0.280754E-02   1.75860      0.639116      0.638259      0.481225       0.00000       0.00000       0.00000      0.481225    
  0.131825E-03   6.08852      0.639998       1.10576      0.629565       1.10274      0.104329E-01  0.301652E-02   1.73231      0.629565      0.628643      0.474100       0.00000       0.00000       0.00000      0.474100    
  0.144543E-03   6.09484      0.631177       1.08935      0.620093       1.08611      0.110836E-01  0.323976E-02   1.70621      0.620093      0.619100      0.467013       0.00000       0.00000       0.00000      0.467013    
  0.158489E-03   6.09573      0.622521       1.07313      0.610733       1.06965      0.117879E-01  0.348508E-02   1.68038      0.610733      0.609663      0.459982       0.00000       0.00000       0.00000      0.459982    
  0.173779E-03   6.09404      0.613949       1.05700      0.601429       1.05326      0.125202E-01  0.374205E-02   1.65469      0.601429      0.600277      0.452980       0.00000       0.00000       0.00000      0.452980    
  0.190545E-03   6.08752      0.605543       1.04105      0.592234       1.03703      0.133094E-01  0.402281E-02   1.62926      0.592234      0.590994      0.446035       0.00000       0.00000       0.00000      0.446035    
  0.208928E-03   6.07747      0.597276       1.02525      0.583128       1.02093      0.141481E-01  0.432472E-02   1.60406      0.583128      0.581792      0.439136       0.00000       0.00000       0.00000      0.439136    
  0.229085E-03   6.06513      0.589098       1.00955      0.574079       1.00491      0.150191E-01  0.464045E-02   1.57899      0.574079      0.572643      0.432268       0.00000       0.00000       0.00000      0.432268    
  0.251186E-03   6.04766      0.581148      0.994094      0.565172      0.989101      0.159759E-01  0.499346E-02   1.55427      0.565172      0.563624      0.425477       0.00000       0.00000       0.00000      0.425477    
  0.275420E-03   6.02813      0.573301      0.978746      0.556328      0.973382      0.169738E-01  0.536472E-02   1.52971      0.556328      0.554662      0.418719       0.00000       0.00000       0.00000      0.418719    
  0.301992E-03   6.00584      0.565595      0.963545      0.547568      0.957785      0.180270E-01  0.576051E-02   1.50535      0.547568      0.545776      0.412009       0.00000       0.00000       0.00000      0.412009    
  0.331127E-03   5.97989      0.558100      0.948564      0.538931      0.942368      0.191682E-01  0.619604E-02   1.48130      0.538931      0.537002      0.405366       0.00000       0.00000       0.00000      0.405366    
  0.363073E-03   5.95224      0.550710      0.933691      0.530356      0.927039      0.203546E-01  0.665222E-02   1.45739      0.530356      0.528281      0.398758       0.00000       0.00000       0.00000      0.398758    
  0.398101E-03   5.92150      0.543526      0.919027      0.521896      0.911877      0.216304E-01  0.714957E-02   1.43377      0.521896      0.519663      0.392214       0.00000       0.00000       0.00000      0.392214    
  0.436509E-03   5.88843      0.536521      0.904540      0.513534      0.896855      0.229875E-01  0.768510E-02   1.41039      0.513534      0.511130      0.385725       0.00000       0.00000       0.00000      0.385725    
  0.478622E-03   5.85389      0.529629      0.890166      0.505233      0.881921      0.243966E-01  0.824512E-02   1.38715      0.505233      0.502650      0.379271       0.00000       0.00000       0.00000      0.379271    
  0.524798E-03   5.81617      0.523021      0.876068      0.497081      0.867199      0.259408E-01  0.886975E-02   1.36428      0.497081      0.494299      0.372900       0.00000       0.00000       0.00000      0.372900    
  0.575429E-03   5.77713      0.516550      0.862101      0.488997      0.852573      0.275530E-01  0.952763E-02   1.34157      0.488997      0.486005      0.366568       0.00000       0.00000       0.00000      0.366568    
