   6464.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   78.5900       6.33173       9.07588       6.31757       9.07073      0.141534E-01  0.515496E-02   15.3883       3.47719       3.47645       3.32133       2.84039       2.27316       0.00000       3.32112    
  0.109648E-03   75.8465       6.13948       8.79497       6.12447       8.78949      0.150127E-01  0.548034E-02   14.9140       3.37486       3.37406       3.22084       2.74961       2.19479       0.00000       3.22063    
  0.120226E-03   73.1764       5.95173       8.52071       5.93581       8.51489      0.159256E-01  0.582828E-02   14.4507       3.27485       3.27399       3.12264       2.66096       2.11846       0.00000       3.12243    
  0.131825E-03   70.5784       5.76844       8.25306       5.75155       8.24686      0.168915E-01  0.619803E-02   13.9984       3.17713       3.17621       3.02671       2.57442       2.04414       0.00000       3.02651    
  0.144543E-03   68.0512       5.58955       7.99190       5.57164       7.98531      0.179145E-01  0.659160E-02   13.5570       3.08168       3.08069       2.93303       2.48996       1.97180       0.00000       2.93283    
  0.158489E-03   65.5938       5.41501       7.73716       5.39601       7.73014      0.189994E-01  0.701167E-02   13.1262       2.98846       2.98739       2.84156       2.40755       1.90139       0.00000       2.84136    
  0.173779E-03   63.2047       5.24475       7.48872       5.22460       7.48126      0.201503E-01  0.746025E-02   12.7059       2.89743       2.89629       2.75227       2.32717       1.83289       0.00000       2.75207    
  0.190545E-03   60.8827       5.07873       7.24650       5.05736       7.23856      0.213680E-01  0.793731E-02   12.2959       2.80859       2.80736       2.66514       2.24878       1.76627       0.00000       2.66493    
  0.208928E-03   58.6267       4.91689       7.01042       4.89423       7.00197      0.226573E-01  0.844542E-02   11.8962       2.72188       2.72057       2.58012       2.17235       1.70149       0.00000       2.57992    
  0.229085E-03   56.4353       4.75916       6.78036       4.73514       6.77137      0.240249E-01  0.898847E-02   11.5065       2.63728       2.63587       2.49719       2.09786       1.63851       0.00000       2.49699    
  0.251186E-03   54.3073       4.60550       6.55624       4.58003       6.54667      0.254737E-01  0.956767E-02   11.1267       2.55475       2.55324       2.41631       2.02528       1.57732       0.00000       2.41611    
  0.275420E-03   52.2415       4.45585       6.33795       4.42884       6.32777      0.270063E-01  0.101841E-01   10.7566       2.47427       2.47265       2.33746       1.95457       1.51786       0.00000       2.33726    
  0.301992E-03   50.2365       4.31013       6.12541       4.28151       6.11457      0.286285E-01  0.108409E-01   10.3961       2.39580       2.39406       2.26060       1.88571       1.46010       0.00000       2.26041    
  0.331127E-03   48.2914       4.16831       5.91851       4.13796       5.90697      0.303489E-01  0.115435E-01   10.0449       2.31930       2.31744       2.18569       1.81866       1.40403       0.00000       2.18550    
  0.363073E-03   46.4047       4.03031       5.71716       3.99814       5.70487      0.321692E-01  0.122922E-01   9.70301       2.24474       2.24275       2.11271       1.75340       1.34959       0.00000       2.11253    
  0.398101E-03   44.5752       3.89608       5.52126       3.86199       5.50817      0.340943E-01  0.130894E-01   9.37016       2.17210       2.16997       2.04162       1.68989       1.29676       0.00000       2.04144    
  0.436509E-03   42.8017       3.76556       5.33070       3.72943       5.31676      0.361311E-01  0.139391E-01   9.04619       2.10133       2.09904       1.97238       1.62810       1.24551       0.00000       1.97221    
  0.478622E-03   41.0832       3.63869       5.14540       3.60040       5.13056      0.382898E-01  0.148485E-01   8.73096       2.03239       2.02995       1.90497       1.56801       1.19580       0.00000       1.90480    
