   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   7.16420      0.986565       1.42708      0.976743       1.42074      0.982223E-02  0.633755E-02   2.39749      0.748064      0.750837      0.669906      0.228679       0.00000       0.00000      0.669906    
  0.109648E-03   7.06455      0.967932       1.39841      0.957530       1.39170      0.104019E-01  0.670802E-02   2.34923      0.732582      0.735422      0.656278      0.224948       0.00000       0.00000      0.656278    
  0.120226E-03   6.96930      0.950050       1.37087      0.939011       1.36375      0.110388E-01  0.711387E-02   2.30276      0.717682      0.720594      0.643160      0.221329       0.00000       0.00000      0.643160    
  0.131825E-03   6.87541      0.932432       1.34375      0.920731       1.33621      0.117010E-01  0.753543E-02   2.25695      0.703000      0.705985      0.630230      0.217732       0.00000       0.00000      0.630230    
  0.144543E-03   6.78346      0.915194       1.31724      0.902795       1.30926      0.123994E-01  0.797950E-02   2.21205      0.688631      0.691692      0.617568      0.214164       0.00000       0.00000      0.617568    
  0.158489E-03   6.69429      0.898479       1.29155      0.885327       1.28309      0.131522E-01  0.845730E-02   2.16842      0.674684      0.677824      0.605269      0.210643       0.00000       0.00000      0.605269    
  0.173779E-03   6.60666      0.882034       1.26627      0.868100       1.25732      0.139334E-01  0.895264E-02   2.12542      0.660947      0.664167      0.593151      0.207153       0.00000       0.00000      0.593151    
  0.190545E-03   6.52225      0.866131       1.24180      0.851359       1.23232      0.147720E-01  0.948341E-02   2.08368      0.647621      0.650925      0.581392      0.203738       0.00000       0.00000      0.581392    
  0.208928E-03   6.43948      0.850575       1.21789      0.834915       1.20784      0.156601E-01  0.100448E-01   2.04276      0.634578      0.637968      0.569873      0.200337       0.00000       0.00000      0.569873    
  0.229085E-03   6.35780      0.835248       1.19434      0.818667       1.18371      0.165805E-01  0.106263E-01   2.00238      0.621720      0.625199      0.558511      0.196948       0.00000       0.00000      0.558511    
  0.251186E-03   6.27972      0.820549       1.17171      0.802962       1.16045      0.175873E-01  0.112618E-01   1.96341      0.609328      0.612900      0.547553      0.193634       0.00000       0.00000      0.547553    
  0.275420E-03   6.20303      0.806108       1.14948      0.787473       1.13755      0.186353E-01  0.119227E-01   1.92503      0.597128      0.600795      0.536759      0.190345       0.00000       0.00000      0.536759    
  0.301992E-03   6.12821      0.792014       1.12776      0.772276       1.11514      0.197383E-01  0.126176E-01   1.88741      0.585186      0.588951      0.526188      0.187089       0.00000       0.00000      0.526188    
  0.331127E-03   6.05548      0.778367       1.10672      0.757439       1.09336      0.209279E-01  0.133651E-01   1.85080      0.573585      0.577453      0.515906      0.183853       0.00000       0.00000      0.515906    
  0.363073E-03   5.98402      0.764958       1.08604      0.742795       1.07190      0.221626E-01  0.141395E-01   1.81469      0.562155      0.566128      0.505770      0.180640       0.00000       0.00000      0.505770    
  0.398101E-03   5.91530      0.752034       1.06603      0.728546       1.05106      0.234874E-01  0.149671E-01   1.77961      0.551058      0.555141      0.495923      0.177488       0.00000       0.00000      0.495923    
  0.436509E-03   5.84799      0.739442       1.04652      0.714551       1.03067      0.248912E-01  0.158434E-01   1.74523      0.540201      0.544398      0.486277      0.174350       0.00000       0.00000      0.486277    
  0.478622E-03   5.78158      0.727063       1.02732      0.700718       1.01057      0.263456E-01  0.167509E-01   1.71129      0.529495      0.533810      0.476759      0.171222       0.00000       0.00000      0.476759    
  0.524798E-03   5.71758      0.715216       1.00888      0.687285      0.991140      0.279309E-01  0.177382E-01   1.67842      0.519153      0.523592      0.467548      0.168132       0.00000       0.00000      0.467548    
  0.575429E-03   5.65482      0.703627      0.990789      0.674045      0.972024      0.295824E-01  0.187651E-01   1.64607      0.508978      0.513544      0.458480      0.165067       0.00000       0.00000      0.458480    
  0.630945E-03   5.59362      0.692365      0.973145      0.661048      0.953303      0.313174E-01  0.198417E-01   1.61435      0.499014      0.503711      0.449592      0.162034       0.00000       0.00000      0.449592    
  0.691816E-03   5.53370      0.681524      0.956097      0.648335      0.935098      0.331889E-01  0.209991E-01   1.58343      0.489327      0.494164      0.440934      0.159008       0.00000       0.00000      0.440934    
  0.758561E-03   5.47461      0.670901      0.939344      0.635771      0.917146      0.351300E-01  0.221978E-01   1.55292      0.479776      0.484757      0.432390      0.155995       0.00000       0.00000      0.432390    
  0.831745E-03   5.41735      0.660707      0.923153      0.623501      0.899677      0.372064E-01  0.234768E-01   1.52318      0.470482      0.475614      0.424063      0.153019       0.00000       0.00000      0.424063    
  0.911989E-03   5.36114      0.650860      0.907417      0.611451      0.882587      0.394089E-01  0.248297E-01   1.49404      0.461393      0.466683      0.415905      0.150058       0.00000       0.00000      0.415905    
  0.999975E-03   5.30557      0.641227      0.891961      0.599537      0.865732      0.416902E-01  0.262288E-01   1.46527      0.452430      0.457882      0.407851      0.147107       0.00000       0.00000      0.407851    
  0.109645E-02   5.25108      0.632080      0.877135      0.587911      0.849392      0.441694E-01  0.277431E-01   1.43730      0.443745      0.449369      0.400023      0.144166       0.00000       0.00000      0.400023    
  0.120223E-02   5.19745      0.623198      0.862630      0.576443      0.833311      0.467544E-01  0.293192E-01   1.40975      0.435198      0.441001      0.392309      0.141246       0.00000       0.00000      0.392309    
  0.131822E-02   5.14482      0.614628      0.848505      0.565164      0.817536      0.494648E-01  0.309685E-01   1.38270      0.426815      0.432804      0.384732      0.138349       0.00000       0.00000      0.384732    
  0.144540E-02   5.09253      0.606494      0.834911      0.554105      0.802171      0.523887E-01  0.327401E-01   1.35628      0.418654      0.424842      0.377329      0.135451       0.00000       0.00000      0.377329    
  0.158485E-02   5.04055      0.598576      0.821573      0.543157      0.787000      0.554193E-01  0.345727E-01   1.33016      0.410598      0.416990      0.370010      0.132558       0.00000       0.00000      0.370010    
  0.173775E-02   4.98927      0.591069      0.808708      0.532417      0.772188      0.586511E-01  0.365201E-01   1.30461      0.402735      0.409344      0.362844      0.129682       0.00000       0.00000      0.362844    
  0.190540E-02   4.93844      0.583937      0.796263      0.521857      0.757684      0.620799E-01  0.385788E-01   1.27954      0.395038      0.401876      0.355808      0.126819       0.00000       0.00000      0.355808    
  0.208923E-02   4.88780      0.577030      0.784067      0.511401      0.743362      0.656292E-01  0.407053E-01   1.25476      0.387439      0.394513      0.348849      0.123962       0.00000       0.00000      0.348849    
  0.229079E-02   4.83671      0.570611      0.772405      0.501139      0.729410      0.694717E-01  0.429950E-01   1.23055      0.380043      0.387371      0.342039      0.121097       0.00000       0.00000      0.342039    
  0.251180E-02   4.78587      0.564478      0.761036      0.490998      0.715659      0.734800E-01  0.453771E-01   1.20666      0.372754      0.380347      0.335312      0.118244       0.00000       0.00000      0.335312    
  0.275413E-02   4.73530      0.558665      0.749993      0.480992      0.702130      0.776732E-01  0.478625E-01   1.18312      0.365586      0.373455      0.328675      0.115406       0.00000       0.00000      0.328675    
  0.301984E-02   4.68392      0.553337      0.739431      0.471142      0.688904      0.821947E-01  0.505270E-01   1.16005      0.358582      0.366751      0.322153      0.112560       0.00000       0.00000      0.322153    
  0.331118E-02   4.63217      0.548242      0.729091      0.461366      0.675813      0.868765E-01  0.532783E-01   1.13718      0.351652      0.360132      0.315682      0.109714       0.00000       0.00000      0.315682    
  0.363064E-02   4.57978      0.543573      0.719151      0.451721      0.662963      0.918521E-01  0.561883E-01   1.11468      0.344853      0.353664      0.309299      0.106868       0.00000       0.00000      0.309299    
  0.398091E-02   4.52692      0.539336      0.709596      0.442207      0.650336      0.971292E-01  0.592595E-01   1.09254      0.338176      0.347339      0.302997      0.104031       0.00000       0.00000      0.302997    
  0.436498E-02   4.47364      0.535350      0.700262      0.432763      0.637835      0.102586      0.624269E-01   1.07060      0.331566      0.341096      0.296739      0.101197       0.00000       0.00000      0.296739    
  0.478610E-02   4.41838      0.531897      0.691378      0.423427      0.625559      0.108469      0.658191E-01   1.04899      0.325082      0.335010      0.290549      0.983451E-01   0.00000       0.00000      0.290549    
  0.524785E-02   4.36245      0.528771      0.682753      0.414165      0.613410      0.114606      0.693431E-01   1.02757      0.318667      0.329013      0.284397      0.954982E-01   0.00000       0.00000      0.284397    
