   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   31.4188       2.96259       3.98766       2.95404       3.98491      0.855252E-02  0.275442E-02   6.93895       1.83295       1.83217       1.63892       1.12109      0.513997       0.00000       1.63874    
  0.109648E-03   30.6999       2.89469       3.89698       2.88559       3.89405      0.909891E-02  0.293082E-02   6.77964       1.79314       1.79231       1.60183       1.09246      0.500094       0.00000       1.60165    
  0.120226E-03   29.9922       2.82841       3.80836       2.81871       3.80523      0.970304E-02  0.312724E-02   6.62394       1.75419       1.75330       1.56554       1.06452      0.486570       0.00000       1.56536    
  0.131825E-03   29.2895       2.76281       3.72060       2.75248       3.71726      0.103337E-01  0.333298E-02   6.46974       1.71561       1.71465       1.52960       1.03687      0.473202       0.00000       1.52941    
  0.144543E-03   28.5938       2.69818       3.63407       2.68718       3.63052      0.110022E-01  0.355208E-02   6.31770       1.67754       1.67652       1.49413       1.00964      0.460057       0.00000       1.49395    
  0.158489E-03   27.9082       2.63491       3.54926       2.62319       3.54546      0.117288E-01  0.379194E-02   6.16865       1.64020       1.63909       1.45934      0.982986      0.447222       0.00000       1.45915    
  0.173779E-03   27.2277       2.57232       3.46529       2.55983       3.46125      0.124858E-01  0.404277E-02   6.02108       1.60321       1.60202       1.42488      0.956624      0.434538       0.00000       1.42469    
  0.190545E-03   26.5574       2.51104       3.38298       2.49774       3.37866      0.133046E-01  0.431605E-02   5.87640       1.56691       1.56564       1.39106      0.930823      0.422150       0.00000       1.39087    
  0.208928E-03   25.8954       2.45081       3.30197       2.43664       3.29736      0.141774E-01  0.460938E-02   5.73399       1.53117       1.52979       1.35776      0.905469      0.409993       0.00000       1.35757    
  0.229085E-03   25.2389       2.39127       3.22181       2.37618       3.21689      0.150857E-01  0.491583E-02   5.59307       1.49577       1.49430       1.32479      0.880405      0.397987       0.00000       1.32460    
  0.251186E-03   24.5957       2.33338       3.14371       2.31729       3.13845      0.160882E-01  0.525781E-02   5.45574       1.46124       1.45966       1.29263      0.856043      0.386342       0.00000       1.29244    
  0.275420E-03   23.9586       2.27621       3.06650       2.25908       3.06088      0.171363E-01  0.561728E-02   5.31996       1.42709       1.42539       1.26082      0.831988      0.374854       0.00000       1.26063    
  0.301992E-03   23.3296       2.22003       2.99049       2.20178       2.98449      0.182456E-01  0.600028E-02   5.18628       1.39344       1.39162       1.22948      0.808345      0.363576       0.00000       1.22930    
  0.331127E-03   22.7125       2.16526       2.91622       2.14580       2.90980      0.194527E-01  0.642163E-02   5.05560       1.36051       1.35856       1.19882      0.785294      0.352599       0.00000       1.19864    
  0.363073E-03   22.1013       2.11117       2.84278       2.09046       2.83592      0.207102E-01  0.686299E-02   4.92638       1.32793       1.32584       1.16849      0.762531      0.341767       0.00000       1.16831    
  0.398101E-03   21.5013       2.05840       2.77093       2.03633       2.76359      0.220678E-01  0.734437E-02   4.79992       1.29602       1.29377       1.13878      0.740313      0.331209       0.00000       1.13860    
  0.436509E-03   20.9107       2.00671       2.70039       1.98319       2.69253      0.235170E-01  0.786315E-02   4.67572       1.26465       1.26224       1.10959      0.718543      0.320875       0.00000       1.10941    
  0.478622E-03   20.3261       1.95570       2.63068       1.93068       2.62227      0.250247E-01  0.840593E-02   4.55295       1.23362       1.23105       1.08071      0.697056      0.310683       0.00000       1.08054    
  0.524798E-03   19.7558       1.90633       2.56292       1.87965       2.55391      0.266852E-01  0.901251E-02   4.43356       1.20341       1.20065       1.05260      0.676239      0.300825       0.00000       1.05243    
  0.575429E-03   19.1923       1.85772       2.49605       1.82929       2.48640      0.284233E-01  0.965218E-02   4.31570       1.17357       1.17061       1.02484      0.655727      0.291118       0.00000       1.02467    
  0.630945E-03   18.6371       1.81005       2.43031       1.77979       2.41998      0.302592E-01  0.103337E-01   4.19977       1.14419       1.14102      0.997512      0.635599      0.281601       0.00000      0.997353    
  0.691816E-03   18.0947       1.76381       2.36625       1.73155       2.35516      0.322585E-01  0.110865E-01   4.08671       1.11551       1.11211      0.970836      0.616045      0.272367       0.00000      0.970683    
  0.758561E-03   17.5584       1.71825       2.30299       1.68391       2.29111      0.343406E-01  0.118762E-01   3.97502       1.08715       1.08352      0.944467      0.596761      0.263267       0.00000      0.944321    
  0.831745E-03   17.0336       1.67396       2.24120       1.63738       2.22846      0.365830E-01  0.127375E-01   3.86584       1.05940       1.05552      0.918668      0.577981      0.254414       0.00000      0.918529    
  0.911989E-03   16.5187       1.63077       2.18067       1.59179       2.16701      0.389782E-01  0.136689E-01   3.75880       1.03217       1.02801      0.893352      0.559628      0.245771       0.00000      0.893222    
  0.999975E-03   16.0098       1.58826       2.12093       1.54679       2.10628      0.414692E-01  0.146443E-01   3.65307       1.00525       1.00081      0.868334      0.541538      0.237258       0.00000      0.868213    
  0.109645E-02   15.5154       1.54733       2.06299       1.50313       2.04725      0.442043E-01  0.157345E-01   3.55038      0.979069      0.974319      0.844003      0.524058      0.229043       0.00000      0.843891    
  0.120223E-02   15.0278       1.50717       2.00591       1.46010       1.98902      0.470690E-01  0.168871E-01   3.44912      0.953233      0.948156      0.819997      0.506866      0.220970       0.00000      0.819895    
  0.131822E-02   14.5485       1.46791       1.94985       1.41782       1.93173      0.500876E-01  0.181140E-01   3.34956      0.927807      0.922387      0.796375      0.490016      0.213064       0.00000      0.796284    
  0.144540E-02   14.0821       1.43009       1.89538       1.37671       1.87591      0.533739E-01  0.194733E-01   3.25262      0.903016      0.897221      0.773347      0.473696      0.205418       0.00000      0.773267    
  0.158485E-02   13.6217       1.39293       1.84165       1.33614       1.82075      0.567936E-01  0.208998E-01   3.15689      0.878517      0.872333      0.750592      0.457621      0.197891       0.00000      0.750525    
  0.173775E-02   13.1724       1.35700       1.78926       1.29653       1.76680      0.604644E-01  0.224539E-01   3.06334      0.854546      0.847945      0.728331      0.441987      0.190581       0.00000      0.728277    
  0.190540E-02   12.7329       1.32217       1.73806       1.25778       1.71392      0.643840E-01  0.241379E-01   2.97170      0.831040      0.823994      0.706504      0.426744      0.183462       0.00000      0.706463    
  0.208923E-02   12.2995       1.28800       1.68758       1.21955       1.66167      0.684563E-01  0.259021E-01   2.88122      0.807812      0.800305      0.684938      0.411735      0.176459       0.00000      0.684911    
  0.229079E-02   11.8796       1.25537       1.63873       1.18247       1.61086      0.729079E-01  0.278700E-01   2.79333      0.785211      0.777201      0.663957      0.397254      0.169716       0.00000      0.663944    
  0.251180E-02   11.4667       1.22352       1.59070       1.14595       1.56075      0.775695E-01  0.299539E-01   2.70670      0.762918      0.754381      0.643262      0.383034      0.163101       0.00000      0.643265    
  0.275413E-02   11.0614       1.19254       1.54358       1.11007       1.51142      0.824654E-01  0.321672E-01   2.62149      0.740967      0.731880      0.622888      0.369105      0.156630       0.00000      0.622906    
  0.301984E-02   10.6686       1.16299       1.49795       1.07521       1.46333      0.877845E-01  0.346213E-01   2.53854      0.719564      0.709881      0.603024      0.355643      0.150390       0.00000      0.603059    
  0.331118E-02   10.2816       1.13411       1.45300       1.04080       1.41580      0.933097E-01  0.371952E-01   2.45660      0.698406      0.688106      0.583389      0.342391      0.144255       0.00000      0.583440    
  0.363064E-02   9.90471       1.10640       1.40925       1.00719       1.36926      0.992129E-01  0.399906E-01   2.37645      0.677681      0.666726      0.564158      0.329511      0.138306       0.00000      0.564225    
  0.398091E-02   9.53730       1.07982       1.36662      0.974316       1.32360      0.105503      0.430196E-01   2.29792      0.657347      0.645697      0.545291      0.316969      0.132527       0.00000      0.545376    
  0.436498E-02   9.17547       1.05389       1.32465      0.941869       1.27846      0.112024      0.461900E-01   2.22033      0.637242      0.624874      0.526639      0.304627      0.126847       0.00000      0.526741    
  0.478610E-02   8.82611       1.02947       1.28417      0.910360       1.23446      0.119105      0.497088E-01   2.14482      0.617637      0.604498      0.508454      0.292723      0.121389       0.00000      0.508573    
  0.524785E-02   8.48326       1.00583       1.24447      0.879329       1.19103      0.126505      0.534336E-01   2.07036      0.598285      0.584344      0.490506      0.281044      0.116046       0.00000      0.490642    
  0.575415E-02   8.14726      0.983041       1.20558      0.848800       1.14821      0.134241      0.573745E-01   1.99701      0.579200      0.564425      0.472806      0.269600      0.110823       0.00000      0.472961    
  0.630929E-02   7.82289      0.961702       1.16811      0.819101       1.10638      0.142601      0.617307E-01   1.92548      0.560551      0.544887      0.455519      0.258551      0.105803       0.00000      0.455690    
  0.691799E-02   7.50370      0.941021       1.13127      0.789765       1.06498      0.151255      0.662883E-01   1.85475      0.542092      0.525513      0.438410      0.247674      0.100872       0.00000      0.438599    
  0.758542E-02   7.19352      0.921489       1.09554      0.761055       1.02433      0.160434      0.712073E-01   1.78539      0.523958      0.506420      0.421611      0.237097      0.960974E-01   0.00000      0.421816    
  0.831724E-02   6.89200      0.903091       1.06090      0.732931      0.984382      0.170160      0.765166E-01   1.71731      0.506127      0.487588      0.405101      0.226804      0.914716E-01   0.00000      0.405323    
  0.911966E-02   6.59500      0.885309       1.02684      0.705112      0.944790      0.180197      0.820491E-01   1.64990      0.488454      0.468888      0.388742      0.216658      0.869233E-01   0.00000      0.388979    
  0.999950E-02   6.30473      0.868639      0.993774      0.677747      0.905710      0.190893      0.880638E-01   1.58346      0.471010      0.450368      0.372601      0.206736      0.824892E-01   0.00000      0.372853    
  0.109642E-01   6.02132      0.852775      0.961527      0.650821      0.867170      0.201954      0.943578E-01   1.51799      0.453790      0.432048      0.356681      0.197031      0.781734E-01   0.00000      0.356948    
  0.120220E-01   5.74874      0.838266      0.930636      0.624586      0.829469      0.213680      0.101166       1.45406      0.436917      0.414036      0.341109      0.187669      0.740441E-01   0.00000      0.341389    
  0.131819E-01   5.48363      0.824797      0.900764      0.598819      0.792333      0.225978      0.108431       1.39115      0.420275      0.396224      0.325773      0.178544      0.700431E-01   0.00000      0.326065    
  0.144536E-01   5.22574      0.812345      0.871902      0.573499      0.755740      0.238847      0.116163       1.32924      0.403851      0.378605      0.310664      0.169648      0.661668E-01   0.00000      0.310968    
  0.158481E-01   4.97441      0.800827      0.843982      0.548579      0.719641      0.252248      0.124341       1.26822      0.387621      0.361160      0.295763      0.160959      0.624043E-01   0.00000      0.296077    
  0.173770E-01   4.72951      0.790228      0.817007      0.524050      0.684031      0.266178      0.132976       1.20808      0.371576      0.343888      0.281066      0.152474      0.587541E-01   0.00000      0.281389    
  0.190535E-01   4.49151      0.780617      0.791071      0.499935      0.648953      0.280681      0.142118       1.14889      0.355727      0.326803      0.266594      0.144209      0.552252E-01   0.00000      0.266924    
  0.208917E-01   4.26008      0.771948      0.766155      0.476216      0.614395      0.295731      0.151760       1.09061      0.340061      0.309905      0.252341      0.136156      0.518134E-01   0.00000      0.252676    
  0.229073E-01   4.03467      0.764132      0.742193      0.452859      0.580328      0.311273      0.161865       1.03319      0.324561      0.293185      0.238294      0.128298      0.485096E-01   0.00000      0.238634    
  0.251174E-01   3.81514      0.757141      0.719187      0.429858      0.546761      0.327284      0.172426      0.976619      0.309222      0.276648      0.224458      0.120635      0.453129E-01   0.00000      0.224800    
  0.275406E-01   3.60197      0.751020      0.697233      0.407246      0.513763      0.343775      0.183469      0.921009      0.294060      0.260325      0.210861      0.113186      0.422335E-01   0.00000      0.211204    
  0.301976E-01   3.39482      0.745692      0.676289      0.385008      0.481338      0.360684      0.194951      0.866346      0.279065      0.244224      0.197505      0.105943      0.392665E-01   0.00000      0.197847    
  0.331110E-01   3.19320      0.741060      0.656284      0.363123      0.449477      0.377936      0.206807      0.812600      0.264228      0.228346      0.184387      0.988954E-01  0.364047E-01   0.00000      0.184726    
  0.363055E-01   2.99705      0.737071      0.637204      0.341596      0.418212      0.395475      0.218992      0.759808      0.249552      0.212711      0.171519      0.920442E-01  0.336478E-01   0.00000      0.171853    
  0.398081E-01   2.80687      0.733721      0.619122      0.320473      0.387653      0.413248      0.231469      0.708126      0.235059      0.197371      0.158946      0.854141E-01  0.310074E-01   0.00000      0.159275    
  0.436487E-01   2.62233      0.730902      0.601957      0.299748      0.357821      0.431153      0.244136      0.657569      0.220749      0.182344      0.146678      0.789989E-01  0.284781E-01   0.00000      0.146998    
  0.478598E-01   2.44307      0.728499      0.585612      0.279414      0.328728      0.449086      0.256884      0.608141      0.206622      0.167645      0.134718      0.727910E-01  0.260541E-01   0.00000      0.135029    
  0.524772E-01   2.26908      0.726427      0.570032      0.259485      0.300430      0.466942      0.269602      0.559915      0.192690      0.153304      0.123090      0.667951E-01  0.237359E-01   0.00000      0.123390    
