   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   4.06259      0.980754       1.52716      0.976320       1.52618      0.443384E-02  0.983933E-03   2.50250      0.865556      0.865103      0.661163      0.110764       0.00000       0.00000      0.661078    
  0.109648E-03   4.15204      0.967220       1.50461      0.962474       1.50356      0.474587E-02  0.105338E-02   2.46603      0.852838      0.852350      0.651296      0.109636       0.00000       0.00000      0.651209    
  0.120226E-03   4.23055      0.953838       1.48229      0.948744       1.48116      0.509467E-02  0.113189E-02   2.42991      0.840268      0.839739      0.641513      0.108476       0.00000       0.00000      0.641424    
  0.131825E-03   4.30478      0.940527       1.46008      0.935067       1.45887      0.546054E-02  0.121471E-02   2.39393      0.827760      0.827189      0.631766      0.107307       0.00000       0.00000      0.631676    
  0.144543E-03   4.37288      0.927317       1.43801      0.921466       1.43671      0.585085E-02  0.130371E-02   2.35817      0.815343      0.814727      0.622073      0.106124       0.00000       0.00000      0.621981    
  0.158489E-03   4.43299      0.914260       1.41616      0.907980       1.41475      0.627903E-02  0.140250E-02   2.32274      0.803054      0.802389      0.612459      0.104926       0.00000       0.00000      0.612366    
  0.173779E-03   4.48927      0.901281       1.39441      0.894554       1.39290      0.672718E-02  0.150653E-02   2.28746      0.790831      0.790113      0.602885      0.103723       0.00000       0.00000      0.602791    
  0.190545E-03   4.53830      0.888461       1.37288      0.881245       1.37125      0.721611E-02  0.162139E-02   2.25250      0.778734      0.777960      0.593391      0.102511       0.00000       0.00000      0.593295    
  0.208928E-03   4.58194      0.875777       1.35152      0.868036       1.34977      0.774127E-02  0.174611E-02   2.21781      0.766741      0.765905      0.583963      0.101295       0.00000       0.00000      0.583866    
  0.229085E-03   4.62207      0.863181       1.33027      0.854891       1.32839      0.829011E-02  0.187729E-02   2.18328      0.754814      0.753913      0.574578      0.100077       0.00000       0.00000      0.574480    
  0.251186E-03   4.65420      0.850813       1.30931      0.841910       1.30728      0.890283E-02  0.202636E-02   2.14919      0.743053      0.742079      0.565301      0.988572E-01   0.00000       0.00000      0.565202    
  0.275420E-03   4.68304      0.838549       1.28847      0.829002       1.28629      0.954680E-02  0.218443E-02   2.11529      0.731364      0.730313      0.556072      0.976387E-01   0.00000       0.00000      0.555973    
