After minimisation    1431.94  1203     1.190

  Partial chi2s 
Dataset    1    419.27( +3.78)   377  HERA1+2 NCep 920                                
Dataset    2     65.13( -0.63)    70  HERA1+2 NCep 820                                
Dataset    3    217.55( -2.07)   254  HERA1+2 NCep 575                                
Dataset    4    220.75( -3.74)   204  HERA1+2 NCep 460                                
Dataset    5    226.12( -1.61)   159  HERA1+2 NCem                                    
Dataset    6     53.99( +0.10)    39  HERA1+2 CCep                                    
Dataset    7     50.83( -2.77)    42  HERA1+2 CCem                                    
Dataset    8     17.43( +0.60)    27  HERA b                                          
Dataset    9     44.10( -0.75)    47  HERA c                                          

 Correlated Chi2    123.84410974976660     
 Log penalty Chi2   -7.0820410448744235     
 Systematic shifts          336
  
                                Name          Shift   +/-    Error          Type
    1  sysHZComb1001                          0.1003   +/-   0.9327        :N:M:D
    2  sysHZComb1002                         -0.5127   +/-   0.9364        :N:M:D
    3  sysHZComb1003                          1.2211   +/-   0.5569        :N:M:D
    4  sysHZComb1004                          0.0284   +/-   0.6190        :N:M:D
    5  sysHZComb1005                          0.4678   +/-   0.6093        :N:M:D
    6  sysHZComb1006                         -0.7418   +/-   0.7879        :N:M:D
    7  sysHZComb1007                          0.1546   +/-   0.9982        :N:M:D
    8  sysHZComb1008                          0.0898   +/-   0.9984        :N:M:D
    9  sysHZComb1009                          0.0153   +/-   0.8999        :N:M:D
   10  sysHZComb1010                         -0.1681   +/-   0.9936        :N:M:D
   11  sysHZComb1011                         -0.7589   +/-   0.9662        :N:M:D
   12  sysHZComb1012                          0.5066   +/-   0.9722        :N:M:D
   13  sysHZComb1013                         -0.6564   +/-   0.9621        :N:M:D
   14  sysHZComb1014                         -0.0846   +/-   0.9876        :N:M:D
   15  sysHZComb1015                          0.0666   +/-   0.9635        :N:M:D
   16  sysHZComb1016                         -0.1380   +/-   0.9749        :N:M:D
   17  sysHZComb1017                         -0.4551   +/-   0.9710        :N:M:D
   18  sysHZComb1018                          0.3578   +/-   0.8227        :N:M:D
   19  sysHZComb1019                         -0.4228   +/-   0.9837        :N:M:D
   20  sysHZComb1020                         -0.4421   +/-   0.9815        :N:M:D
   21  sysHZComb1021                          0.0913   +/-   0.9745        :N:M:D
   22  sysHZComb1022                          0.1154   +/-   0.9687        :N:M:D
   23  sysHZComb1023                          0.0158   +/-   0.9453        :N:M:D
   24  sysHZComb1024                          0.1253   +/-   0.9881        :N:M:D
   25  sysHZComb1025                          0.1031   +/-   0.9934        :N:M:D
   26  sysHZComb1026                         -0.6557   +/-   0.9207        :N:M:D
   27  sysHZComb1027                         -0.7715   +/-   0.9547        :N:M:D
   28  sysHZComb1028                          0.6304   +/-   0.9750        :N:M:D
   29  sysHZComb1029                         -0.3788   +/-   0.9186        :N:M:D
   30  sysHZComb1030                          0.0774   +/-   0.9438        :N:M:D
   31  sysHZComb1031                         -0.0135   +/-   0.8393        :N:M:D
   32  sysHZComb1032                          0.4205   +/-   0.9644        :N:M:D
   33  sysHZComb1033                          0.7195   +/-   0.9709        :N:M:D
   34  sysHZComb1034                         -0.4307   +/-   0.9841        :N:M:D
   35  sysHZComb1035                          0.1676   +/-   0.9782        :N:M:D
   36  sysHZComb1036                         -0.2155   +/-   0.9744        :N:M:D
   37  sysHZComb1037                          0.0992   +/-   0.9702        :N:M:D
   38  sysHZComb1038                         -0.7507   +/-   0.9127        :N:M:D
   39  sysHZComb1039                         -0.3818   +/-   0.9536        :N:M:D
   40  sysHZComb1040                         -0.2278   +/-   0.9303        :N:M:D
   41  sysHZComb1041                         -0.2335   +/-   0.8127        :N:M:D
   42  sysHZComb1042                         -0.0757   +/-   0.8747        :N:M:D
   43  sysHZComb1043                          0.1803   +/-   0.9098        :N:M:D
   44  sysHZComb1044                         -0.1785   +/-   0.9368        :N:M:D
   45  sysHZComb1045                         -0.6427   +/-   0.9312        :N:M:D
   46  sysHZComb1046                         -0.5727   +/-   0.9570        :N:M:D
   47  sysHZComb1047                          0.3359   +/-   0.9468        :N:M:D
   48  sysHZComb1048                         -0.0188   +/-   0.9610        :N:M:D
   49  sysHZComb1049                         -0.1255   +/-   0.9458        :N:M:D
   50  sysHZComb1050                          0.1958   +/-   0.9430        :N:M:D
   51  sysHZComb1051                          0.2623   +/-   0.9524        :N:M:D
   52  sysHZComb1052                          0.6309   +/-   0.9508        :N:M:D
   53  sysHZComb1053                         -2.2731   +/-   0.9194        :N:M:D
   54  sysHZComb1054                          0.0163   +/-   0.9750        :N:M:D
   55  sysHZComb1055                         -1.4679   +/-   0.9059        :N:M:D
   56  sysHZComb1056                         -1.3602   +/-   0.8906        :N:M:D
   57  sysHZComb1057                          0.1989   +/-   0.9196        :N:M:D
   58  sysHZComb1058                          0.0239   +/-   0.9434        :N:M:D
   59  sysHZComb1059                         -0.3194   +/-   0.8700        :N:M:D
   60  sysHZComb1060                          0.0392   +/-   0.9789        :N:M:D
   61  sysHZComb1061                          0.0877   +/-   0.9831        :N:M:D
   62  sysHZComb1062                         -1.4613   +/-   0.8953        :N:M:D
   63  sysHZComb1063                          0.0863   +/-   0.8367        :N:M:D
   64  sysHZComb1064                          0.5692   +/-   0.9294        :N:M:D
   65  sysHZComb1065                         -0.8909   +/-   0.9469        :N:M:D
