   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   15.0812      0.931758       1.68541      0.921360       1.68224      0.103977E-01  0.316541E-02   2.60360      0.921360      0.920439      0.761802       0.00000       0.00000       0.00000      0.761802    
  0.109648E-03   14.8804      0.917146       1.65754      0.906119       1.65415      0.110264E-01  0.338843E-02   2.56027      0.906119      0.905131      0.749016       0.00000       0.00000       0.00000      0.749016    
  0.120226E-03   14.6764      0.902787       1.63000      0.891070       1.62636      0.117167E-01  0.363723E-02   2.51743      0.891070      0.890006      0.736354       0.00000       0.00000       0.00000      0.736354    
  0.131825E-03   14.4713      0.888540       1.60261      0.876105       1.59871      0.124351E-01  0.389795E-02   2.47481      0.876105      0.874961      0.723747       0.00000       0.00000       0.00000      0.723747    
  0.144543E-03   14.2648      0.874451       1.57542      0.861258       1.57125      0.131936E-01  0.417575E-02   2.43251      0.861258      0.860029      0.711219       0.00000       0.00000       0.00000      0.711219    
  0.158489E-03   14.0566      0.860595       1.54855      0.846582       1.54407      0.140129E-01  0.447989E-02   2.39065      0.846582      0.845261      0.698806       0.00000       0.00000       0.00000      0.698806    
  0.173779E-03   13.8478      0.846857       1.52183      0.831993       1.51703      0.148639E-01  0.479787E-02   2.34902      0.831993      0.830574      0.686453       0.00000       0.00000       0.00000      0.686453    
  0.190545E-03   13.6378      0.833353       1.49541      0.817574       1.49027      0.157791E-01  0.514409E-02   2.30784      0.817574      0.816049      0.674218       0.00000       0.00000       0.00000      0.674218    
  0.208928E-03   13.4272      0.820045       1.46925      0.803295       1.46374      0.167500E-01  0.551527E-02   2.26703      0.803295      0.801656      0.662080       0.00000       0.00000       0.00000      0.662080    
  0.229085E-03   13.2162      0.806863       1.44326      0.789106       1.43735      0.177572E-01  0.590276E-02   2.22646      0.789106      0.787347      0.650006       0.00000       0.00000       0.00000      0.650006    
  0.251186E-03   13.0047      0.794002       1.41768      0.775141       1.41134      0.188606E-01  0.633402E-02   2.18648      0.775141      0.773250      0.638092       0.00000       0.00000       0.00000      0.638092    
  0.275420E-03   12.7931      0.781288       1.39228      0.761278       1.38550      0.200099E-01  0.678660E-02   2.14678      0.761278      0.759247      0.626250       0.00000       0.00000       0.00000      0.626250    
  0.301992E-03   12.5814      0.768770       1.36714      0.747549       1.35988      0.212211E-01  0.726782E-02   2.10742      0.747549      0.745370      0.614505       0.00000       0.00000       0.00000      0.614505    
  0.331127E-03   12.3700      0.756551       1.34238      0.734021       1.33458      0.225301E-01  0.779522E-02   2.06860      0.734021      0.731679      0.602905       0.00000       0.00000       0.00000      0.602905    
  0.363073E-03   12.1588      0.744479       1.31780      0.720590       1.30945      0.238892E-01  0.834652E-02   2.03004      0.720590      0.718077      0.591376       0.00000       0.00000       0.00000      0.591376    
  0.398101E-03   11.9480      0.732694       1.29358      0.707347       1.28463      0.253475E-01  0.894537E-02   1.99198      0.707347      0.704649      0.579983       0.00000       0.00000       0.00000      0.579983    
  0.436509E-03   11.7379      0.721158       1.26966      0.694263       1.26007      0.268955E-01  0.958810E-02   1.95433      0.694263      0.691366      0.568706       0.00000       0.00000       0.00000      0.568706    
  0.478622E-03   11.5282      0.709780       1.24593      0.681279       1.23568      0.285009E-01  0.102589E-01   1.91695      0.681279      0.678174      0.557502       0.00000       0.00000       0.00000      0.557502    
  0.524798E-03   11.3197      0.698792       1.22268      0.668537       1.21168      0.302547E-01  0.110036E-01   1.88021      0.668537      0.665201      0.546476       0.00000       0.00000       0.00000      0.546476    
  0.575429E-03   11.1119      0.687992       1.19965      0.655909       1.18786      0.320831E-01  0.117859E-01   1.84377      0.655909      0.652330      0.535531       0.00000       0.00000       0.00000      0.535531    
  0.630945E-03   10.9049      0.677428       1.17689      0.643423       1.16428      0.340055E-01  0.126160E-01   1.80770      0.643423      0.639586      0.524691       0.00000       0.00000       0.00000      0.524691    
  0.691816E-03   10.6995      0.667238       1.15457      0.631154       1.14104      0.360836E-01  0.135263E-01   1.77220      0.631154      0.627035      0.514009       0.00000       0.00000       0.00000      0.514009    
  0.758561E-03   10.4949      0.657231       1.13246      0.618991       1.11798      0.382400E-01  0.144774E-01   1.73697      0.618991      0.614576      0.503404       0.00000       0.00000       0.00000      0.503404    
  0.831745E-03   10.2919      0.647570       1.11073      0.607022       1.09523      0.405475E-01  0.155079E-01   1.70225      0.607022      0.602287      0.492940       0.00000       0.00000       0.00000      0.492940    
  0.911989E-03   10.0903      0.638222       1.08936      0.595224       1.07274      0.429975E-01  0.166147E-01   1.66797      0.595224      0.590146      0.482598       0.00000       0.00000       0.00000      0.482598    
  0.999975E-03   9.88965      0.629069       1.06820      0.583532       1.05043      0.455368E-01  0.177694E-01   1.63396      0.583532      0.578095      0.472333       0.00000       0.00000       0.00000      0.472333    
  0.109645E-02   9.69136      0.620390       1.04755      0.572088       1.02850      0.483017E-01  0.190470E-01   1.60059      0.572088      0.566254      0.462245       0.00000       0.00000       0.00000      0.462245    
  0.120223E-02   9.49429      0.611950       1.02715      0.560765       1.00676      0.511851E-01  0.203906E-01   1.56752      0.560765      0.554514      0.452242       0.00000       0.00000       0.00000      0.452242    
  0.131822E-02   9.29866      0.603794       1.00704      0.549585      0.985233      0.542093E-01  0.218124E-01   1.53482      0.549585      0.542892      0.442340       0.00000       0.00000       0.00000      0.442340    
  0.144540E-02   9.10545      0.596108      0.987424      0.538631      0.964053      0.574760E-01  0.233715E-01   1.50268      0.538631      0.531456      0.432597       0.00000       0.00000       0.00000      0.432597    
  0.158485E-02   8.91342      0.588647      0.968031      0.527785      0.943032      0.608626E-01  0.249995E-01   1.47082      0.527785      0.520105      0.422927       0.00000       0.00000       0.00000      0.422927    
  0.173775E-02   8.72356      0.581606      0.949056      0.517132      0.922298      0.644745E-01  0.267575E-01   1.43943      0.517132      0.508909      0.413390       0.00000       0.00000       0.00000      0.413390    
  0.190540E-02   8.53574      0.574961      0.930465      0.506654      0.901819      0.683072E-01  0.286458E-01   1.40847      0.506654      0.497848      0.403971       0.00000       0.00000       0.00000      0.403971    
  0.208923E-02   8.34917      0.568558      0.912106      0.496282      0.881492      0.722753E-01  0.306141E-01   1.37777      0.496282      0.486869      0.394623       0.00000       0.00000       0.00000      0.394623    
  0.229079E-02   8.16555      0.562730      0.894291      0.486153      0.861509      0.765767E-01  0.327829E-01   1.34766      0.486153      0.476072      0.385436       0.00000       0.00000       0.00000      0.385436    
  0.251180E-02   7.98345      0.557208      0.876757      0.476147      0.841693      0.810611E-01  0.350641E-01   1.31784      0.476147      0.465365      0.376328       0.00000       0.00000       0.00000      0.376328    
  0.275413E-02   7.80305      0.552026      0.859535      0.466277      0.822064      0.857493E-01  0.374704E-01   1.28834      0.466277      0.454757      0.367307       0.00000       0.00000       0.00000      0.367307    
  0.301984E-02   7.62552      0.547434      0.842838      0.456631      0.802733      0.908025E-01  0.401055E-01   1.25936      0.456631      0.444307      0.358426       0.00000       0.00000       0.00000      0.358426    
  0.331118E-02   7.44930      0.543120      0.826386      0.447087      0.783533      0.960321E-01  0.428531E-01   1.23062      0.447087      0.433925      0.349608       0.00000       0.00000       0.00000      0.349608    
  0.363064E-02   7.27546      0.539310      0.810372      0.437725      0.764564      0.101584      0.458076E-01   1.20229      0.437725      0.423665      0.340899       0.00000       0.00000       0.00000      0.340899    
  0.398091E-02   7.10383      0.535995      0.794777      0.428531      0.745801      0.107464      0.489762E-01   1.17433      0.428531      0.413513      0.332288       0.00000       0.00000       0.00000      0.332288    
  0.436498E-02   6.93351      0.532975      0.779431      0.419436      0.727157      0.113539      0.522739E-01   1.14659      0.419436      0.403423      0.323734       0.00000       0.00000       0.00000      0.323734    
  0.478610E-02   6.76611      0.530642      0.764653      0.410560      0.708767      0.120082      0.558854E-01   1.11933      0.410560      0.393464      0.315303       0.00000       0.00000       0.00000      0.315303    
  0.524785E-02   6.60022      0.528689      0.750180      0.401798      0.690501      0.126891      0.596793E-01   1.09230      0.401798      0.383570      0.306931       0.00000       0.00000       0.00000      0.306931    
  0.575415E-02   6.43591      0.527133      0.736029      0.393155      0.672365      0.133978      0.636643E-01   1.06552      0.393155      0.373742      0.298623       0.00000       0.00000       0.00000      0.298623    
  0.630929E-02   6.27420      0.526288      0.722441      0.384710      0.654430      0.141578      0.680101E-01   1.03914      0.384710      0.364018      0.290413       0.00000       0.00000       0.00000      0.290413    
  0.691799E-02   6.11361      0.525771      0.709107      0.376351      0.636579      0.149420      0.725287E-01   1.01293      0.376351      0.354334      0.282244       0.00000       0.00000       0.00000      0.282244    
  0.758542E-02   5.95492      0.525830      0.696222      0.368142      0.618867      0.157689      0.773557E-01  0.987008      0.368142      0.344721      0.274145       0.00000       0.00000       0.00000      0.274145    
  0.831724E-02   5.79793      0.526469      0.683782      0.360070      0.601272      0.166400      0.825099E-01  0.961341      0.360070      0.335166      0.266106       0.00000       0.00000       0.00000      0.266106    
  0.911966E-02   5.64180      0.527439      0.671590      0.352073      0.583737      0.175366      0.878537E-01  0.935810      0.352073      0.325639      0.258097       0.00000       0.00000       0.00000      0.258097    
  0.999950E-02   5.48689      0.529109      0.659910      0.344216      0.566287      0.184893      0.936227E-01  0.910504      0.344216      0.316153      0.250134       0.00000       0.00000       0.00000      0.250134    
  0.109642E-01   5.33302      0.531129      0.648506      0.336436      0.548902      0.194693      0.996039E-01  0.885338      0.336436      0.306697      0.242205       0.00000       0.00000       0.00000      0.242205    
  0.120220E-01   5.18067      0.533788      0.637597      0.328784      0.531611      0.205004      0.105986      0.860394      0.328784      0.297283      0.234327       0.00000       0.00000       0.00000      0.234327    
