   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   9.61762       1.39434       1.92924       1.38873       1.92776      0.561203E-02  0.148255E-02   3.31648       1.06478       1.06425      0.863626      0.323943       0.00000       0.00000      0.863506    
  0.109648E-03   9.58219       1.37139       1.89735       1.36540       1.89576      0.599180E-02  0.158270E-02   3.26117       1.04740       1.04683      0.849057      0.318004       0.00000       0.00000      0.848935    
  0.120226E-03   9.53737       1.34877       1.86585       1.34235       1.86415      0.641446E-02  0.169517E-02   3.20650       1.03024       1.02962      0.834650      0.312112       0.00000       0.00000      0.834526    
  0.131825E-03   9.48896       1.32628       1.83451       1.31942       1.83270      0.685696E-02  0.181344E-02   3.15212       1.01318       1.01251      0.820314      0.306245       0.00000       0.00000      0.820187    
  0.144543E-03   9.43539       1.30399       1.80343       1.29666       1.80149      0.732784E-02  0.194004E-02   3.09815      0.996252      0.995537      0.806079      0.300411       0.00000       0.00000      0.805951    
  0.158489E-03   9.37523       1.28200       1.77269       1.27416       1.77061      0.784252E-02  0.207972E-02   3.04477      0.979524      0.978752      0.791991      0.294633       0.00000       0.00000      0.791861    
  0.173779E-03   9.31194       1.26016       1.74214       1.25178       1.73991      0.838023E-02  0.222636E-02   2.99169      0.962895      0.962063      0.777977      0.288883       0.00000       0.00000      0.777845    
  0.190545E-03   9.24281       1.23862       1.71193       1.22965       1.70954      0.896486E-02  0.238734E-02   2.93919      0.946459      0.945562      0.764110      0.283192       0.00000       0.00000      0.763977    
  0.208928E-03   9.16943       1.21732       1.68200       1.20773       1.67944      0.959100E-02  0.256127E-02   2.88717      0.930180      0.929213      0.750363      0.277552       0.00000       0.00000      0.750230    
  0.229085E-03   9.09329       1.19619       1.65227       1.18595       1.64952      0.102443E-01  0.274370E-02   2.83547      0.914002      0.912963      0.736695      0.271946       0.00000       0.00000      0.736560    
  0.251186E-03   9.01102       1.17547       1.62299       1.16450       1.62004      0.109703E-01  0.294939E-02   2.78454      0.898076      0.896954      0.723221      0.266427       0.00000       0.00000      0.723086    
  0.275420E-03   8.92629       1.15494       1.59392       1.14321       1.59075      0.117319E-01  0.316670E-02   2.73396      0.882261      0.881053      0.709834      0.260948       0.00000       0.00000      0.709698    
  0.301992E-03   8.83828       1.13466       1.56512       1.12212       1.56172      0.125411E-01  0.339963E-02   2.68384      0.866595      0.865294      0.696564      0.255524       0.00000       0.00000      0.696428    
  0.331127E-03   8.74592       1.11476       1.53673       1.10133       1.53307      0.134273E-01  0.365837E-02   2.63440      0.851147      0.849745      0.683465      0.250182       0.00000       0.00000      0.683329    
  0.363073E-03   8.65158       1.09504       1.50854       1.08069       1.50461      0.143532E-01  0.393070E-02   2.58530      0.835806      0.834297      0.670450      0.244881       0.00000       0.00000      0.670315    
