   5.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   4.43507      0.906220       1.39191      0.901074       1.39059      0.514636E-02  0.131901E-02   2.29166      0.780235      0.779958      0.610714      0.120839       0.00000       0.00000      0.610629    
  0.109648E-03   4.55589      0.895564       1.37361      0.890065       1.37219      0.549961E-02  0.141418E-02   2.26226      0.770057      0.769757      0.602523      0.120007       0.00000       0.00000      0.602437    
  0.120226E-03   4.66171      0.884892       1.35533      0.878999       1.35381      0.589321E-02  0.152165E-02   2.23281      0.759905      0.759579      0.594320      0.119094       0.00000       0.00000      0.594232    
  0.131825E-03   4.76169      0.874225       1.33708      0.867920       1.33544      0.630549E-02  0.163492E-02   2.20336      0.749768      0.749415      0.586118      0.118152       0.00000       0.00000      0.586028    
  0.144543E-03   4.85332      0.863566       1.31885      0.856822       1.31710      0.674450E-02  0.175653E-02   2.17392      0.739653      0.739271      0.577917      0.117168       0.00000       0.00000      0.577826    
  0.158489E-03   4.93410      0.852940       1.30069      0.845715       1.29880      0.722479E-02  0.189125E-02   2.14451      0.729579      0.729164      0.569726      0.116136       0.00000       0.00000      0.569634    
  0.173779E-03   5.00970      0.842335       1.28256      0.834608       1.28053      0.772679E-02  0.203297E-02   2.11514      0.719527      0.719078      0.561544      0.115081       0.00000       0.00000      0.561450    
  0.190545E-03   5.07553      0.831782       1.26451      0.823509       1.26232      0.827306E-02  0.218909E-02   2.08583      0.709522      0.709035      0.553381      0.113987       0.00000       0.00000      0.553286    
  0.208928E-03   5.13411      0.821286       1.24653      0.812428       1.24418      0.885850E-02  0.235824E-02   2.05660      0.699561      0.699033      0.545239      0.112867       0.00000       0.00000      0.545144    
  0.229085E-03   5.18800      0.810827       1.22861      0.801358       1.22607      0.946956E-02  0.253593E-02   2.02743      0.689628      0.689057      0.537112      0.111730       0.00000       0.00000      0.537016    
  0.251186E-03   5.23121      0.800480       1.21082      0.790330       1.20808      0.101494E-01  0.273705E-02   1.99841      0.679771      0.679152      0.529027      0.110559       0.00000       0.00000      0.528930    
  0.275420E-03   5.27006      0.790191       1.19310      0.779328       1.19015      0.108628E-01  0.294988E-02   1.96948      0.669951      0.669281      0.520965      0.109377       0.00000       0.00000      0.520868    
  0.301992E-03   5.30305      0.779981       1.17547      0.768359       1.17229      0.116213E-01  0.317843E-02   1.94065      0.660180      0.659455      0.512932      0.108179       0.00000       0.00000      0.512835    
  0.331127E-03   5.32812      0.769902       1.15798      0.757450       1.15455      0.124525E-01  0.343299E-02   1.91200      0.650486      0.649700      0.504948      0.106963       0.00000       0.00000      0.504851    
  0.363073E-03   5.34949      0.759893       1.14057      0.746572       1.13687      0.133215E-01  0.370125E-02   1.88344      0.640831      0.639981      0.496989      0.105741       0.00000       0.00000      0.496892    
  0.398101E-03   5.36403      0.750022       1.12331      0.735756       1.11931      0.142655E-01  0.399702E-02   1.85507      0.631251      0.630330      0.489080      0.104506       0.00000       0.00000      0.488984    
  0.436509E-03   5.37329      0.740278       1.10618      0.724999       1.10186      0.152789E-01  0.431888E-02   1.82686      0.621736      0.620739      0.481216      0.103264       0.00000       0.00000      0.481120    
  0.478622E-03   5.37923      0.730617       1.08913      0.714280       1.08447      0.163368E-01  0.465750E-02   1.79875      0.612262      0.611186      0.473380      0.102018       0.00000       0.00000      0.473285    
  0.524798E-03   5.37774      0.721168       1.07229      0.703656       1.06725      0.175116E-01  0.504124E-02   1.77090      0.602892      0.601726      0.465615      0.100764       0.00000       0.00000      0.465521    
  0.575429E-03   5.37308      0.711825       1.05555      0.693079       1.05010      0.187463E-01  0.544873E-02   1.74318      0.593569      0.592309      0.457885      0.995097E-01   0.00000       0.00000      0.457792    
  0.630945E-03   5.36441      0.702618       1.03894      0.682561       1.03305      0.200568E-01  0.588619E-02   1.71562      0.584308      0.582947      0.450198      0.982528E-01   0.00000       0.00000      0.450107    
  0.691816E-03   5.35011      0.693632       1.02253      0.672137       1.01616      0.214949E-01  0.637559E-02   1.68829      0.575142      0.573669      0.442578      0.969950E-01   0.00000       0.00000      0.442489    
  0.758561E-03   5.33325      0.684756       1.00623      0.661758      0.999335      0.229982E-01  0.689197E-02   1.66109      0.566021      0.564430      0.434991      0.957372E-01   0.00000       0.00000      0.434905    
  0.831745E-03   5.31173      0.676093      0.990109      0.651465      0.982647      0.246281E-01  0.746124E-02   1.63411      0.556985      0.555265      0.427465      0.944801E-01   0.00000       0.00000      0.427382    
  0.911989E-03   5.28650      0.667627      0.974160      0.641247      0.966077      0.263800E-01  0.808292E-02   1.60732      0.548022      0.546164      0.419993      0.932245E-01   0.00000       0.00000      0.419913    
  0.999975E-03   5.25898      0.659285      0.958317      0.631076      0.949579      0.282086E-01  0.873767E-02   1.58066      0.539106      0.537102      0.412554      0.919698E-01   0.00000       0.00000      0.412477    
  0.109645E-02   5.22646      0.651249      0.942729      0.621015      0.933249      0.302343E-01  0.947947E-02   1.55426      0.530297      0.528130      0.405193      0.907182E-01   0.00000       0.00000      0.405120    
  0.120223E-02   5.19171      0.643373      0.927268      0.611007      0.916998      0.323660E-01  0.102694E-01   1.52801      0.521539      0.519199      0.397868      0.894681E-01   0.00000       0.00000      0.397799    
  0.131822E-02   5.15432      0.635685      0.911958      0.601061      0.900841      0.346236E-01  0.111165E-01   1.50190      0.512841      0.510318      0.390588      0.882198E-01   0.00000       0.00000      0.390523    
  0.144540E-02   5.11306      0.628315      0.896894      0.591212      0.884827      0.371027E-01  0.120671E-01   1.47604      0.504238      0.501512      0.383375      0.869742E-01   0.00000       0.00000      0.383315    
  0.158485E-02   5.07009      0.621101      0.881948      0.581408      0.868877      0.396931E-01  0.130708E-01   1.45029      0.495678      0.492739      0.376193      0.857296E-01   0.00000       0.00000      0.376138    
  0.173775E-02   5.02407      0.614177      0.867219      0.571683      0.853044      0.424940E-01  0.141756E-01   1.42473      0.487197      0.484026      0.369067      0.844866E-01   0.00000       0.00000      0.369018    
  0.190540E-02   4.97552      0.607534      0.852693      0.562028      0.837308      0.455062E-01  0.153851E-01   1.39934      0.478784      0.475362      0.361988      0.832442E-01   0.00000       0.00000      0.361945    
  0.208923E-02   4.92547      0.601062      0.838289      0.552413      0.821630      0.486485E-01  0.166594E-01   1.37404      0.470411      0.466728      0.354939      0.820019E-01   0.00000       0.00000      0.354902    
  0.229079E-02   4.87217      0.595006      0.824176      0.542888      0.806076      0.521174E-01  0.181003E-01   1.34896      0.462130      0.458154      0.347951      0.807587E-01   0.00000       0.00000      0.347921    
  0.251180E-02   4.81735      0.589175      0.810215      0.533405      0.790577      0.557699E-01  0.196376E-01   1.32398      0.453891      0.449608      0.340993      0.795139E-01   0.00000       0.00000      0.340970    
