&Data 
  Name = "Average Z3D 105" 
  Reaction = 'NC pp'
  NData =   72
  NColumn =   169
  ColumnType = 'Flag',7*"Bin","Sigma", 160*"Error"
  ColumnName = 'binFlag',"Bin","CosThLow","CosThHigh","RapLow","RapHigh","MassLow","MassHigh","Sigma", "stat", "uncor","sysZ3D1001","sysZ3D1002","sysZ3D1003","sysZ3D1004","sysZ3D1005","sysZ3D1006","sysZ3D1007","sysZ3D1008","sysZ3D1009","sysZ3D1010","sysZ3D1011","sysZ3D1012","sysZ3D1013","sysZ3D1014","sysZ3D1015","sysZ3D1016","sysZ3D1017","sysZ3D1018","sysZ3D1019","sysZ3D1020","sysZ3D1021","sysZ3D1022","sysZ3D1023","sysZ3D1024","sysZ3D1025","sysZ3D1026","sysZ3D1027","sysZ3D1028","sysZ3D1029","sysZ3D1030","sysZ3D1031","sysZ3D1032","sysZ3D1033","sysZ3D1034","sysZ3D1035","sysZ3D1036","sysZ3D1037","sysZ3D1038","sysZ3D1039","sysZ3D1040","sysZ3D1041","sysZ3D1042","sysZ3D1043","sysZ3D1044","sysZ3D1045","sysZ3D1046","sysZ3D1047","sysZ3D1048","sysZ3D1049","sysZ3D1050","sysZ3D1051","sysZ3D1052","sysZ3D1053","sysZ3D1054","sysZ3D1055","sysZ3D1056","sysZ3D1057","sysZ3D1058","sysZ3D1059","sysZ3D1060","sysZ3D1061","sysZ3D1062","sysZ3D1063","sysZ3D1064","sysZ3D1065","sysZ3D1066","sysZ3D1067","sysZ3D1068","sysZ3D1069","sysZ3D1070","sysZ3D1071","sysZ3D1072","sysZ3D1073","sysZ3D1074","sysZ3D1075","sysZ3D1076","sysZ3D1077","sysZ3D1078","sysZ3D1079","sysZ3D1080","sysZ3D1081","sysZ3D1082","sysZ3D1083","sysZ3D1084","sysZ3D1085","sysZ3D1086","sysZ3D1087","sysZ3D1088","sysZ3D1089","sysZ3D1090","sysZ3D1091","sysZ3D1092","sysZ3D1093","sysZ3D1094","sysZ3D1095","sysZ3D1096","sysZ3D1097","sysZ3D1098","sysZ3D1099","sysZ3D1100","sysZ3D1101","sysZ3D1102","sysZ3D1103","sysZ3D1104","sysZ3D1105","sysZ3D1106","sysZ3D1107","sysZ3D1108","sysZ3D1109","sysZ3D1110","sysZ3D1111","sysZ3D1112","sysZ3D1113","sysZ3D1114","sysZ3D1115","sysZ3D1116","sysZ3D1117","sysZ3D1118","sysZ3D1119","sysZ3D1120","sysZ3D1121","sysZ3D1122","sysZ3D1123","sysZ3D1124","sysZ3D1125","sysZ3D1126","sysZ3D1127","sysZ3D1128","sysZ3D1129","sysZ3D1130","sysZ3D1131","sysZ3D1132","sysZ3D1133","sysZ3D1134","sysZ3D1135","sysZ3D1136","sysZ3D1137","sysZ3D1138","sysZ3D1139","sysZ3D1140","sysZ3D1141","sysZ3D1142","sysZ3D1143","sysZ3D1144","sysZ3D1145","sysZ3D1146","sysZ3D1147","sysZ3D1148","sysZ3D1149","sysZ3D1150","sysZ3D1151","sysZ3D1152","sysZ3D1153","sysZ3D1154","sysZ3D1155","sysZ3D1156","sysZ3D1157","Lumi"
  NInfo =  2
  DataInfo = 8000.,     20.
  CInfo    = 'sqrt(S)','pte cut'
  CInfo = "Bla"
  DataInfo = 
  IndexDataset =   105
  Percent = 169*true
  TheoryType     = 'expression'
  TermName = 'A1', 'K1'
  TermType = 'applgrid','kfactor'
  TermInfo =    '',       ''
  TermSource = '116_150.root','k_fact_5.dat'
  TheorExpr= 'A1*K1'
&End 
&PlotDesc
 ! PlotN = 1
 ! PlotDefColumn = 'Bin'
 ! PlotVarColumn = 'Bin'
 ! PlotDefValue = 0., 72.
 ! PlotOptions(1)  = 'Experiment:ATLAS@ExtraLabel:pp #rightarrow Z; #sqrt{s} = 8 TeV; M_{ll} = 116-150GeV @Title:2012 @XTitle: bin=6y+cos#theta^{*} @YTitle: d#sigma [pb]'

 PlotN = 12
 PlotDefColumn = 'RapHigh'
 PlotDefValue = 0.1, 0.3, 0.5, 0.7, 0.9, 1.1, 1.3, 1.5, 1.7, 1.9, 2.1, 2.3, 2.5
  PlotVarColumn = 'CosThLow'
  PlotOptions(1)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=0.0-0.2, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(2)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=0.2-0.4, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(3)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=0.4-0.6, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(4)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=0.6-0.8, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(5)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=0.8-1.0, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(6)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=1.0-1.2, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(7)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=1.2-1.4, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(8)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=1.4-1.6, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(9)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=1.6-1.8, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(10)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=1.8-2.0, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(11)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=2.0-2.2, cos#theta^{*} @YTitle: d#sigma [pb]'
  PlotOptions(12)  = 'Experiment:ATLAS @Title:M_{ll} = 116-150GeV @XTitle: y=2.2-2.4, cos#theta^{*} @YTitle: d#sigma [pb]'
&End
1.0 1.0 -1.0 -0.7 0.0 0.2 116.0 150.0 0.024135 2.7032 1.21723294402 3.391 -0.12 0.053 -0.06 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.007 0.007 0.0 0.007 -0.0 -0.007 0.0 0.007 0.0 0.007 -0.0 -0.007 -0.007 -0.0 0.007 -0.013 -0.007 -0.007 -0.0 0.0 -0.013 0.007 0.007 -0.007 0.007 0.0 -0.007 -0.0 0.0 0.007 -0.326 -0.692 -0.053 -0.027 -0.0 -0.007 -0.0 0.0 0.093 0.113 -1.555 0.0 -0.013 0.066 0.04 -0.053 0.013 0.013 0.027 -0.033 0.02 -0.046 -0.146 0.007 0.053 0.046 -0.121 -0.037 -0.019 0.028 0.022 -0.099 -0.046 -0.052 -0.018 -0.012 0.006 0.018 0.046 -0.018 -0.0 0.085 0.052 0.03 0.009 0.003 -0.003 -0.009 0.006 -0.032 0.041 -0.044 0.076 0.078 -0.026 0.063 -0.026 0.0 -0.017 -0.014 0.128 -0.003 -0.011 0.008 0.011 0.005 -0.01 0.028 -0.054 -0.042 0.002 -0.007 0.002 -0.005 -0.007 -0.0 0.005 -0.002 -0.002 0.006 0.002 0.0 0.009 0.002 -0.007 0.017 -0.001 0.0 -0.001 0.001 -0.001 -0.0 -0.001 -0.0 0.0 0.02 0.004 0.033 -0.0 0.005 0.0 0.004 0.014 0.011 2.0 
1.0 2.0 -0.7 -0.4 0.0 0.2 116.0 150.0 0.02605 2.1205 0.761587671184 2.656 -0.1 0.01 -0.026 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.0 0.005 0.0 -0.005 -0.01 -0.005 0.0 -0.005 -0.005 -0.0 0.005 0.0 -0.005 -0.0 0.005 -0.005 -0.0 -0.0 -0.005 0.005 0.0 -0.0 0.01 0.005 -0.005 0.005 0.0 -0.005 0.0 0.0 0.005 -0.005 0.0 -0.005 -0.209 -0.23 -0.037 -0.021 -0.0 0.005 -0.0 0.0 0.052 0.068 0.318 -0.0 0.0 -0.01 -0.026 0.047 -0.021 -0.031 -0.016 0.083 -0.026 0.0 0.026 0.0 0.047 0.073 -0.076 0.033 -0.0 0.038 -0.0 -0.028 0.0 -0.009 0.0 0.019 0.0 0.023 0.014 0.0 -0.0 0.023 -0.0 0.032 0.0 0.0 -0.0 0.041 0.009 0.009 0.004 -0.009 0.035 0.004 0.0 -0.026 0.026 0.0 -0.004 0.004 0.059 -0.0 -0.004 0.0 0.004 0.0 -0.004 0.004 -0.004 -0.008 -0.0 0.0 0.0 -0.007 0.004 -0.0 -0.0 -0.003 0.003 -0.013 -0.0 0.0 0.006 0.003 -0.005 0.013 -0.002 -0.0 -0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 -0.018 0.006 0.037 0.0 0.0 0.0 0.003 0.009 0.009 2.0 
1.0 3.0 -0.4 0.0 0.0 0.2 116.0 150.0 0.021727 1.9966 1.0661723855 1.343 -0.2 0.039 -0.033 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.006 0.006 0.006 -0.006 0.0 -0.006 0.0 0.011 -0.006 -0.011 0.006 0.0 0.006 -0.0 -0.0 -0.006 -0.0 -0.0 -0.0 0.006 -0.006 -0.0 -0.0 0.0 -0.006 0.0 0.006 -0.0 0.006 -0.006 -0.0 0.006 -0.006 0.0 -0.193 -0.166 -0.033 -0.022 -0.0 0.0 -0.0 0.0 0.05 0.072 0.121 -0.0 0.0 0.0 0.0 -0.0 -0.022 -0.011 0.017 -0.028 0.0 0.0 -0.011 0.0 0.033 0.033 -0.092 0.075 -0.0 -0.009 -0.0 0.022 0.0 0.039 -0.0 0.026 0.0 0.017 0.0 0.0 -0.0 -0.026 -0.0 0.021 0.0 0.0 -0.0 0.063 0.008 0.029 -0.071 0.033 0.012 -0.029 0.0 0.016 -0.032 -0.0 -0.008 0.004 0.09 -0.0 -0.004 -0.004 0.004 -0.004 -0.004 0.004 -0.0 -0.004 -0.0 -0.003 -0.003 -0.007 0.003 -0.003 -0.0 -0.003 0.003 -0.009 -0.0 0.003 0.005 0.002 -0.005 0.012 0.0 -0.0 -0.0 0.002 0.0 -0.0 -0.001 -0.0 0.0 0.016 0.006 0.034 0.0 0.005 0.001 0.003 0.008 0.005 2.0 
1.0 4.0 0.0 0.4 0.0 0.2 116.0 150.0 0.022285 1.9508 0.972894535086 1.863 -0.188 0.041 -0.031 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.0 -0.005 -0.005 -0.005 -0.005 0.005 -0.01 0.0 -0.015 0.005 -0.005 0.01 -0.01 -0.005 -0.0 0.0 -0.0 -0.005 -0.0 -0.005 0.0 -0.0 -0.01 0.01 0.005 0.0 -0.005 0.005 0.0 -0.005 -0.0 -0.0 0.0 -0.005 -0.183 -0.162 -0.02 -0.02 -0.0 0.0 -0.0 0.0 0.04 0.071 0.116 -0.0 0.0 0.0 0.0 -0.0 -0.005 0.04 -0.005 -0.121 0.0 0.0 -0.01 0.0 0.04 0.035 -0.068 0.049 -0.0 0.01 -0.0 0.01 0.0 0.014 -0.0 0.014 0.0 0.005 0.0 0.0 -0.0 0.005 -0.0 -0.005 0.0 0.0 -0.0 0.019 0.014 0.005 0.092 0.032 -0.018 -0.014 0.0 -0.014 0.009 0.0 -0.004 0.009 0.1 -0.0 -0.004 -0.004 0.004 -0.004 -0.004 0.004 -0.0 -0.004 -0.0 -0.004 -0.004 -0.007 0.004 -0.004 -0.0 -0.003 0.003 -0.01 -0.0 0.003 0.006 0.003 -0.005 0.013 0.0 -0.0 -0.0 0.002 0.0 -0.0 -0.002 -0.0 0.0 -0.007 0.004 0.034 0.0 0.0 0.0 0.002 0.008 0.005 2.0 
1.0 5.0 0.4 0.7 0.0 0.2 116.0 150.0 0.027117 1.9963 0.753018302301 2.001 -0.099 0.01 -0.025 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.005 0.005 0.0 0.005 0.01 0.005 -0.015 0.015 -0.015 -0.0 -0.005 0.0 0.005 -0.0 -0.01 0.005 -0.0 0.005 -0.005 -0.0 0.005 -0.0 0.005 0.0 -0.005 0.0 -0.005 0.005 0.0 0.0 -0.0 -0.005 0.0 0.0 -0.182 -0.196 -0.039 -0.02 -0.0 0.0 -0.0 0.0 0.049 0.064 0.284 -0.0 0.0 0.005 0.0 -0.049 -0.078 0.054 0.0 0.107 -0.01 0.005 -0.024 0.0 0.029 0.044 -0.085 0.045 -0.0 -0.005 -0.0 -0.015 0.0 0.04 0.0 0.02 0.0 0.01 -0.005 0.0 -0.0 0.029 0.005 -0.02 0.0 0.0 -0.0 0.024 -0.01 0.019 -0.057 -0.028 0.028 0.014 0.0 -0.033 0.028 -0.0 -0.005 0.005 0.063 -0.0 -0.004 0.0 0.004 0.0 -0.004 0.004 -0.004 -0.008 -0.0 0.0 0.0 -0.008 0.004 -0.0 -0.0 -0.003 0.003 -0.01 -0.0 0.0 0.006 0.003 -0.005 0.014 -0.002 -0.0 -0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.005 0.003 0.036 0.0 0.001 0.0 0.004 0.01 0.009 2.0 
1.0 6.0 0.7 1.0 0.0 0.2 116.0 150.0 0.026352 2.4656 1.11910743005 0.468 -0.117 0.019 -0.058 -0.0 -0.0 -0.0 -0.0 -0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.006 -0.006 -0.006 -0.019 0.013 -0.039 -0.006 0.006 0.0 0.0 -0.006 -0.0 0.013 -0.0 -0.006 0.006 0.006 0.006 0.006 -0.0 0.0 -0.0 -0.013 0.0 0.006 0.0 0.006 -0.0 -0.006 -0.013 -0.006 -0.278 -0.544 -0.052 -0.019 -0.0 -0.019 0.0 0.0 0.078 0.097 -1.357 0.0 0.039 -0.026 0.116 0.09 0.019 -0.013 -0.032 0.045 -0.071 0.032 -0.129 0.013 0.039 0.051 -0.043 -0.013 0.003 -0.02 -0.01 -0.08 -0.063 -0.01 -0.01 -0.013 -0.003 -0.026 0.026 0.0 -0.0 0.042 0.059 -0.016 0.0 0.006 0.003 0.016 -0.013 -0.025 -0.054 -0.022 -0.003 -0.025 -0.031 -0.046 -0.043 -0.003 -0.018 -0.018 0.143 -0.003 -0.012 0.009 0.011 0.006 -0.011 0.03 -0.058 -0.046 0.003 -0.008 0.0 -0.003 -0.007 -0.0 0.005 -0.002 -0.002 0.007 0.002 0.0 0.01 0.002 -0.009 0.02 -0.002 0.0 -0.001 0.001 -0.001 -0.0 -0.001 0.0 0.0 -0.017 0.003 0.033 -0.0 0.002 -0.0 0.004 0.013 0.012 2.0 
1.0 7.0 -1.0 -0.7 0.2 0.4 116.0 150.0 0.02309 2.6333 1.32876153241 0.72 -0.128 0.094 -0.061 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.007 -0.007 0.0 -0.007 0.013 0.007 -0.007 0.0 -0.0 0.013 0.0 0.0 0.0 -0.007 0.0 -0.007 -0.0 -0.0 0.007 -0.0 0.0 0.007 -0.007 0.007 -0.0 0.0 -0.007 -0.013 0.0 -0.007 0.007 -0.007 0.007 0.0 -0.302 -0.724 -0.074 -0.027 -0.007 -0.04 0.0 0.0 0.1 0.12 -1.572 0.0 -0.027 -0.067 -0.134 0.06 -0.027 -0.02 0.013 -0.047 -0.027 0.08 -0.2 0.027 0.033 0.033 -0.133 0.031 -0.028 0.031 0.022 -0.08 -0.071 -0.046 -0.015 -0.012 -0.006 0.006 0.043 0.003 -0.0 0.088 0.033 0.03 0.003 -0.015 -0.006 -0.062 0.021 -0.026 0.161 0.038 0.023 -0.014 -0.043 0.034 0.037 0.003 -0.023 -0.003 0.18 -0.003 -0.014 0.005 0.011 0.003 -0.01 0.028 -0.051 -0.042 0.002 -0.007 0.0 -0.007 0.005 -0.002 -0.002 -0.006 0.006 -0.017 -0.002 0.0 0.006 0.002 -0.005 0.013 -0.001 0.0 -0.0 0.001 0.0 -0.0 0.0 0.0 0.0 -0.027 0.004 0.037 -0.0 0.002 -0.0 0.004 0.016 0.007 2.0 
1.0 8.0 -0.7 -0.4 0.2 0.4 116.0 150.0 0.024503 2.2014 0.978888774887 1.133 -0.114 0.029 -0.024 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 -0.0 0.0 0.005 -0.005 -0.01 -0.005 0.01 -0.01 0.005 -0.005 0.005 -0.005 0.0 -0.0 -0.0 -0.005 -0.0 0.01 -0.0 -0.0 0.0 0.01 -0.0 0.0 -0.005 0.009 0.0 -0.005 0.005 0.0 -0.0 -0.0 0.0 0.005 -0.19 -0.246 -0.028 -0.019 -0.005 -0.033 -0.0 0.0 0.047 0.066 0.364 -0.0 0.0 0.005 0.019 -0.009 0.009 -0.033 0.038 -0.033 -0.066 0.019 -0.024 0.0 0.052 0.038 -0.083 0.067 -0.0 0.041 -0.0 0.031 0.005 0.067 0.005 0.031 0.0 -0.02 0.005 0.005 -0.0 0.091 -0.0 0.055 0.0 0.0 -0.0 -0.03 -0.01 0.034 0.059 0.069 0.015 0.034 0.0 0.024 0.029 -0.0 -0.005 -0.0 0.074 -0.005 -0.005 0.0 0.004 0.0 -0.004 0.009 -0.009 -0.008 -0.0 0.0 0.0 -0.008 0.004 -0.0 -0.0 -0.004 0.004 -0.011 -0.003 0.0 0.006 0.003 -0.006 0.012 -0.002 -0.0 -0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.017 0.008 0.039 0.0 0.003 0.001 0.003 0.012 0.002 2.0 
1.0 9.0 -0.4 0.0 0.2 0.4 116.0 150.0 0.02117 2.0116 0.874376141086 0.389 -0.155 0.023 -0.028 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.009 0.005 0.005 0.0 0.0 -0.005 0.019 -0.009 0.019 -0.009 -0.005 0.0 -0.005 -0.0 0.0 0.0 0.005 0.005 0.005 -0.005 0.005 -0.005 -0.005 0.0 -0.005 0.009 -0.005 -0.0 -0.005 0.005 -0.0 0.005 0.0 0.0 -0.182 -0.177 -0.019 -0.019 -0.0 0.0 0.0 0.0 0.037 0.065 0.145 -0.0 -0.0 0.0 0.0 -0.014 0.037 -0.037 -0.033 0.112 0.009 0.0 -0.009 0.0 0.051 0.046 -0.146 0.157 -0.0 -0.037 -0.0 0.057 0.0 0.104 0.0 0.093 0.0 0.015 0.0 0.0 -0.0 -0.056 -0.0 -0.025 0.0 0.0 0.0 0.17 -0.025 0.06 0.02 0.03 -0.015 -0.093 0.0 -0.063 0.043 -0.0 -0.005 0.009 0.103 -0.0 -0.009 -0.005 0.004 -0.004 -0.0 0.004 -0.0 -0.004 -0.0 -0.004 -0.004 -0.008 0.004 -0.004 0.0 -0.004 0.004 -0.011 -0.0 0.003 0.006 0.003 -0.006 0.014 0.0 0.0 -0.002 0.002 0.0 0.0 -0.002 -0.0 -0.0 0.008 0.006 0.039 0.0 0.002 0.0 0.004 0.009 0.002 2.0 
1.0 10.0 0.0 0.4 0.2 0.4 116.0 150.0 0.022424 1.9246 0.816767595831 0.502 -0.155 0.027 -0.027 -0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 0.0 -0.0 0.005 0.0 0.0 0.0 0.005 0.014 -0.027 0.032 -0.05 0.005 0.005 0.009 0.005 -0.0 0.005 0.005 -0.0 -0.005 -0.005 0.005 0.0 0.009 0.005 0.0 -0.0 -0.005 0.009 -0.0 -0.0 0.005 -0.0 -0.005 0.005 -0.005 -0.168 -0.141 -0.018 -0.018 -0.005 0.0 -0.0 0.0 0.036 0.064 0.141 -0.0 0.0 0.0 0.0 -0.009 0.014 0.068 -0.059 0.118 0.005 0.0 -0.009 0.0 0.014 0.041 -0.107 0.096 -0.0 -0.027 -0.0 0.021 0.0 0.027 0.0 0.021 0.0 -0.005 0.0 0.0 -0.0 -0.031 -0.0 -0.016 0.0 0.0 0.0 0.139 0.005 -0.02 -0.046 0.03 -0.03 0.02 0.0 -0.025 -0.02 -0.0 -0.005 0.01 0.11 -0.0 -0.009 -0.005 0.005 -0.005 -0.0 0.004 -0.0 -0.004 -0.0 -0.004 -0.004 -0.008 0.004 -0.004 0.0 -0.004 0.004 -0.011 -0.0 0.003 0.006 0.003 -0.006 0.015 0.0 -0.0 -0.002 0.002 0.0 -0.0 -0.002 -0.0 0.0 0.011 0.004 0.038 -0.0 0.0 0.0 0.003 0.009 0.002 2.0 
